"rooms","floor","owner","price","floors","square","city","address","new"
4,12,"Мелисса Кириллова",9097090,19,71.33,"Скопин","ул. Левобережная 299",0
2,17,"Артемий Буйда",4700356,25,35.91,"Вилюйск","ул. Орлово-Давыдовская 375",0
1,7,"Валерьян Есенин",388789,9,13.3,"Северо-Курильск","Аллея Рейсовая 1-я 1274",0
1,1,"Юлия Шамбарова",1734628,15,16.92,"Скопин","Аллея Сокольническая Слободка 1242",0
4,6,"Мстислав Зощенко",14179696,8,73.53,"Дмитриев-Льговский","ул. Патриарший Б. 271",1
1,2,"Севастьян Макарьев",699355,3,17.86,"Вилюйск","Аллея Ананьевская 270",0
1,15,"Мехри Жданова",1046001,25,10.36,"Канаш","Аллея Коминтерна 1018",0
3,1,"Рита Афанасова",8800635,15,44.75,"Вилюйск","Аллея Чистова 22",1
2,1,"Назар Наседкин",445073,2,22.64,"Муравленко","Аллея Сергиевский Б. 980",0
4,1,"Лилит Петрушевская",9468177,7,53.65,"Канаш","Аллея Красковская 970",1
6,12,"Дмитрий Анкудинов",13989198,18,70.85,"Вилюйск","ул. Комсомольской Площади 63",0
2,10,"Лукьян Златогорский",4342316,19,27.96,"Муравленко","ул. Самаркандский Квартал 137а 147",0
5,7,"Лукий Смольников",14359022,17,94.85,"Канаш","ул. Жулебинская 715",1
4,1,"Пров Мифтахутдинов",12491040,1,59.54,"Димитровград","Аллея Грайвороново 90а 1279",0
7,10,"Богдан Авдеев",28949108,24,134.22,"Скопин","Аллея Войкова 520",0
1,16,"Платонида Геннадиева",1500124,24,17.28,"Дмитриев-Льговский","Аллея Козлова 879",0
6,2,"Анатолий Берёзин",8834534,5,64.46,"Северо-Курильск","Аллея Болотниковская 375",0
1,4,"Серафим Босов",338538,13,10.08,"Северо-Курильск","Аллея Лучников 752",0
5,10,"Янина Анцыферова",17166430,12,81.43,"Вилюйск","ул. Харитоньевский М. 93",0
1,5,"Степан Лаврентьев",343965,18,10.78,"Северо-Курильск","Аллея Спасская 558",1
1,1,"Потап Сорокин",922662,18,18.54,"Димитровград","Аллея Полуярославский М. 103",0
2,6,"Нина Матвеева",4011069,15,33.33,"Канаш","ул. Прокудинская 674",1
4,4,"Лукьян Чиков",6948063,20,65.79,"Дмитриев-Льговский","Аллея Пятницкая 1184",1
1,1,"Мартын Буторин",252575,16,10.28,"Вилюйск","ул. Миргородская 704",0
1,1,"Филимон Азарьин",2715441,6,18.55,"Вилюйск","Аллея Головачева 1255",0
1,10,"Сандра Дубова",310162,20,10.0,"Вилюйск","Аллея Фруктовая 1190",0
2,5,"Забава Фирсова",2221423,8,33.45,"Димитровград","ул. Угловой 781",0
1,16,"Антон Морковин",1860040,18,18.19,"Скопин","ул. Федосьинская 473",0
1,4,"Эльвира Белорукова",2596352,5,17.63,"Северо-Курильск","Аллея Покровка 1041",0
1,4,"Соня Амвросова",3024617,16,17.38,"Скопин","ул. Самокатная 919",0
3,5,"Пелагея Протасьева",3341783,7,29.38,"Скопин","Аллея Рузская 450",0
3,6,"Айгуль Вишнякова",10238805,13,48.67,"Вилюйск","Аллея Калинина 1142",0
5,8,"Агата Романова",7740643,16,49.66,"Скопин","ул. Милашенкова 1145",1
8,12,"Ляйсан Дмитриева",14257384,14,112.4,"Муравленко","Аллея Скорняжная 1161",0
4,5,"Антон Земляной",12859067,6,65.22,"Скопин","ул. Академика Бакулева 648",1
3,2,"Цагана Шестинская",10880050,10,57.53,"Димитровград","Аллея Никитские Ворота 705",1
4,4,"Аристарх Алисов",2657657,11,47.57,"Северо-Курильск","Аллея Хорошевская 3-я 1190",1
5,16,"Рузанна Созонова",7037697,20,49.85,"Вилюйск","ул. Теплостанская 1214",0
1,3,"Демид Тихомиров",286553,12,10.96,"Вилюйск","Аллея Сыромятническая Нов. 1193",0
4,1,"Тора Слепухина",7120673,1,42.54,"Собинка","Аллея Бутлерова 178",0
1,7,"Николай Геращенко",333018,11,11.77,"Вилюйск","Аллея Сумской 1057",0
2,23,"Аполлинария Васильева",2197796,24,24.92,"Муравленко","ул. Батайская 45",0
3,5,"Регина Мохнаткина",3109828,23,39.16,"Канаш","ул. Машиностроения 2-я 671",0
1,10,"Паула Синякина",3727486,21,20.45,"Собинка","Аллея Трубниковская 568",1
5,13,"Никодим Долиняк",6969820,24,61.94,"Канаш","ул. Пудовкина 192",0
1,1,"Одетта Казанцева",1497396,2,12.28,"Вилюйск","Аллея Квесисская 1-я 36",0
3,2,"Арианда Иовлева",10970562,15,51.31,"Муравленко","ул. Алабяна 857",1
5,2,"Сандра Мишина",5427971,10,59.63,"Канаш","Аллея Пролетарская 1265",1
1,12,"Нонна Помяловская",3117449,23,18.98,"Канаш","Аллея Ясногорская 222",0
1,5,"Луиза Анкудинова",1183207,20,12.58,"Скопин","ул. Ножовая 762",0
1,20,"Кирилл Козлачков",877635,23,12.23,"Скопин","Аллея Бунинская Аллея 303",0
5,5,"Платон Чулаки",5360313,9,50.38,"Канаш","ул. Сурская 431",0
1,11,"Лука Павлюк",1418256,13,14.23,"Муравленко","ул. Пестовская 93",0
8,6,"Поликарп Хаецкий",7074643,12,93.91,"Скопин","ул. Краснокурсантская 675",1
5,12,"Лилия Панкеева",8696168,22,85.62,"Скопин","ул. Тропаревская 642",0
1,5,"Шарлотта Крусанова",2971691,15,19.35,"Канаш","Аллея Харитоньевский М. 37",0
3,5,"Климент Мясников",8434276,19,52.08,"Северо-Курильск","ул. Хорошевского Серебряного Бора 4-я 327",1
5,1,"Мара Субботина",11039853,6,82.11,"Вилюйск","Аллея Пинская 576",0
1,1,"Хрисанф Байбородин",3547115,4,20.14,"Канаш","Аллея Клязьминская 1374",1
5,2,"Забава Люкина",12864790,6,91.57,"Вилюйск","Аллея Внутренная 609",0
2,7,"Салима Житинская",2494847,10,33.65,"Муравленко","ул. Академика Пилюгина 529",0
6,2,"Евдоким Памфилов",6848378,3,84.54,"Скопин","Аллея Старолучанская 634",0
3,12,"Клавдия Черепенникова",9941796,15,53.56,"Северо-Курильск","Аллея Миклухо-Маклая 891",1
2,1,"Платон Козлачков",1968994,10,24.62,"Собинка","Аллея Баррикадная 886",0
1,1,"Мстислав Никонов",2779808,2,16.59,"Канаш","ул. Краснокурсантская 125",0
2,1,"Берта Зиновьева",7174022,9,38.03,"Муравленко","Аллея Фрунзенская 243",1
1,3,"Раиля Зайцева",967397,6,12.86,"Муравленко","ул. Пироговская Б. 1184",0
2,2,"Варсонофий Екимов",5045576,7,36.25,"Вилюйск","ул. Громова 899",1
6,9,"Пафнутий Скульский",11121046,17,101.72,"Канаш","ул. Зональная 1112",0
2,6,"Аза Косая",4301799,24,24.8,"Дмитриев-Льговский","ул. Академика Курчатова 167",0
3,7,"Аксинья Тургенева",2870200,11,38.47,"Димитровград","Аллея Врачебная 1174",0
3,4,"Виолетта Фомина",6143837,7,44.58,"Северо-Курильск","Аллея Хлебобулочная 1265",1
2,1,"Тарас Дмитрук",5245589,10,32.1,"Скопин","Аллея Вешних Вод 388",0
1,1,"Яна Субботина",1088052,4,16.24,"Юрюзань","Аллея Харьковская 484",0
4,4,"Ермолай Павлюк",5536784,16,55.89,"Дмитриев-Льговский","ул. Европы 743",0
1,5,"Ивета Доброхотова",1731944,15,12.96,"Северо-Курильск","Аллея Рыбников 572",0
8,2,"Илюза Хадеева",12355711,12,120.06,"Северо-Курильск","ул. Краснопресненская 671",0
2,11,"Серафим Логинов",1095780,12,20.34,"Юрюзань","Аллея Родионовская 481",0
2,4,"Надежда Маркова",4847984,24,36.77,"Скопин","Аллея Дворникова 880",0
5,10,"Флорентина Советова",6051985,23,49.88,"Вилюйск","ул. Азовская 550",0
1,14,"Станислав Чарушников",1761947,21,19.36,"Скопин","Аллея Красная Сосна 258",0
7,7,"Эдуард Катишонок",14938662,14,112.76,"Муравленко","Аллея Борисовская 495",0
1,5,"Родион Заболоцкий",1571062,6,17.79,"Юрюзань","ул. Воронцово Поле 631",0
2,3,"Патриция Журавская",4306520,23,37.23,"Скопин","ул. Новомарьинская 1149",0
2,1,"Салима Афремова",1486985,1,16.13,"Канаш","Аллея Кисловский Ср. 71",0
1,3,"Матвей Мурманцев",268069,20,11.45,"Юрюзань","Аллея Городянка 1174",0
2,6,"Софрон Токарь",1640462,10,19.92,"Северо-Курильск","ул. Весенняя 837",1
3,1,"Всеволод Пименов",5457337,7,35.34,"Юрюзань","ул. Купавенский Б. 161",0
1,12,"Фаина Глуховская",987146,24,10.0,"Скопин","Аллея Олений Вал 421",0
1,12,"Прохор Ефимьев",1639794,14,13.86,"Канаш","ул. Дубосековская 869",1
2,4,"Евдокия Галктионова",1271974,14,24.08,"Северо-Курильск","Аллея Стройкомбината 885",1
5,1,"Семён Пономарев",15683036,3,78.86,"Скопин","ул. Переведеновская Нов. 1189",1
1,3,"Ира Асеева",1337398,17,18.7,"Димитровград","ул. Сокольнического Круга 259",0
1,15,"Степан Морковин",322129,16,10.68,"Северо-Курильск","Аллея Тихая 441",1
8,1,"Яков Шабалов",32942247,4,150.48,"Вилюйск","Аллея Есенинская 1063",0
4,5,"Лара Исакова",10224689,19,52.84,"Вилюйск","Аллея Марксистская 711",0
1,9,"Таисия Кобрина",283469,15,10.53,"Димитровград","ул. Шокина 598",1
5,2,"Анфим Бабель",20641041,3,89.4,"Муравленко","ул. Кисловский Ср. 1056",0
3,5,"Раифа Степанова",1961864,23,28.41,"Юрюзань","Аллея Типографская 709",0
2,5,"Рина Рылеева",3796611,7,23.1,"Канаш","ул. Вербная 1193",0
1,11,"Ираида Панкратьева",415695,12,13.25,"Юрюзань","ул. Новодачная 750",0
4,1,"Виктория Олимпиева",5964235,9,51.51,"Собинка","Аллея Никольская 1386",0
3,2,"Эрмина Земскова",5336195,13,55.33,"Канаш","Аллея Академика Вишневского 133",0
3,2,"Донат Носков",2062031,6,40.24,"Скопин","ул. Тараса Шевченко 1323",0
2,1,"Сабрина Васечкина",2868832,12,20.52,"Скопин","Аллея Шенкурская 858",0
1,2,"Пахомий Борн",1158727,6,12.04,"Муравленко","Аллея Старокрымская 1174",1
4,6,"Владлен Каминский",4386632,11,47.74,"Скопин","ул. Московско-Казанская 632",0
2,4,"Жаклин Громова",2386146,17,28.38,"Скопин","ул. Чоботовская 1-я 245",0
6,1,"Ильзира Епенетова",6679911,2,75.09,"Юрюзань","ул. Маршала Бирюзова 102",0
1,1,"Дания Дриянская",2739847,1,21.62,"Канаш","ул. Пречистенская 1374",0
1,4,"Артур Бездетко",1388150,7,12.07,"Скопин","Аллея Фармацевтическая 196",0
3,7,"Артём Гиляровский",4521870,15,35.93,"Северо-Курильск","Аллея Аргуновская 773",0
1,4,"Стелла Липскерова",1002242,16,12.01,"Димитровград","ул. Тверская-Ямская 1-я 898",0
6,9,"Августина Каганова",9660518,19,58.71,"Муравленко","ул. Чонгарская 1313",0
3,3,"Хрисанф Спивак",4296558,8,38.65,"Скопин","ул. Васнецова 845",0
3,10,"Анфим Елеферьев",1692400,21,32.1,"Северо-Курильск","ул. Юннатов 1138",1
1,3,"Эльмира Маяковская",1073810,12,17.73,"Юрюзань","Аллея Ясная 1230",0
4,3,"Лилит Скороходова",6948877,7,50.19,"Вилюйск","ул. Домостроительная 429",1
3,7,"Капитон Войнов",5375151,21,44.95,"Скопин","Аллея Наличная 227",1
3,10,"Илья Табатчиков",5945102,11,49.81,"Вилюйск","Аллея Девятая Рота 19",0
1,3,"Аркадий Чулаки",1032118,5,10.2,"Северо-Курильск","Аллея Россолимо 1",0
1,9,"Инна Козлачкова",3057685,10,18.65,"Северо-Курильск","Аллея Загорского 104",0
3,11,"Дженнифер Антипина",5588507,16,33.74,"Муравленко","Аллея Минусинская 57",0
1,15,"Федора Караулова",606753,19,14.02,"Юрюзань","ул. Новопоселковая 1009",1
4,10,"Павел Бурмистров",1078470,12,38.82,"Северо-Курильск","Аллея Гримау 1223",0
1,1,"Потап Тиханин",2167511,13,16.07,"Канаш","Аллея Дорога Жизни 1131",0
1,10,"Мирослава Терешкова",554767,23,12.29,"Канаш","ул. Ордынка М. 1027",0
1,4,"Фока Чернов",323437,5,14.35,"Северо-Курильск","Аллея Хорошевская 124",1
1,15,"Филипп Гуцко",2433680,19,16.57,"Скопин","Аллея Староспасская 673",0
1,4,"Леонид Меркурьев",296237,23,13.66,"Юрюзань","ул. Бирюлевская 1293",0
1,6,"Анна Овечкина",1323306,8,14.67,"Вилюйск","Аллея Миллионная 762",1
5,16,"Рикарда Зиганшина",10451289,20,93.85,"Вилюйск","Аллея Липецкая 613",0
1,2,"Карима Федотьева",309557,10,14.0,"Муравленко","Аллея Громова 309",0
3,11,"Ивета Сударушкина",5746849,16,46.33,"Димитровград","Аллея Новопоселковая 911",0
4,8,"Гюзель Богословская",10003172,9,62.22,"Муравленко","Аллея Академика Опарина 1111",0
2,5,"Эстер Сычева",367954,18,19.36,"Димитровград","ул. Дьяково Городище 2-я 1399",0
1,2,"Долорес Машкина",1745339,11,15.48,"Юрюзань","ул. Арбат 1297",1
5,22,"Арабелла Туровская",17703123,24,80.76,"Канаш","ул. Измайловское 58",1
3,3,"Анфим Крупин",3046204,4,30.1,"Собинка","ул. Глинистая 106",1
3,10,"Люсьена Пименова",2741034,18,39.05,"Муравленко","Аллея Одесская 354",0
3,4,"Валентина Ефимьева",3728768,18,46.79,"Дмитриев-Льговский","Аллея Вагоноремонтная 1163",0
1,7,"Селена Володарская",399788,23,10.01,"Канаш","ул. Лебяжая 776",1
6,3,"Сальма Обухова",8744324,16,99.13,"Муравленко","ул. Научная 434",0
1,1,"Альвиан Рылеев",398506,5,10.26,"Северо-Курильск","ул. Соловьиная 593",0
7,19,"Альберт Олейников",5141745,21,76.55,"Собинка","Аллея Звонарская 1228",0
1,12,"Флориана Андреева",890319,17,18.19,"Димитровград","ул. Никитские Ворота 1122",0
4,4,"Виталий Свободных",10771801,5,71.77,"Димитровград","Аллея Вольская 2-я 888",0
3,4,"Эраст Карамзин",4067253,13,34.98,"Скопин","ул. Железногорская 4-я 821",0
5,7,"Адиля Арсеньева",11185189,11,87.37,"Канаш","Аллея Ружейная 86",0
5,3,"Каролина Гляделкина",20536151,4,94.56,"Муравленко","Аллея Оршанская 1366",0
4,5,"Асия Пастухова",8381778,6,47.81,"Юрюзань","Аллея Новая Дорога 291",0
5,11,"Шакира Силина",8013900,12,48.2,"Собинка","ул. Яузские Ворота 735",0
1,17,"Борис Скульский",1698060,20,13.1,"Собинка","Аллея Лихоборские Бугры 449",0
6,16,"Владислав Протоклитов",20479685,25,96.45,"Вилюйск","Аллея Сокольническая 1-я 1177",0
1,2,"Фелиция Федотьева",340875,8,13.11,"Димитровград","ул. Гороховская 80",1
10,5,"Лев Катерли",12766334,10,137.98,"Димитровград","Аллея Городская 982",0
1,18,"Этель Гиляровская",680310,23,10.15,"Муравленко","ул. Литовская 1046",0
1,1,"Герасим Мартьянов",1163818,5,10.8,"Муравленко","ул. Марии Поливановой 1399",0
3,6,"Кристина Полуехтова",7859796,15,41.44,"Дмитриев-Льговский","ул. Новокуркинское 708",1
1,6,"Зара Мерецкова",298299,16,13.41,"Димитровград","ул. Ипатьевская 1082",0
1,9,"Аделаида Черчесова",1164989,24,12.43,"Вилюйск","Аллея Сретенские Ворота 1187",1
4,4,"Марина Хлумова",5268924,13,64.63,"Северо-Курильск","ул. Крылатская 1-я 1283",0
1,6,"Поликарп Гуляев",2007167,7,16.98,"Вилюйск","ул. Рословка 254",0
3,7,"Энже Толстая",11206168,18,60.35,"Муравленко","ул. Сокольническая 4-я 315",1
9,6,"Евсей Собчак",17112296,18,117.76,"Вилюйск","ул. Лесной 377",0
3,4,"Луна Задорнова",3664721,12,38.25,"Димитровград","Аллея Есенинская 349",0
1,5,"Гаянэ Лукошина",1552760,24,15.06,"Муравленко","Аллея Карманицкая 780",1
3,6,"Лира Мишкина",7027188,7,37.32,"Канаш","Аллея Тарханская 447",1
2,12,"Кузьма Пафнутьев",2533487,15,24.35,"Скопин","Аллея Куркинское 140",0
1,6,"Климент Лактионов",381054,8,15.56,"Муравленко","Аллея Карьерная 297",0
1,9,"Мирослав Гурьев",605254,22,15.52,"Муравленко","ул. Бурденко 234",0
7,5,"Зарема Родивонова",10406694,6,68.5,"Вилюйск","Аллея Тихоновская М. 1074",0
1,6,"Лета Павловская",316230,12,14.77,"Собинка","Аллея Знаменская 485",0
6,16,"Иулиан Топчиев",9552796,24,67.82,"Скопин","Аллея Космонавтов 68",0
1,3,"Виссарион Алпатов",1984844,21,19.87,"Вилюйск","Аллея Батюнинская 1120",1
3,7,"Лола Протоклитова",8308173,23,50.48,"Канаш","ул. Скорняжная 782",0
1,6,"Емельян Шалыганов",2736176,8,17.51,"Вилюйск","ул. Мастеровая 516",0
3,1,"Эльнара Власьева",4923353,3,38.62,"Канаш","Аллея Пречистенка 1096",1
9,24,"Фарида Гуляева",32335965,25,152.84,"Вилюйск","Аллея Самотечная 547",1
1,9,"Дженна Рубанова",722121,12,12.79,"Канаш","ул. Святоозерская 834",0
1,22,"Валерий Соловьёв",1063845,23,12.83,"Димитровград","Аллея Предтеченский Верхн. 454",0
5,1,"Камилла Немирова",4883892,2,54.4,"Северо-Курильск","ул. Ивантеевская 619",0
2,8,"Анфиса Макина",2793238,19,32.9,"Вилюйск","ул. Чоботовская 2-я 787",0
2,7,"Томирис Ивонова",6070757,25,34.5,"Дмитриев-Льговский","Аллея Электролитная 370",0
4,17,"Тея Самылова",2949556,19,51.85,"Северо-Курильск","Аллея Могильцевский М. 633",0
1,11,"Галактион Виноградов",1214420,19,12.39,"Вилюйск","ул. Манежная 585",1
2,3,"Герман Шестаков",1982844,13,25.61,"Скопин","Аллея Пионерская 479",1
1,2,"Агафон Мережковский",2160619,24,21.66,"Муравленко","Аллея Амилкара Кабрала 1312",1
4,1,"Марианна Афанасьева",7325092,1,54.14,"Вилюйск","Аллея Давыдковская 773",0
1,5,"Феруза Родченкова",1507403,24,11.77,"Северо-Курильск","Аллея Орловская 838",0
2,5,"Авдей Казанцев",4964836,12,38.34,"Скопин","Аллея Бутовская 784",0
9,4,"Панкратий Радивонов",17198755,9,90.88,"Скопин","ул. Сыромятническая Нов. 1003",0
1,1,"Антон Савкин",1476513,3,21.69,"Канаш","ул. Академика Несмеянова 1366",1
1,7,"Лев Иванченко",697084,10,13.65,"Канаш","ул. Нижняя 897",0
6,2,"Мартын Садофов",6881554,9,83.66,"Юрюзань","ул. Таганрогская 783",0
1,1,"Лукий Токарь",549252,1,12.27,"Северо-Курильск","ул. Садовая-Кудринская 1367",1
2,22,"Сила Галкин",4715568,25,31.59,"Вилюйск","Аллея Кантемировская 1037",1
1,6,"Николь Савостьянова",789030,22,13.51,"Вилюйск","Аллея Поселковая 1262",0
1,4,"Никита Каверин",508128,25,12.71,"Северо-Курильск","Аллея Хользунова 1156",0
2,1,"Евстафий Васильевич",2341240,9,29.77,"Юрюзань","ул. Ленинские Горы 35",0
1,2,"Ефим Монастырский",338878,5,12.16,"Димитровград","ул. Цимлянская 581",0
9,1,"Авксентий Белошапко",16658097,2,106.98,"Скопин","ул. Скотопрогонная 628",1
1,6,"Демид Ларионов",1947474,21,14.32,"Канаш","Аллея Ильменская 751",1
3,3,"Лолита Ефимова",9535161,5,57.13,"Дмитриев-Льговский","ул. Новослободская 56",1
6,3,"Никон Ерофеев",11655811,22,101.14,"Северо-Курильск","Аллея Дубнинская 116",0
1,6,"Зиновий Воробьев",1239438,20,11.38,"Скопин","Аллея Маршала Неделина 376",0
4,1,"Наима Мурмановская",13282921,5,61.57,"Юрюзань","ул. Уссурийская 699",0
3,3,"Альберт Каминский",3054210,16,39.24,"Вилюйск","ул. Крапивенская 818",0
5,11,"Гавриил Коваленко",9916280,20,96.25,"Димитровград","ул. Генерала Антонова 280",0
3,14,"Юрий Булычев",4288155,16,43.71,"Скопин","Аллея Мирской 893",1
7,10,"Еремей Гальцов",12407658,21,69.54,"Скопин","ул. Воздушная 876",1
1,14,"Фёдор Померанцев",301861,25,10.46,"Собинка","Аллея Парковая 4-я 945",1
2,23,"Шейла Ситникова",5375213,25,35.11,"Собинка","ул. Заповедная 268",0
3,1,"Тихон Лыжин",7387724,3,54.24,"Северо-Курильск","ул. Пилота Нестерова 916",0
1,3,"Павел Ивонов",464313,6,12.79,"Юрюзань","Аллея Элеваторная 812",0
1,1,"Сиара Алданова",2995360,4,20.14,"Вилюйск","Аллея Зельев 1154",0
4,1,"Самуил Дашков",9214429,10,51.05,"Северо-Курильск","ул. Купавенский М. 937",1
1,4,"Зита Свитнева",913040,14,18.41,"Дмитриев-Льговский","Аллея Педагогическая 673",0
3,3,"Влас Ларионов",5771977,10,44.88,"Собинка","ул. Старолучанская 1284",0
6,4,"Фома Шварц",2826797,21,61.88,"Муравленко","Аллея Шереметьевская 1018",0
6,9,"Галина Басманова",15035719,12,112.52,"Муравленко","Аллея Ключевая 126",1
2,12,"Ариадна Яковлева",2939867,17,37.16,"Димитровград","ул. Астрадамская 788",0
5,1,"Виссарион Чернышев",19651175,2,87.12,"Юрюзань","ул. Светлая 632",1
5,7,"Цветана Анастасова",3439859,18,56.6,"Скопин","Аллея Маршала Голованова 267",0
1,18,"Святополк Филатов",2555270,19,17.9,"Скопин","ул. Машкова 106",0
3,23,"Анфим Пьянов",10764368,25,54.31,"Юрюзань","ул. Светлая 926",1
5,17,"Павлина Фурсова",8157385,24,60.62,"Муравленко","ул. Серебряная 75",0
2,1,"Валерьян Данилин",2202090,3,18.09,"Вилюйск","Аллея Новопресненская 864",0
1,14,"Ада Емельянова",692357,24,10.0,"Муравленко","Аллея Зои и Александра Космодемьянских 32",0
1,14,"Антонин Шарапов",1575917,16,18.7,"Вилюйск","Аллея Вильгельма Пика 183",0
4,1,"Римма Федотьева",3475798,5,46.03,"Канаш","Аллея Лазенки 1-я 788",1
1,13,"Илья Живетьев",270534,23,11.49,"Северо-Курильск","Аллея Магазинная 250",1
1,3,"Аникита Беспалько",1450815,21,19.06,"Скопин","Аллея Очаковское 875",0
5,5,"Аяна Еремеева",8583996,15,84.57,"Канаш","Аллея Багрицкого 170",0
3,4,"Руфь Елагина",6208752,25,51.6,"Вилюйск","Аллея Тишинская 645",0
1,4,"Забава Петелина",1722791,8,17.38,"Муравленко","ул. Парковая 1-я 863",1
1,11,"Лия Мишустина",301794,17,10.0,"Канаш","ул. Ромена Роллана 1362",1
7,11,"Зоряна Цыпкина",8809315,12,68.98,"Димитровград","ул. Графитная 599",0
1,16,"Лукерья Работникова",323805,19,10.15,"Скопин","ул. Плетешковская 573",0
1,8,"Конон Афремов",2899679,23,16.6,"Собинка","Аллея Островной 295",1
2,10,"Гавриил Олтухов",277530,12,20.33,"Канаш","ул. Фармацевтическая 833",0
4,1,"Гульмира Тиханина",3058029,16,40.56,"Скопин","ул. Международная 353",1
1,13,"Анфим Мартьянов",2401315,25,15.77,"Вилюйск","Аллея Кулакова 1144",1
1,2,"Никон Афремов",1605983,3,16.41,"Муравленко","Аллея Калитниковский Б. 878",0
1,2,"Платон Селезнёв",899461,14,10.0,"Северо-Курильск","ул. Чертаново Северное 791",1
5,12,"Корнилий Анюков",12085664,15,74.05,"Муравленко","Аллея Стремянная 162",0
4,5,"Аркадий Кошелёв",3604890,7,49.96,"Северо-Курильск","ул. Манежная 1059",0
3,4,"Антон Носков",8405918,17,56.32,"Муравленко","Аллея Брестская 1-я 199",1
2,3,"Феруза Бродская",2998594,20,22.3,"Канаш","Аллея Константина Симонова 485",0
1,21,"Есения Мишина",1503763,24,18.63,"Канаш","Аллея Лермонтовская 1006",0
1,1,"Фелиция Софонова",1335813,6,12.77,"Юрюзань","ул. Хапиловская 2-я 446",0
3,1,"Яков Онисимов",4120879,2,51.73,"Канаш","Аллея Симоновский Вал 755",0
1,2,"Анатолий Саломатов",3321493,20,18.61,"Северо-Курильск","Аллея Чермянская 320",0
4,3,"Зиновий Багиров",14962696,19,74.57,"Собинка","ул. Новые Черемушки 24-25 993",0
8,3,"Флоренция Серова",18699425,8,103.38,"Собинка","Аллея Носовихинское 1202",0
2,14,"Мария Арефьева",2203829,23,30.86,"Скопин","ул. Генерала Ермолова 580",1
1,1,"Камила Бортникова",1454140,2,15.99,"Муравленко","ул. Строгинское 1148",0
1,3,"Милослава Протасьева",323186,8,10.7,"Северо-Курильск","ул. Адмирала Руднева 6",1
4,2,"Евдоким Флегонтов",9059078,3,62.23,"Муравленко","ул. Ялтинская 622",0
7,15,"Матвей Буняченко",18867779,23,111.45,"Собинка","ул. Бутырский Вал 1070",0
1,13,"Марк Жуков",1215800,24,17.02,"Северо-Курильск","Аллея Алексинская 707",1
1,1,"Василий Юдин",823979,1,14.16,"Собинка","ул. Чагинская 47",0
1,9,"Мирон Ивакин",1842220,19,15.23,"Северо-Курильск","Аллея Институтская 1-я 1348",1
1,4,"Бажена Нахапетова",1371702,24,15.88,"Скопин","ул. Хорошевского Серебряного Бора 4-я 378",0
1,4,"Линда Мясникова",1119165,20,13.6,"Северо-Курильск","ул. Лонгиновская 1041",0
6,1,"Пётр Федулеев",23037181,2,103.77,"Собинка","Аллея Ясногорская 1048",0
1,8,"Филимон Кислицын",3063759,14,18.07,"Вилюйск","ул. Кадырова 1009",0
1,3,"Ира Веселова",968549,7,14.61,"Муравленко","Аллея Каманина 1374",0
3,10,"Борис Донцов",6581307,16,42.4,"Скопин","ул. Седова 14",0
1,8,"Аврора Гальцова",333407,9,12.83,"Собинка","ул. Нижние Поля 280",0
1,12,"Логгин Арефьев",925285,13,14.43,"Канаш","ул. Железногорская 1-я 1077",0
1,12,"Леонид Крупнов",889895,17,10.0,"Северо-Курильск","ул. Луганская 1238",0
5,5,"Иакинф Денисов",10688583,14,71.1,"Муравленко","ул. Громова 688",0
2,7,"Сильвестр Сейдов",1469302,10,26.29,"Муравленко","ул. Парковая 15-я 20",1
3,3,"Анаит Сударушкина",4834569,17,39.19,"Северо-Курильск","Аллея Мытищинская 2-я 852",0
1,2,"Прокопий Бабиков",1770621,7,12.65,"Димитровград","Аллея Никитинская 93",0
1,1,"Стефания Радугина",565815,2,11.56,"Дмитриев-Льговский","Аллея Космодамианская 802",0
1,1,"Серафим Литвинов",1483362,2,14.57,"Канаш","Аллея Красная Пресня 560",1
4,6,"Родослав Щепило",13840862,20,70.62,"Собинка","Аллея Ельнинская 974",0
1,1,"Наоми Черкашина",254096,2,11.0,"Канаш","ул. Лазенки 3-я 345",0
4,2,"Наоми Арсеньева",6145184,15,39.36,"Юрюзань","ул. Западная 734",0
1,10,"Аркадий Певзнер",2245833,25,14.6,"Дмитриев-Льговский","ул. Арбатская 879",1
3,1,"Прокопий Авсеев",6627063,3,41.68,"Скопин","Аллея Магистральная 1-я 1047",0
6,12,"Алёна Королева",24887999,17,108.51,"Дмитриев-Льговский","ул. Красковская 319",0
1,2,"Флоренс Щелконогова",343676,7,14.91,"Канаш","Аллея Алексея Свиридова 232",0
1,6,"Авдей Панюшкин",2858009,25,17.38,"Юрюзань","ул. Академика Скрябина 479",0
4,2,"Лиана Ковалева",6357046,5,67.9,"Вилюйск","ул. Троилинская 826",0
5,22,"Лола Федулова",9529789,24,54.17,"Северо-Курильск","ул. Палочная 1268",0
1,11,"Сергей Милов",1807253,18,19.16,"Вилюйск","ул. Никулинская 1382",1
1,4,"Илина Трофимова",929251,11,18.57,"Канаш","ул. Смоленская 659",0
4,9,"Трифон Мурман",4649243,23,64.29,"Скопин","Аллея Старокачаловская 736",0
1,19,"Пафнутий Букша",2407250,20,18.61,"Вилюйск","Аллея Высоковольтная 930",1
8,10,"Николай Бабаченко",15222446,14,149.81,"Дмитриев-Льговский","Аллея Ляминская 674",1
4,1,"Арина Пантелеева",8718003,1,65.14,"Канаш","Аллея Маршала Федоренко 1340",0
