"rooms","address","floors","square","city","new","owner","floor","price"
6,"Аллея Рогожский М. 1240",2,69.55,"Кумертау",1,"Ядвига Аркадьева",1,7352629
3,"ул. Физкультурная 1242",2,53.81,"Чебоксары",1,"Демьян Репников",1,4497219
5,"Аллея Кольская 253",13,95.87,"Ярцево",0,"Савва Дружаев",8,19388789
3,"ул. Саввинская 864",14,39.78,"Таштагол",0,"Панкратий Алексеев",6,5258539
1,"ул. Академика Глушко 1207",4,17.8,"Киренск",1,"Лилит Янова",1,2314687
4,"Аллея Сретенские Ворота 944",2,63.98,"Чебоксары",0,"Бэлла Елизарьева",1,11255924
3,"ул. Хлебников 203",21,33.2,"Киренск",1,"Далида Ахадова",8,3889047
4,"Аллея Хвалынская 897",13,48.61,"Ярцево",0,"Азиза Дружинина",5,3244714
1,"ул. Пенягинская 2-я 33",7,16.04,"Чебоксары",1,"Мина Зорич",1,2002332
4,"ул. Чебоксарская 556",22,58.75,"Таштагол",0,"Фрида Волочкова",13,5090234
3,"ул. Криворожская 1004",16,48.37,"Бикин",1,"Добрыня Исаков",14,6717481
1,"ул. Академика Хохлова 779",10,18.06,"Шумиха",0,"Чулпан Горшкова",9,1942128
1,"Аллея Чистова 449",1,11.23,"Бикин",0,"Владимир Касимов",1,513849
1,"ул. Пресненская 804",4,15.26,"Чебоксары",1,"Ерофей Сид",1,1110333
3,"Аллея Красные Ворота 1060",22,32.21,"Киренск",0,"Евгения Муромская",6,3104864
1,"ул. Гарибальди 22",7,15.55,"Дорогобуж",0,"Фрол Пупкин",2,1924580
6,"ул. Брянский Пост 1153",7,93.19,"Киренск",1,"Бэлла Авдиева",6,8481354
1,"ул. Брестская 2-я 182",21,13.87,"Таштагол",0,"Ася Медведева",5,618018
1,"ул. Партизанская 838",10,13.01,"Бикин",1,"Валерьян Гайдар",2,1058763
1,"ул. Приорова 893",5,10.89,"Кумертау",1,"Дарья Багринцева",4,1239973
4,"Аллея Пятницкое 1086",10,46.26,"Плёс",0,"Савелий Гарасимов",6,1972675
1,"Аллея Беломорская 1223",18,10.0,"Ярцево",0,"Иван Кандауров",17,750744
1,"ул. Хлобыстова 191",21,20.76,"Кумертау",1,"Диана Золотцева",13,2978943
5,"Аллея Элеваторная 358",6,71.0,"Чебоксары",0,"Гордей Гандлевский",5,11847853
3,"ул. Пенягинская 2-я 1036",9,47.18,"Кумертау",1,"Зульфия Зотова",5,3579349
1,"ул. Рейсовая 1-я 584",21,13.66,"Чебоксары",1,"Мирон Гатапов",8,390134
1,"Аллея Фурманная 92",21,15.09,"Кумертау",0,"Джессика Галковская",18,676654
1,"ул. Марьинский Парк 1332",25,13.15,"Ярцево",1,"Дара Кириллова",2,1670565
1,"ул. Рейсовая 2-я 1293",22,17.92,"Чебоксары",1,"Мишель Огарева",15,3098974
8,"Аллея Каширское 478",16,128.58,"Киренск",0,"Константин Кошелев",2,16993922
2,"Аллея Костикова 193",15,32.32,"Кумертау",0,"Макар Боженко",8,5341787
12,"ул. Мансуровская 178",22,178.48,"Плёс",1,"Кирилл Слепухин",2,28120685
1,"Аллея Вилиса Лациса 1324",6,13.6,"Бикин",1,"Филат Муравьёв",1,625768
3,"ул. Береговая 866",8,52.4,"Киренск",0,"Мия Кашафутдинова",4,9669211
6,"Аллея Балаклавская 476",2,109.04,"Шумиха",0,"Ария Максимишина",1,19821005
1,"ул. Балканский Б. 104",25,17.08,"Бикин",0,"Донат Окатов",8,2090431
5,"ул. Белореченская 1093",19,94.08,"Ярцево",0,"Демид Мурманов",10,19080342
3,"Аллея Новочеркасская 1215",11,55.73,"Таштагол",1,"Марианна Кулагина",5,10111474
2,"ул. Басманная Нов. 296",25,35.49,"Кумертау",0,"Семён Ажаев",13,5953562
1,"Аллея Калужская М. 1064",5,12.42,"Бикин",0,"Созон Федоров",1,1661269
1,"ул. Байкальская 225",20,15.01,"Бикин",0,"Камилла Бартенева",2,403546
2,"ул. Никольская 1321",8,22.63,"Шумиха",0,"Зинаида Елфимова",5,3553286
1,"Аллея Затонная 1259",11,13.89,"Плёс",0,"Анфим Рябов",9,309856
3,"Аллея Грайвороновская 713",6,57.89,"Чебоксары",0,"Рина Игнатьева",2,5013780
6,"ул. Донская 704",11,94.67,"Кумертау",0,"Марика Гордеева",5,8062504
2,"ул. Иркутская 1221",8,37.44,"Киренск",1,"Нана Естамонова",6,8095029
4,"Аллея Плотинная 704",10,45.07,"Бикин",0,"Потап Белооченко",8,7547069
2,"ул. Страстной 1027",3,33.45,"Кумертау",0,"Еремей Жуликов",2,6952198
2,"Аллея Маршала Чуйкова 1333",1,38.25,"Плёс",0,"Ольга Подистова",1,6396121
1,"ул. Полоцкая 293",14,17.07,"Ярцево",1,"Зоя Анненкова",12,2339914
3,"Аллея Староможайское 718",10,30.92,"Ярцево",0,"Семён Еремеев",9,4353392
1,"ул. Оленая 253",14,10.0,"Киренск",1,"Григорий Минин",1,263555
1,"ул. Бригадирская 846",18,15.78,"Бикин",1,"Олеся Богословская",9,2705876
3,"ул. Остоженка 1054",23,35.37,"Таштагол",0,"Дорофей Чичваркин",6,5785018
5,"Аллея Сыромятническая Ниж. 1328",18,80.42,"Киренск",1,"Викентий Сапрыкин",2,15102410
1,"ул. Большого Круга 756",12,10.93,"Бикин",0,"Алексия Алипова",10,310214
1,"Аллея Владимирская 2-я 1223",7,18.07,"Киренск",0,"Лука Воронцов",6,2334405
1,"Аллея Институтская 209",1,16.54,"Кумертау",0,"Акакий Банщиков",1,1561111
1,"Аллея Коминтерна 976",14,13.04,"Ярцево",0,"Георгий Заборов",3,657851
3,"ул. Рудневой 321",18,36.34,"Плёс",1,"Порфирий Бабель",12,3408925
3,"ул. Тихвинская 720",13,35.45,"Кумертау",1,"Иван Лапутин",5,3071672
1,"ул. Прогонная 1-я 99",4,20.77,"Таштагол",0,"Леонид Дорошенко",3,1586773
2,"ул. Спиридоновка 1157",14,23.55,"Кумертау",0,"Николь Винтилова",12,3591892
3,"ул. Головачева 34",9,56.55,"Шумиха",0,"Акакий Пахомьев",5,9062516
4,"Аллея Остроумовская М. 951",20,77.95,"Ярцево",0,"Олег Крячко",12,10649976
4,"Аллея Академика Капицы 958",16,39.67,"Плёс",1,"Кора Курилова",10,2373887
4,"ул. Пионерская Б. 282",15,72.45,"Плёс",1,"Аполлинария Мурманина",9,15177308
4,"Аллея Анадырская 323",15,55.75,"Бикин",0,"Лилит Ненарокова",14,7473460
5,"ул. Фридриха Энгельса 1152",19,71.47,"Плёс",0,"Савва Пахмутов",6,10741812
2,"ул. Студенческая 923",9,19.75,"Ярцево",1,"Римма Далматова",5,322088
3,"ул. Новые Сады 8-я 566",21,30.82,"Киренск",1,"Фелисити Пудеева",18,3596262
1,"Аллея Депо 582",4,12.9,"Киренск",1,"Динара Курилова",3,876089
2,"ул. Панферова 727",24,20.23,"Бикин",0,"Шейла Купряшина",15,2206091
6,"Аллея Подгорская 523",16,83.95,"Шумиха",1,"Дара Волочкова",7,17939211
1,"Аллея Шереметьевское 968",4,16.65,"Ярцево",0,"Митрофан Терешков",1,2452084
1,"Аллея Защитников Неба 130",24,14.48,"Плёс",0,"Парфений Жулин",1,1270925
1,"Аллея Педагогическая 159",4,16.87,"Кумертау",1,"Леся Фурсова",3,987292
9,"Аллея Востряковское 244",15,134.93,"Ярцево",1,"Светлана Атаманова",12,11703258
1,"Аллея Покровские Ворота 802",12,18.27,"Шумиха",0,"Капитон Евлампиев",10,1614469
1,"Аллея Маршала Федоренко 251",11,12.76,"Шумиха",0,"Лариса Тихомирова",2,1354083
2,"Аллея Малино 122",13,32.52,"Бикин",0,"Хрисанф Бочоришвили",6,2807508
1,"ул. Коненкова 1231",23,12.41,"Киренск",0,"Олег Шарапов",6,1427972
5,"Аллея Уланская 780",23,69.34,"Бикин",1,"Мика Потапьева",21,8352337
3,"Аллея Сиреневая 532",17,38.83,"Ярцево",0,"Рикарда Жерихова",12,4216624
1,"ул. Крутицкая 393",4,13.55,"Киренск",0,"Афанасий Соков",3,880892
1,"ул. Ивана Франко 836",25,14.74,"Кумертау",1,"Алексия Ивлева",10,1559920
6,"Аллея Лухмановская 157",12,115.39,"Ярцево",0,"Марфа Еремеева",6,15888224
2,"Аллея Защитников Неба 487",23,34.6,"Бикин",1,"Дина Созонтова",19,2544935
6,"Аллея Текстильщиков 1-я 251",22,116.11,"Бикин",1,"Мадина Авилина",7,22785966
1,"ул. Новые Сады 10-я 1153",12,10.0,"Кумертау",0,"Моника Колпакова",7,304073
1,"Аллея Буракова 1055",8,11.49,"Киренск",1,"Лира Лялина",2,793281
2,"Аллея Ракетная 795",10,22.24,"Киренск",0,"Геннадий Павлюк",1,3063415
1,"ул. Мытищинская 1095",12,12.41,"Плёс",1,"Виталия Хаустова",10,1576760
1,"Аллея Мелитопольская 1-я 493",16,15.8,"Ярцево",0,"Валентин Лошкомоев",14,2239921
1,"Аллея Трикотажная 69",13,12.89,"Киренск",1,"Рада Богомякова",4,970376
6,"Аллея Новолучанская 1080",22,69.42,"Кумертау",1,"Тая Лужина",6,6013247
1,"ул. Подольское 454",16,18.67,"Плёс",1,"Флора Иовлева",1,2870085
3,"Аллея Графитная 901",15,51.38,"Кумертау",1,"Гавриил Борисенко",13,4376124
1,"ул. Левая 161",7,10.15,"Плёс",1,"Трифон Пальцев",3,339791
5,"Аллея Лазенки 4-я 864",16,76.16,"Бикин",0,"Пров Ковальджи",5,12700913
1,"ул. Бутовская Б. 1284",6,19.2,"Киренск",0,"Фредерика Потапьева",5,920896
2,"ул. Жидков 419",19,36.42,"Таштагол",1,"Янина Удальцова",13,7341775
4,"Аллея Ковылинская 1369",9,77.19,"Бикин",1,"Геннадий Куратов",2,7915351
5,"Аллея Панкратьевская 945",15,88.28,"Чебоксары",0,"Иоанна Дмитриева",10,14355586
6,"ул. Бескудниковская 312",18,101.05,"Чебоксары",0,"Пейтон Гришина",1,9382176
2,"Аллея Бухвостова 2-я 23",5,35.07,"Плёс",0,"Надежда Клюева",3,7393300
1,"ул. Старопименовская 651",20,10.22,"Ярцево",0,"Юлиан Одоевский",12,288199
1,"Аллея Малыгина 1192",1,12.27,"Кумертау",0,"Платон Шилов",1,531327
1,"Аллея Сперанского 1315",23,16.05,"Кумертау",0,"Шахина Бутова",14,2799947
2,"Аллея Линейная 896",24,36.28,"Киренск",0,"Никанор Софонов",22,4792210
5,"ул. Песчаный Карьер 695",15,56.68,"Таштагол",1,"Владимир Лоскутов",12,5731176
3,"ул. Викторио Кодовильи 457",18,52.79,"Бикин",0,"Яков Митрофаньев",16,7477920
1,"ул. Крылатская 2-я 1011",6,12.3,"Кумертау",1,"Эвелина Тёмкина",5,916229
1,"Аллея Сафоновская 229",3,11.87,"Кумертау",0,"Добрыня Анкудинов",1,1101797
1,"Аллея Чусовская 230",24,11.7,"Кумертау",1,"Софрон Гатапов",1,1008176
1,"Аллея Каменщики М. 254",23,16.07,"Бикин",0,"Виолетта Булочникова",11,833558
1,"Аллея Новый Арбат 908",16,13.18,"Кумертау",0,"Инна Воронова",9,328400
5,"ул. Красностуденческая 847",8,70.5,"Бикин",1,"Архипп Галковский",4,9078509
3,"Аллея Комсомольская 850",11,56.27,"Шумиха",0,"Камилла Алимпиева",6,12515768
1,"Аллея Ганецкого 161",23,11.58,"Бикин",0,"Варфоломей Тучков",7,1049429
1,"Аллея Юшуньская Б. 1013",25,16.69,"Ярцево",1,"Сабрина Африкантова",14,1283756
1,"ул. Айвазовского 1041",4,20.34,"Кумертау",0,"Иакинф Сычев",3,2470491
3,"ул. Трифоновская 1172",13,41.61,"Киренск",0,"Энже Инина",3,3304340
3,"Аллея Плавская 927",20,48.31,"Плёс",0,"Геласий Борисов",18,6823813
5,"Аллея Новохорошевская 1331",11,79.09,"Ярцево",1,"Парфений Щербин",3,13660560
1,"ул. Вспольная 697",10,15.69,"Кумертау",0,"Мелания Знаменская",4,2447657
2,"ул. Волховская 1030",19,30.0,"Ярцево",1,"Василиса Пруткова",17,3963069
5,"Аллея Палиха 779",2,89.92,"Шумиха",1,"Афанасий Панов",1,11987852
3,"Аллея Барклая 1335",14,30.67,"Киренск",0,"Ириней Федотов",8,4104540
2,"Аллея Щукинская 1366",4,20.58,"Плёс",1,"Роман Моисеев",1,3165754
1,"Аллея Михайловская 1091",5,16.55,"Таштагол",0,"Зиновий Большаков",1,2921552
1,"ул. Чукотская 304",3,12.93,"Ярцево",1,"Лукьян Кедрин",1,1314870
1,"ул. Сущевский Вал 1161",15,11.91,"Бикин",0,"Демид Багринцев",11,565217
2,"Аллея Новорублево 1014",24,20.13,"Ярцево",1,"Роман Фомин",21,314698
7,"ул. Солдатская 1010",8,101.54,"Бикин",0,"Кир Лутьянов",3,20932672
4,"Аллея Новомосковская 297",11,70.73,"Плёс",1,"Зара Мухина",7,8914590
1,"ул. Мякининская 3-я 898",19,10.72,"Ярцево",0,"Фелиция Елфимова",6,290185
1,"Аллея Генерала Карбышева 421",14,10.0,"Киренск",0,"Макар Рыльников",12,285718
2,"ул. Константина Царева 191",14,33.22,"Шумиха",0,"Всеволод Горлов",7,5510898
4,"ул. Генерала Карбышева 1316",25,69.66,"Ярцево",0,"Аркадий Бочоришвили",23,11771091
2,"Аллея Лужники 1018",13,21.84,"Киренск",0,"Ия Лидская",10,1103061
4,"Аллея Мароновская 607",22,43.77,"Кумертау",1,"Пётр Арсеньев",18,6278177
1,"ул. Вертолетчиков 977",13,13.14,"Киренск",0,"Викторина Казимирова",11,1568683
1,"ул. Изюмская 1020",23,10.0,"Кумертау",0,"Эльвира Фортунатова",6,311711
1,"Аллея Дворникова 1099",20,19.02,"Кумертау",0,"Любава Зотеева",11,2224455
1,"ул. Магаданская 1360",23,11.48,"Бикин",1,"Тарас Кедрин",19,904696
4,"ул. Реутовская 1346",17,48.39,"Киренск",0,"Сила Лукошин",16,3470271
1,"Аллея Линии Октябрьской Железной Дороги 366",3,13.65,"Бикин",0,"Корнилий Славников",2,1865256
4,"ул. Павлоградская 4-я 177",20,50.47,"Киренск",1,"Иакинф Алейников",8,9439982
1,"ул. Маяковского 125",1,12.88,"Ярцево",1,"Яков Герцен",1,392413
1,"ул. Леснорядская 1232",9,10.0,"Бикин",0,"Лера Каверина",1,509806
4,"Аллея Орловская 504",19,64.3,"Кумертау",1,"Бела Верникова",8,10419004
4,"Аллея Ножовая 982",21,63.3,"Чебоксары",0,"Варфоломей Гальего",6,11710598
6,"Аллея Маломосковская 714",7,106.8,"Киренск",0,"Рената Мелитонова",1,21978550
1,"Аллея Слепнева 151",16,16.86,"Кумертау",0,"Игорь Даньков",11,1681235
1,"Аллея Красносельская 148",8,19.71,"Шумиха",1,"Констанция Литаврина",4,1375209
2,"ул. Международный Нижн. 174",13,35.61,"Ярцево",0,"Надежда Громова",7,7054528
1,"Аллея Астрадамская 1287",7,14.73,"Киренск",0,"Ника Несмеянова",5,557797
1,"Аллея Перекопская 284",24,15.38,"Кумертау",1,"Поликарп Елизарьев",8,372230
2,"ул. Тихоновская М. 1094",14,27.68,"Таштагол",0,"Федот Позгалёв",13,3416088
1,"Аллея Шарикоподшипниковская 661",6,12.52,"Бикин",1,"Светлана Тургенева",3,257698
3,"ул. Переяславская Ср. 1207",15,58.21,"Дорогобуж",0,"Федосей Перумов",14,7228643
1,"Аллея Розанова 462",15,10.0,"Бикин",1,"Тэмми Фионина",7,359530
3,"Аллея Ширяевская М. 1339",25,29.36,"Киренск",1,"Трофим Бугрименко",11,2218778
1,"ул. Старокоптевская 1256",20,16.78,"Бикин",1,"Искра Вишнякова",3,842362
3,"Аллея Панферова 1352",21,29.58,"Бикин",1,"Агата Африканова",17,2185162
3,"ул. Савеловского Вокзала 754",1,28.85,"Чебоксары",0,"Николай Фурсов",1,678637
1,"Аллея Академика Несмеянова 820",13,24.83,"Шумиха",1,"Михаил Михеев",1,4057119
1,"ул. Кондратьевский Б. 1187",6,10.0,"Бикин",0,"Афанасий Ягужинский",4,518691
5,"ул. Садовая-Кудринская 505",10,60.42,"Кумертау",1,"Эдуард Шепилов",7,7269258
1,"ул. Новоспасский Верхн. 743",15,10.04,"Бикин",0,"Гульназ Загорцева",9,406191
1,"ул. Минаевская 783",25,10.0,"Кумертау",0,"Тина Норова",23,823730
2,"Аллея Вучетича 932",8,23.83,"Плёс",0,"Кирилл Липкин",5,3806995
1,"Аллея Внутренная 751",22,10.32,"Ярцево",1,"Прокопий Лыткин",9,743850
9,"ул. Дербеневская 629",25,162.63,"Шумиха",0,"Сиара Поликарпова",24,31248120
5,"Аллея Старокачаловская 1099",17,68.72,"Плёс",0,"Анатолий Акулов",16,10608129
4,"Аллея Лесная 1396",18,50.34,"Плёс",1,"Ким Левонов",10,7441268
1,"ул. Северодвинская 649",24,11.62,"Кумертау",1,"Леонтий Василенко",6,250556
3,"Аллея Самотечная 1012",24,54.41,"Кумертау",1,"Афанасий Радищев",3,6233991
1,"ул. Поварская 366",14,13.92,"Чебоксары",1,"Антон Боборыкин",5,1340351
1,"Аллея Новооскольская 878",23,15.97,"Чебоксары",0,"Екатерина Якушева",3,2441812
5,"Аллея Кунцевская 345",1,52.82,"Бикин",0,"Наиля Павлова",1,7147648
2,"ул. Коробейников 427",16,33.35,"Ярцево",1,"Дания Бояшова",1,6243118
1,"Аллея Изюмская 155",7,12.65,"Киренск",0,"Глафира Софроньева",5,1619140
1,"Аллея Ленина 188",10,14.23,"Плёс",0,"Никита Долиняк",1,588690
6,"Аллея Щелковское 899",9,71.02,"Кумертау",0,"Мелентий Зализняк",6,4065337
1,"Аллея Гороховская 349",18,17.15,"Кумертау",0,"Марк Драгунский",1,2866932
4,"Аллея Зоологическая 488",19,58.99,"Ярцево",0,"Иакинф Горчев",13,5758637
1,"ул. Научная 763",12,10.0,"Бикин",0,"Челси Агапьева",2,493141
4,"Аллея Хлебозаводская 108",12,47.14,"Бикин",0,"Влас Вахтин",8,8755264
1,"Аллея Таганская 1205",8,17.7,"Ярцево",0,"Мирослав Можаев",4,2457617
3,"ул. Октябрьская ж.д. Московское 611 км 117",17,52.07,"Бикин",1,"Рада Мартьянова",7,6910580
1,"ул. Главмосстроя 715",1,15.59,"Таштагол",0,"Федосей Сафонов",1,1372339
6,"Аллея Погонная 330",4,113.22,"Кумертау",0,"Риана Естамонова",1,13832117
1,"Аллея Крестьянская 813",7,11.98,"Шумиха",0,"Каре Щеглова",5,1050827
1,"Аллея Академика Петровского 1053",11,19.51,"Ярцево",0,"Ярослав Вакуленко",6,2145286
1,"ул. Кавказская 799",18,13.74,"Киренск",0,"Никодим Кондратов",10,1100108
1,"ул. Прядильная 3-я 725",17,19.35,"Плёс",0,"Саломея Купряшина",15,3265303
1,"Аллея Коровинская 995",17,17.58,"Кумертау",1,"Виссарион Долиняк",5,1385979
1,"Аллея Южнопортовый 2-й 860",12,18.77,"Плёс",0,"Стелла Памфилова",4,2046808
1,"Аллея Чоботовская 10-я 798",10,18.78,"Бикин",1,"Виктор Заболоцкий",7,1397101
4,"ул. Лазенки 4-я 152",25,39.05,"Киренск",0,"Нелли Бабаевская",9,1049612
1,"ул. Слепнева 138",25,10.21,"Бикин",1,"Вениамин Головачёв",6,1031661
1,"Аллея Хованская 30",6,15.76,"Кумертау",0,"Мара Курилова",1,653063
7,"ул. Слепнева 553",24,90.06,"Киренск",1,"Мирослав Беляев",14,16263696
5,"Аллея Радиальная 6-я 920",5,61.63,"Бикин",1,"Мстислав Скуратов",3,8587001
3,"Аллея Новоселки 3-я 1278",4,34.74,"Ярцево",0,"Ираклий Пучков",1,2753855
7,"ул. Леснорядская 2-я 673",17,90.7,"Бикин",1,"Лира Прокопьева",11,14457335
1,"ул. Городецкая 535",5,12.81,"Плёс",0,"Арсений Корнильев",3,1659098
2,"ул. Хованская 558",17,37.73,"Ярцево",0,"Фока Гладков",5,2787689
1,"Аллея Пестовская 677",21,10.88,"Бикин",0,"Аристарх Ивлев",10,618649
1,"Аллея Стройкомбината 110",13,12.73,"Киренск",1,"Пелагея Савостьянова",1,655246
3,"ул. Краснохолмская 1270",5,43.81,"Киренск",0,"Инна Гнилорыбова",3,8874406
4,"ул. Монтажная 116",4,39.55,"Кумертау",1,"Джиневра Бабикова",1,3362859
3,"ул. Лобанова 65",6,34.67,"Плёс",1,"Пахомий Борцов",2,1767524
1,"Аллея Путейская 888",12,13.05,"Кумертау",0,"Замира Нестерова",1,550108
3,"ул. Молжаниновская 1093",13,29.83,"Кумертау",0,"Мелисса Суворова",12,2458264
4,"Аллея Рюмин 508",17,44.31,"Бикин",1,"Владана Карамзина",13,5872483
1,"Аллея Санникова 1101",3,10.74,"Плёс",0,"Зиновий Заборов",2,634061
1,"ул. Покрышкина 1313",7,11.01,"Ярцево",0,"Динара Маркианова",5,311632
4,"ул. Чуксин 838",3,44.77,"Шумиха",0,"Фотий Варшавский",2,3559746
6,"Аллея Радиаторская 1-я 470",11,107.26,"Кумертау",0,"Августа Задорова",10,24687902
7,"ул. Матросова 182",3,116.41,"Шумиха",0,"Прокопий Довлатов",1,12834516
4,"Аллея Стрелецкая 740",6,58.01,"Ярцево",0,"Хюррем Бродская",5,6372151
1,"ул. Софийская 198",24,22.25,"Бикин",0,"Павел Бианки",15,2792136
1,"ул. Верхние Поля 8",4,16.91,"Ярцево",0,"Асия Домникова",1,708566
2,"Аллея Головачева 811",23,33.81,"Шумиха",0,"Мелентий Глушик",6,4572543
1,"ул. Заозерная 147",19,10.0,"Бикин",0,"Пафнутий Гагарин",3,299050
1,"ул. Новокузьминская 12-я 783",22,14.41,"Кумертау",1,"Роксолана Лескова",4,1821328
1,"Аллея Ляпидевского 162",6,10.0,"Бикин",0,"Милена Солопова",4,920891
5,"Аллея Новые Сады 2-я 1198",24,71.39,"Шумиха",1,"Кира Шмелева",7,12498548
1,"Аллея Дольская 400",25,12.48,"Плёс",1,"Прохор Молчанов",20,1448635
1,"Аллея Савеловского Вокзала 385",22,10.12,"Плёс",0,"Ава Колина",16,598873
8,"Аллея Трубниковская 34",4,136.36,"Бикин",0,"Альфия Кучерская",1,16439946
4,"ул. Папанина 1216",22,74.19,"Шумиха",1,"Виталий Шварц",8,15298247
5,"Аллея Седова 877",19,57.88,"Чебоксары",0,"Богдан Карлов",10,6986148
5,"ул. Пресненский Вал 1246",17,94.09,"Кумертау",0,"Гаяна Горланова",1,19140535
4,"Аллея Дениса Давыдова 1210",7,77.35,"Ярцево",1,"Ея Артемьева",4,14501052
1,"ул. Шумилова 988",13,16.61,"Чебоксары",1,"Дина Шашкова",5,1570013
3,"ул. Кремлевская 1342",13,30.11,"Кумертау",1,"Цагана Савельева",3,2211875
1,"Аллея Веневская 1275",8,10.8,"Плёс",1,"Белинда Феклисова",3,994340
1,"Аллея Нагатинская 644",6,11.33,"Киренск",1,"Кирилл Дижур",5,304164
1,"ул. Грохольская 140",3,18.51,"Кумертау",0,"Лариса Болучевская",2,2417373
1,"Аллея Ремесленная 474",12,18.5,"Плёс",1,"Гаяна Дудинцева",7,2154146
2,"ул. Парковая 6-я 238",6,36.74,"Киренск",1,"Евгения Овечкина",3,7438341
3,"ул. Генерала Жадова 469",25,47.11,"Плёс",1,"Владана Логинова",11,5860048
2,"Аллея Туманяна 1090",19,28.32,"Киренск",1,"Панкратий Корнильев",17,3794190
5,"Аллея Перекопская 1103",7,88.7,"Киренск",0,"Алина Кочергина",2,16076135
3,"ул. Жуков 243",17,57.98,"Бикин",0,"Ким Зверев",8,10309542
5,"Аллея Варварка 1066",25,83.64,"Бикин",0,"Наталья Галктионова",12,13011611
4,"ул. Знаменский М. 1099",11,62.85,"Ярцево",1,"Иосиф Никандров",9,6802450
6,"ул. Дружбы 1159",18,59.73,"Киренск",1,"Рина Дементьева",9,10501120
5,"ул. Несвижская 663",16,84.39,"Киренск",0,"Сильвия Михайлина",9,7165703
1,"Аллея Винтовая 584",13,15.55,"Ярцево",0,"Юлиан Залыгин",7,469913
3,"ул. Бунинская Аллея 1230",8,53.56,"Кумертау",1,"Саяна Анфимова",1,8500925
5,"ул. Патриарший М. 972",10,81.91,"Ярцево",0,"Камилла Липскерова",3,10286319
1,"Аллея Садовая-Каретная 852",9,16.75,"Шумиха",1,"Лукерья Ломоносова",8,2056121
2,"Аллея Госпитальный Вал 1032",24,26.63,"Таштагол",0,"Демьян Маслов",7,1212853
1,"Аллея Курганская 65",25,17.31,"Бикин",1,"Тит Гнедич",8,1866670
1,"Аллея Тупиковая 58",5,18.85,"Плёс",0,"Германн Овдокимов",3,2508874
2,"ул. Чечулина 1048",6,18.62,"Ярцево",0,"Вадим Мануйлов",3,2216334
1,"Аллея Кабельная 1-я 340",2,12.25,"Таштагол",1,"Марта Минаева",1,1325389
3,"Аллея Ширяевская М. 139",8,39.38,"Ярцево",0,"Софрон Ерошкин",6,7155540
5,"ул. Ножовая 922",2,95.77,"Киренск",0,"Емельян Сидоркин",1,9864918
1,"ул. Петровско-Разумовский Стар. 977",25,17.84,"Бикин",1,"Жансая Власова",19,2472307
5,"ул. Моревская 1259",24,88.3,"Киренск",0,"Аникита Гедеонов",15,19425174
8,"Аллея Туристская 203",5,145.56,"Шумиха",0,"Раиса Яковлева",1,21312724
1,"ул. Романов 638",7,10.0,"Бикин",0,"Чеслава Екимова",1,251224
5,"ул. Ватин Б. 1341",9,72.24,"Бикин",0,"Ангелина Чуприянова",6,15403810
1,"ул. Матвеевская 597",23,16.45,"Плёс",0,"Лукерья Семёнова",17,820623
1,"ул. Молжаниновская 334",8,15.65,"Кумертау",1,"Евсей Серов",1,423929
1,"Аллея Маршала Бирюзова 1117",17,10.0,"Кумертау",1,"Валерьян Симеонов",11,250816
1,"Аллея Дубовой Рощи 412",13,14.85,"Бикин",1,"Никифор Шерстобитов",2,1904728
3,"ул. Белгородская 629",7,46.12,"Кумертау",1,"Артём Серафимович",5,5768459
3,"ул. Мукомольная 490",12,33.4,"Плёс",1,"Кора Скворцова",10,1936898
2,"ул. Киевское 214",24,34.8,"Чебоксары",1,"Кирилл Дежнёв",9,2398056
1,"Аллея Карачаровская 2-я 579",24,16.83,"Таштагол",0,"Михримах Мелихова",6,694161
1,"ул. Лукино 2-я 1043",15,16.82,"Бикин",0,"Марика Рыбакова",4,836076
4,"ул. Кабельная 5-я 1278",12,71.46,"Таштагол",1,"Агафья Радищева",10,10605498
2,"ул. Библиотечная 695",9,18.66,"Киренск",0,"Ванесса Белорукова",8,1096104
1,"ул. Крупской 859",8,14.47,"Кумертау",0,"Долорес Громова",1,371491
6,"Аллея Академика Янгеля 81",22,85.31,"Киренск",1,"Фаддей Сбруев",5,14378293
1,"Аллея Торговая 1366",10,18.04,"Бикин",0,"Раяна Скуратова",2,1797908
5,"ул. Синявинская 561",17,79.96,"Ярцево",1,"Люсьена Земляная",12,15209741
1,"Аллея Северная 2-я 87",13,16.98,"Кумертау",0,"Ирма Ермилова",11,1921050
1,"Аллея Новолужнецкая 1205",21,11.51,"Ярцево",1,"Сафия Пьянова",1,745132
1,"Аллея Михайловка 1231",23,16.6,"Плёс",1,"Христофор Пономарёв",21,1755496
1,"ул. Шипиловская 591",14,18.96,"Шумиха",0,"Бажена Сурова",8,3193264
1,"ул. Кривоникольская 952",22,11.0,"Плёс",0,"Панкратий Шатыренок",21,850796
4,"Аллея Мурановская 1345",7,43.29,"Киренск",1,"Геннадий Ивонов",3,5328881
1,"Аллея Красная Пресня 221",21,14.78,"Киренск",1,"Жасмин Кругосветова",1,1521525
7,"ул. Токарная 904",5,131.79,"Шумиха",0,"Геласий Дедов",4,25461084
2,"Аллея Тополевая 22",21,24.55,"Кумертау",1,"Нана Капустина",18,2978077
5,"Аллея Мякининская 5-я 972",25,83.63,"Киренск",0,"Зоряна Жбанова",22,14875211
