"rooms","new","owner","address","floor","square","floors","price","city"
3,1,"Ирма Мурманцева","Аллея Малахитовая 1044",7,37.13,15,5983618,"Холмск"
3,1,"Мина Ломакин","ул. Тимирязевская 1202",14,52.12,16,9546145,"Чайковский"
1,0,"Инга Анненкова","Аллея Гурьянова 737",2,17.36,5,2198133,"Кохма"
1,0,"Регина Евстратова","ул. Спортивная 685",13,12.38,14,1518367,"Чайковский"
4,0,"Демьян Долинский","ул. Хорошевского Серебряного Бора 2-я 412",4,76.26,25,9241993,"Холмск"
4,1,"Зита Абакумова","Аллея Хорошевского Серебряного Бора 1-я 1139",7,55.53,24,6293224,"Кохма"
2,0,"Лука Лыжин","ул. Магазинная 691",12,20.53,13,1986282,"Кохма"
1,1,"Фома Углев","ул. Упорная 271",3,16.25,20,2140173,"Чайковский"
1,0,"Шейла Шилова","Аллея Кузнецкий Мост 980",2,18.52,9,3122444,"Чайковский"
2,0,"Леся Чурилова","ул. Гольяновская 1270",1,35.76,2,7069461,"Чайковский"
3,0,"Бажена Терешкова","Аллея Родионовская 33",11,45.6,18,2935228,"Холмск"
6,0,"Константин Евменьев","ул. Маршала Полубоярова 817",9,102.57,12,22814788,"Чайковский"
3,1,"Анаит Манулкина","Аллея Школьная 814",9,35.0,14,4786126,"Чайковский"
1,1,"Индира Симеонова","Аллея Ливенская 1076",5,22.07,20,4406460,"Оха"
1,1,"Макария Кирова","ул. Сокольнический Павильонная 101",4,18.3,14,1267876,"Холмск"
4,1,"Фрида Жбанова","ул. Танковая 130",6,63.49,18,10745809,"Чайковский"
3,0,"Савелий Аникеев","ул. Раменки 578",5,35.61,6,2611860,"Перевоз"
3,1,"Анфим Бессараб","Аллея Прудовой 500",2,39.39,11,2654747,"Чайковский"
4,1,"Арианда Белова","ул. Лыковская 3-я 691",5,56.32,14,4463255,"Чайковский"
5,0,"Тереза Анисимова","ул. Златоустинский М. 554",22,63.63,23,9639523,"Кохма"
1,0,"Муза Спиридонова","Аллея Студенческая 351",6,18.68,18,3501143,"Перевоз"
1,1,"Панкратий Дижур","Аллея Сокольническая Слободка 1230",2,16.91,17,2347822,"Кохма"
1,0,"Фотий Ивакин","Аллея Маршала Рокоссовского 669",6,10.71,8,267785,"Чайковский"
1,1,"Ольга Боярская","ул. Гашека 1074",10,10.23,21,321541,"Кохма"
5,1,"Кузьма Цыганов","ул. Амилкара Кабрала 728",1,63.15,5,4046567,"Чайковский"
1,1,"Рина Покровская","ул. Челобитьевское 738",2,14.71,6,733006,"Холмск"
1,1,"Томирис Черепанова","Аллея Мартина Лютера Кинга 367",7,18.58,10,3171244,"Чайковский"
5,0,"Христофор Авксентьев","ул. Малыгинская 636",12,81.49,14,14100129,"Кохма"
3,0,"Эраст Степанов","Аллея Малыгина 429",6,27.77,9,1772627,"Кохма"
1,0,"Берта Зыкова","Аллея Цюрупы 865",5,15.72,11,1652771,"Чайковский"
3,0,"Земфира Ефросинова","ул. Мелиховская 800",2,55.69,3,6489339,"Перевоз"
3,1,"Ребекка Нахапетова","ул. Трехгорный Вал 275",12,55.23,19,11320251,"Холмск"
1,0,"Наиля Ломова","Аллея Николаева 1240",1,10.0,1,562287,"Чайковский"
2,0,"Анфим Спивак","ул. Крапивенская 947",4,25.29,15,2032509,"Кохма"
5,1,"Глеб Витковский","ул. Пугачевская 2-я 1090",4,55.87,16,6173384,"Кохма"
1,1,"Еремей Титовых","Аллея Андроновское 925",4,10.0,14,343157,"Холмск"
6,1,"Иван Мелихов","Аллея Ляпидевского 1276",23,107.15,24,13424687,"Оха"
8,0,"Эраст Басыров","Аллея Пионерская 585",4,79.33,20,3508418,"Кохма"
2,0,"Руслан Герман","ул. Лаврушинская 995",8,31.53,20,3486211,"Чайковский"
6,0,"Поликарп Далин","ул. Просвещения 807",2,91.15,15,9988861,"Холмск"
3,0,"Рузалия Лескова","ул. Оружейная 202",6,49.7,10,10633954,"Чайковский"
3,0,"Изабелла Козлова","ул. Коломенская 97",12,46.45,14,7225001,"Кохма"
4,1,"Федосей Бенедиктов","Аллея Коровинское 511",7,40.75,12,6167438,"Кохма"
2,0,"Иоанна Мамедова","ул. Цандера 1210",4,26.47,25,1936825,"Холмск"
2,0,"Лидия Тимофеева","ул. Измайловская Пасека 473",8,37.65,13,5227879,"Чайковский"
1,0,"Антонин Любимов","Аллея Ярославская 944",10,15.0,21,1983465,"Перевоз"
2,0,"Рузалия Коржавина","ул. Подъемная 63",11,30.49,19,3962092,"Оха"
1,1,"Эльнара Трефильева","ул. Щетининская 978",21,10.0,25,328338,"Чайковский"
1,1,"Лера Багирова","Аллея Мытищинская 3-я 534",5,18.97,15,1436520,"Чайковский"
4,1,"Иннокентий Щербаков","ул. Дубровская 1-я 251",10,56.08,16,11291663,"Чайковский"
3,0,"Паисий Иванов","Аллея Лиственничная 1212",14,35.31,16,3138603,"Чайковский"
1,1,"Сесилия Никтитина","ул. Радарная 960",1,17.86,2,2850934,"Чайковский"
1,0,"Аристарх Созонтов","ул. Ведерников 1182",10,14.64,21,1682590,"Кохма"
4,0,"Святополк Агутин","ул. Дроболитейная 1050",1,62.43,6,4813775,"Оха"
3,0,"Варлам Дорофеев","ул. Всеволода Вишневского 718",1,42.4,5,4106055,"Кохма"
1,1,"Демьян Нетёсов","ул. Милицейская 1292",7,13.31,21,1985016,"Кохма"
2,0,"Этель Есипова","Аллея Ряжская 354",1,24.29,5,3327947,"Чайковский"
4,0,"Ефрем Косник","ул. Тверская-Ямская 2-Я 1256",1,39.58,2,1040689,"Чайковский"
1,1,"Ермолай Фокин","ул. Тайнинская 422",2,16.66,25,1803846,"Кохма"
2,1,"Мира Якимова","Аллея Бусиновская Горка 1030",23,17.64,25,990558,"Перевоз"
1,1,"Евграф Листьев","Аллея Денежная 962",6,16.8,9,1468905,"Чайковский"
1,0,"Айгуль Молчанова","Аллея Дорогомиловская Застава 115",2,15.49,4,1115764,"Кохма"
4,0,"Фирс Шукшин","Аллея Новоспасская 832",3,73.83,7,14030534,"Холмск"
2,1,"Мелисса Житкова","ул. Шломина 983",8,22.92,19,831496,"Кохма"
2,1,"Лия Лорченкова","Аллея Лихоборская 368",7,31.47,18,6263213,"Кохма"
3,1,"Ираклий Константинов","ул. Узкая 700",6,53.12,16,6659362,"Чайковский"
3,0,"Эвита Ананьева","ул. Сестрорецкая 3-я 228",10,28.72,14,766507,"Кохма"
1,0,"Прохор Тютчев","ул. Миусская 1-я 7",6,12.35,7,1141793,"Кохма"
2,1,"Алексей Калашников","Аллея Панфиловская 90",1,23.55,15,633470,"Холмск"
1,1,"Виталия Буторина","ул. Каштановая 849",1,12.72,2,1474726,"Чайковский"
7,1,"Фотий Филатов","ул. Ясногорская 938",1,92.24,6,18439924,"Холмск"
3,0,"Святополк Гаврилин","Аллея Каскадная 834",6,55.04,11,9508062,"Кохма"
5,0,"Иакинф Садофьев","Аллея Хользунова 68",6,59.37,25,7040363,"Кохма"
1,1,"Корнелия Снегирева","Аллея Гороховская 220",6,10.91,16,338052,"Кохма"
1,1,"Виссарион Корабальников","ул. Нагорная 718",24,10.86,25,568353,"Кохма"
1,1,"Тарас Степной","Аллея Кондрашевская 1348",3,19.02,24,2428895,"Кохма"
3,0,"Андрей Гурьев","Аллея Старая 1319",11,27.71,18,1308163,"Кохма"
3,1,"Нурия Фефилова","ул. Подушкино 314",1,53.31,2,5805635,"Холмск"
1,0,"Шахина Николаева","ул. Брянский Пост 731",11,16.99,17,833217,"Холмск"
1,1,"Мара Богомякова","ул. Благовещенская 841",8,16.09,9,1627149,"Чайковский"
4,1,"Елизавета Войнова","Аллея Елецкая 1034",21,39.96,24,6434683,"Кохма"
1,1,"Демьян Самылов","ул. Ордынка М. 1299",15,13.36,19,517301,"Холмск"
6,0,"Вадим Слепнев","ул. Ферганская 1098",5,61.47,7,8445958,"Кохма"
1,1,"Федот Гершанов","ул. Петропавловская 1151",1,13.9,9,1803507,"Холмск"
1,1,"Ядвига Сбруева","Аллея Чоботовская 5-я 349",10,10.0,12,302825,"Чайковский"
9,0,"Иосиф Кудинов","Аллея Ейская 912",3,109.4,8,19065437,"Холмск"
1,0,"Хлоя Назарьева","Аллея Оленая 49",12,12.97,15,1394304,"Холмск"
1,0,"Златослава Самылова","Аллея Жуковского 198",18,10.63,19,344791,"Холмск"
1,1,"Нонна Варшавская","Аллея Бахрушина 921",6,15.02,12,703365,"Чайковский"
7,1,"Юния Максимишина","Аллея Новоцарицынское 322",4,109.8,24,19707306,"Холмск"
7,1,"Лиана Саватьева","Аллея Воловья 182",3,79.21,5,15038836,"Холмск"
1,1,"Фёдор Павловский","Аллея Алымова 76",7,17.74,13,3103513,"Чайковский"
1,0,"Зара Патрикеева","ул. Фрунзенская 2-я 191",18,16.49,24,1926602,"Кохма"
6,1,"Юлия Аркадьева","ул. Тессинская 554",1,94.88,7,15232274,"Чайковский"
4,0,"Нея Северьянова","ул. Звенигородская 2-я 993",1,65.7,2,9010988,"Кохма"
5,1,"Иулиан Михаленко","ул. Чудов Б. 231",1,64.38,2,8625853,"Чайковский"
3,0,"Вениамин Хлопонин","ул. Базовская 360",1,30.63,1,1974241,"Перевоз"
1,1,"Ванда Победоносцева","ул. Новинская 1313",1,15.21,4,1516808,"Холмск"
3,0,"Порфирий Елеазаров","ул. Волжский Бульвар 113 А 351",10,53.21,25,10416023,"Чайковский"
6,1,"Дженнифер Кедрина","ул. Мелькисаровская 168",2,71.37,6,6538215,"Оха"
1,1,"Федора Квартальнова","Аллея Кривоникольская 605",11,19.6,23,1355694,"Холмск"
5,1,"Жасмин Якимова","Аллея Академика Виноградова 1010",5,57.38,6,7675198,"Чайковский"
3,1,"Никита Дубинин","Аллея Волжский Бульвар 114 А 893",10,44.38,14,8174823,"Перевоз"
5,1,"Еремей Ермилин","ул. Генерала Белобородова 105",5,55.6,13,5149622,"Оха"
1,0,"Федора Каверина","Аллея Изюмская 140",2,15.4,6,1733175,"Холмск"
1,0,"Кузьма Трефильев","ул. Тенистая 1176",13,13.92,25,960439,"Кохма"
7,1,"Святослав Каневский","Аллея Боровая 934",2,115.18,19,21906768,"Чайковский"
1,0,"Родион Гладышев","Аллея Шереметьевская 1337",1,10.0,7,636044,"Кохма"
6,0,"Флора Маргелова","Аллея Федосьинская 186",1,97.19,2,11984109,"Оха"
1,0,"Никодим Цветков","Аллея Рублевская 64",19,15.02,24,503255,"Кохма"
4,1,"Андрей Мелитонов","ул. Гримау 281",2,45.9,6,3892849,"Чайковский"
4,1,"Шейла Щукина","ул. Бакунинская 1025",1,74.76,16,8958442,"Кохма"
2,0,"Платон Москвин","ул. Донелайтиса 634",2,21.9,25,1266225,"Кохма"
1,1,"Севара Лукина","Аллея Ухтомская 964",2,18.81,10,1312079,"Холмск"
1,0,"Фотий Гнедич","ул. Золоторожский Верхн. 881",4,19.48,5,3338663,"Холмск"
2,0,"Венедикт Свечин","ул. Дурасовская 88",1,20.61,3,1754388,"Перевоз"
5,1,"Поликарп Берёза","ул. Бухвостова 3-я 989",2,49.02,5,6525247,"Чайковский"
3,1,"Евстафий Фомичёв","Аллея Трехгорный Вал 1197",3,40.24,8,7419974,"Холмск"
3,1,"Руфь Дорофеева","ул. Кисельный Нижн. 1090",1,39.67,2,5718955,"Кохма"
7,1,"Агафон Давыдов","ул. Лефортовский Вал 963",1,105.51,7,22766904,"Чайковский"
2,1,"Августина Черепенникова","ул. Федосьинская 107",4,37.97,5,8387035,"Холмск"
4,0,"Александр Зимин","ул. Дежнева 1263",13,76.79,18,11542580,"Кохма"
4,1,"Екатерина Кузьмина","ул. Крылатская 1-я 825",1,47.53,4,2950096,"Чайковский"
2,0,"Лада Меркурьева","Аллея Генерала Глаголева 1380",10,31.33,13,4981399,"Оха"
7,1,"Вавила Гуляев","ул. Рождественская 262",2,128.99,6,29294031,"Оха"
1,1,"Венедикт Емельянов","ул. Охотничья 1096",6,12.61,7,286382,"Перевоз"
4,0,"Святослав Валентинов","ул. Чоботовская 11-я 929",5,76.84,22,6791012,"Оха"
9,1,"Тихон Упатов","ул. Розанова 433",4,143.52,10,18470499,"Холмск"
1,1,"Эрика Люкина","ул. Ленская 582",2,16.86,4,2505936,"Чайковский"
1,0,"Агапия Амосова","Аллея Прямой 47",1,18.52,1,1008201,"Перевоз"
2,0,"Антонина Пименова","ул. Новокрюковская 953",17,37.4,24,8036605,"Кохма"
4,1,"Анита Семёнова","Аллея Коленчатая 1099",4,72.05,11,6847891,"Холмск"
5,0,"Пров Парщиков","ул. Кленовая 302",1,58.63,9,3159221,"Кохма"
1,0,"Шахина Тасбулатова","Аллея Сержантская 1233",1,15.81,2,2346471,"Чайковский"
1,1,"Ириней Серенко","Аллея Юшуньская Б. 1259",14,12.65,20,837080,"Холмск"
5,0,"Раяна Калашникова","ул. Луговой 299",1,89.9,1,17956029,"Кохма"
4,0,"Антонин Викентьев","Аллея Викторенко 881",19,74.16,24,11094167,"Кохма"
1,0,"Екатерина Боченкова","Аллея Милицейская 259",16,10.86,21,671058,"Оха"
4,1,"Мирон Мигулёв","Аллея Новолесная 967",3,48.13,23,7657551,"Чайковский"
3,0,"Ариадна Яськова","ул. Рюмин 270",4,56.48,18,8693785,"Кохма"
4,1,"Тит Белобоцкий","Аллея Бобруйская 744",9,76.2,12,8037817,"Кохма"
1,0,"Влас Арро","ул. Беломорская 416",6,16.55,12,2204585,"Холмск"
3,0,"Трифон Аркадов","Аллея Алябьева 870",14,39.09,21,6497820,"Чайковский"
4,0,"Денис Панкеев","ул. Симоновский Вал 885",2,43.33,4,6795600,"Холмск"
1,1,"Мелентий Димитриев","ул. Забелина 131",7,11.6,19,1274674,"Холмск"
3,0,"Хрисанф Алипов","ул. Вишняковская 191",8,50.0,23,3678387,"Чайковский"
6,1,"Полина Липскерова","Аллея Бибиревская 1264",8,101.37,10,12431093,"Кохма"
6,1,"Вероника Корнилова","Аллея Садовая-Каретная 1049",1,74.71,4,10911696,"Чайковский"
2,1,"Протасий Заболоцкий","ул. Берсеневская 144",1,21.88,6,1814884,"Холмск"
1,0,"Ефрем Зонис","ул. Перовское 194",3,14.5,7,2073634,"Перевоз"
1,1,"Эдуард Багрянцев","Аллея Бехтерева 778",3,14.02,7,1137574,"Холмск"
10,1,"Сара Ивонова","ул. Кузнечная 190",3,170.25,12,34620245,"Холмск"
1,0,"Агния Денисова","ул. Воловья 1002",6,10.0,7,447791,"Кохма"
6,0,"Ай Самсонова","Аллея Пржевальского 899",6,78.86,15,7673890,"Холмск"
1,1,"Юния Перфишина","ул. Садовая-Кудринская 1307",11,14.36,22,1671587,"Холмск"
2,1,"Элла Сопронова","ул. Декабристов 178",4,19.0,12,2645691,"Перевоз"
5,0,"Энже Всеволожская","Аллея Исаковского 1233",1,81.71,1,17752427,"Чайковский"
1,1,"Нонна Ешкилева","ул. Лениногорская 728",8,12.13,9,1482115,"Чайковский"
4,1,"Якун Дьячков","ул. Саврасова 1251",5,68.0,25,13615770,"Кохма"
7,0,"Тэмми Советова","Аллея Липчанского 793",12,124.78,15,20040441,"Чайковский"
1,0,"Глеб Первушин","Аллея Авиаконструктора Сухого 459",20,12.15,21,338865,"Кохма"
8,0,"Михаил Парменьев","ул. Соломенной Сторожки 898",4,110.91,8,22878610,"Кохма"
7,1,"Мадина Полуянова","Аллея Кустанайская 361",12,84.92,18,14112402,"Холмск"
3,0,"Хрисанф Дудин","Аллея Кадомцева 1083",3,35.63,5,5844539,"Чайковский"
1,0,"Александра Фефилова","ул. Леснорядская 121",2,15.31,15,1263829,"Холмск"
2,0,"Софья Софроньева","Аллея Южнобутовская 158",1,35.97,2,6740337,"Кохма"
1,0,"Лира Авилова","Аллея Светлогорская 284",5,14.42,8,1314867,"Оха"
4,1,"Лукий Успенский","ул. Академика Хохлова 1061",14,53.37,23,7385147,"Чайковский"
2,0,"Наима Карпова","ул. Юннатов 116",7,38.92,14,4287597,"Холмск"
6,1,"Лилия Воробьева","Аллея Люблинская 898",6,83.77,8,7525397,"Чайковский"
5,1,"Алексия Протоклитова","Аллея Полковая 1052",1,69.73,8,10228442,"Кохма"
7,1,"Станислав Димитриев","ул. Декабристов 610",3,125.32,5,27591921,"Перевоз"
4,1,"Всеволод Короленко","Аллея Новинки 704",16,46.38,22,3575325,"Кохма"
1,0,"Владана Мерецкова","ул. Лыткаринская 1176",3,15.8,10,1178531,"Холмск"
4,0,"Авдей Жуков","Аллея Красковская 704",17,55.85,18,11615463,"Перевоз"
1,1,"Корнилий Елфимов","Аллея Михайловка 410",5,15.79,19,445509,"Кохма"
3,1,"Рина Мисайлова","ул. Героев Панфиловцев 747",2,37.46,9,1620161,"Оха"
1,0,"Регина Гарасимова","Аллея Волгоградская 4",8,17.7,14,1667640,"Перевоз"
5,0,"Дорофей Богомолов","Аллея Феодосийская 1240",4,61.23,11,6860630,"Перевоз"
11,0,"Даяна Власьева","ул. Фабричная 181",5,143.02,6,21104037,"Кохма"
1,0,"Бьянка Софонова","ул. Петрозаводская 69",18,14.13,21,1360555,"Кохма"
5,1,"Жансая Окатова","ул. Внуковская 2-я 1155",1,78.39,6,6701859,"Кохма"
7,0,"Амира Шестакова","ул. Новоселки 4-я 1208",1,77.28,11,4183839,"Перевоз"
1,0,"Панкратий Тихонов","ул. Новолесной 914",24,17.81,25,2972177,"Оха"
2,0,"Владана Лаврова","ул. Амилкара Кабрала 1244",1,27.64,1,1220441,"Холмск"
1,1,"Айсель Сидоркина","Аллея Медвежая 323",8,11.37,10,359982,"Перевоз"
1,1,"Серафим Глушик","ул. Щибровская 1197",3,12.66,11,1617341,"Холмск"
2,1,"Ириней Серебренников","Аллея Захарьино 852",2,25.98,23,2215087,"Оха"
5,1,"Елена Власьева","Аллея Складочная 577",1,56.26,3,6509410,"Чайковский"
1,0,"Анатолий Шукшин","ул. Багрицкого 609",1,16.1,4,1360624,"Перевоз"
5,1,"Аза Перхурова","ул. Россошанская 1307",15,51.51,25,5814169,"Чайковский"
5,0,"Аза Всеволожская","ул. Канатчиковская 584",2,66.25,9,4445597,"Кохма"
1,1,"Ильзира Волочкова","ул. Воробьевское 745",5,12.7,12,1618789,"Холмск"
4,1,"Лада Байбородина","ул. Андроновское 1194",1,40.93,2,5537767,"Оха"
2,0,"Домна Зосимова","ул. Обручева 885",12,22.06,18,1693858,"Перевоз"
1,1,"Онуфрий Буровский","ул. Индиры Ганди 267",3,10.0,15,891769,"Кохма"
3,1,"Варсонофий Прудников","Аллея Чукотская 228",5,30.47,7,606959,"Чайковский"
1,1,"Аделаида Слаповская","Аллея Рощинская 3-я 1351",9,10.55,23,836734,"Чайковский"
1,1,"Аксинья Зябликова","Аллея Валдайская 1339",10,16.44,17,1780388,"Чайковский"
2,1,"Эльмира Сафонова","Аллея Тишинский Б. 249",4,35.98,7,7226921,"Перевоз"
6,1,"Земфира Николина","ул. Мытная 13",3,74.63,21,7130781,"Перевоз"
1,0,"Люче Свечина","Аллея Широкая 1374",10,17.57,14,2471396,"Чайковский"
1,0,"Ираклий Евдокимов","Аллея Староватутинская 852",5,14.05,16,1618493,"Кохма"
5,0,"Мстислав Надсон","Аллея Кирпичная 1135",14,65.43,20,7058629,"Чайковский"
1,0,"Пров Фурманов","ул. Полуярославский Б. 291",2,18.16,5,1005562,"Чайковский"
4,1,"Айару Хадеева","ул. Хуторская 2-я 748",3,55.18,4,9129334,"Оха"
1,0,"Феликс Назарьев","Аллея Кожевнический Вражек 725",22,13.72,24,1442496,"Кохма"
8,1,"Степан Гермогенов","ул. Маросейка 247",4,80.83,23,12129451,"Чайковский"
8,1,"Марк Померанцев","Аллея Октябрьская 1214",1,129.42,7,12056895,"Чайковский"
2,0,"Еремей Антипьев","Аллея Войкова 388",2,22.16,4,1238000,"Кохма"
1,0,"Жозефина Иевлева","Аллея Мусы Джалиля 584",13,12.36,16,1211462,"Чайковский"
7,0,"Лолита Евстигнеева","ул. Красные Ворота 211",5,126.8,17,27617739,"Оха"
5,0,"Сабрина Маринина","Аллея Орлово-Давыдовская 1065",4,62.37,6,11356484,"Кохма"
3,1,"Филипп Беспаленко","ул. Лялин 488",14,33.15,22,4347280,"Холмск"
1,1,"Виталия Осеева","ул. Челябинская 1266",2,10.0,3,615621,"Чайковский"
1,0,"Асель Епифаньева","ул. Рязанская 714",3,10.0,8,412341,"Кохма"
3,1,"Акакий Болотов","Аллея Палисадная 332",10,47.07,25,5052107,"Кохма"
1,0,"Циара Олсуфьева","Аллея Сестрорецкая 1-я 376",2,14.38,3,881321,"Холмск"
3,0,"Куприян Лигачёв","ул. Резервная 604",1,42.56,2,8185659,"Кохма"
2,1,"Даяна Шабалова","ул. Каширская 894",1,26.74,1,4104501,"Оха"
1,0,"Эвита Екимова","ул. Шатурская 945",7,11.56,9,1166605,"Оха"
5,1,"Валерий Пепперштейн","ул. Новодевичьего Монастыря 492",3,77.57,9,11071460,"Кохма"
5,1,"Роберта Мамедова","Аллея Лукьяновская 319",20,88.99,23,16216128,"Чайковский"
2,1,"Лиана Осипова","Аллея Маршала Бабаджаняна 1139",3,32.46,10,3164303,"Чайковский"
1,0,"Дарья Сенчина","ул. Крылатская 1395",9,19.84,20,2322004,"Холмск"
1,1,"Богдан Фотеев","Аллея Туристская 830",1,19.42,1,2966000,"Кохма"
1,1,"Евангелина Акимова","Аллея Новая Дорога 455",6,16.19,15,2591979,"Оха"
2,0,"Харитон Вайнеры","Аллея Смольная 433",1,27.59,9,3892416,"Перевоз"
6,1,"Инга Зверева","Аллея Подушкино 1253",4,97.92,23,18390612,"Чайковский"
9,0,"Шахина Панфильева","ул. ЦНИИМЭ 1237",8,98.84,17,10656359,"Кохма"
2,0,"Ума Комарова","Аллея Ряжская 79",12,38.71,13,3006895,"Кохма"
2,1,"Христофор Подистов","Аллея Конюшковская 1141",4,28.96,6,1361158,"Оха"
1,1,"Иллирика Кононыхина","ул. Новозаводская 1043",1,15.93,7,1701665,"Оха"
5,0,"Ростислав Золотцев","ул. Верещагина 772",3,59.87,24,9980302,"Чайковский"
8,0,"Эльвира Еланцева","Аллея Волынская 955",11,75.86,23,13175982,"Чайковский"
1,1,"Зарема Платухина","Аллея Погонная 1050",2,10.73,17,466315,"Чайковский"
1,1,"Аксинья Кучерская","ул. Песчаный Карьер 343",3,20.26,5,1152529,"Чайковский"
8,0,"Магдалена Сокова","Аллея Варсонофьевская 304",8,104.65,10,21201721,"Чайковский"
1,0,"Тэмми Чикова","Аллея Врачебная 872",9,17.01,14,2991328,"Кохма"
1,0,"Урсула Суворова","Аллея Троицкая 1209",4,13.22,22,853393,"Холмск"
3,0,"Ярина Цыганова","ул. Зональная 22",11,38.18,13,2261979,"Оха"
1,0,"Айару Драгунская","ул. Бауманская 2-я 914",1,16.65,20,2879119,"Чайковский"
5,0,"Феоктист Маркианов","ул. Белореченская 942",2,91.76,8,9347084,"Чайковский"
2,0,"Юрий Лихачёв","Аллея Барабанная 1327",17,29.71,19,5286024,"Чайковский"
2,1,"Челси Бочкова","ул. Хлыновская 1104",1,32.88,3,4764508,"Чайковский"
6,1,"Таисия Светлова","Аллея Савеловского Вокзала 1106",1,64.31,1,7740020,"Оха"
2,1,"Людмила Грибанова","ул. Башиловская 661",1,31.0,5,3468938,"Кохма"
2,0,"Илюза Давыдова","ул. Поленова 474",12,19.62,21,1572729,"Кохма"
1,0,"Аиша Филаретова","Аллея Теплостанская 655",7,10.17,8,309009,"Кохма"
1,0,"Денис Цветков","ул. Васильцовский Стан 1124",1,11.07,1,332765,"Перевоз"
1,0,"Ева Бартенева","ул. Пудовкина 851",5,20.87,15,4053641,"Чайковский"
1,1,"Владислав Малинин","Аллея Барашевская 1345",10,17.67,17,3244109,"Кохма"
2,0,"Серафим Чуковский","Аллея Новомосковская 1219",3,25.21,4,4372998,"Чайковский"
7,0,"Самира Дормедонтова","Аллея Винтовая 952",1,112.13,1,24545412,"Холмск"
3,1,"Юрий Васильевич","Аллея Новопотаповская 679",2,58.43,24,9572253,"Холмск"
1,1,"Дана Опимахова","Аллея Чоботовская 9-я 822",16,16.75,23,1848420,"Холмск"
1,0,"Вита Сысоева","Аллея Андроньевская 223",6,14.83,20,1194771,"Холмск"
1,0,"Савва Шерстобитов","Аллея Хлебников 1352",4,11.61,13,652897,"Перевоз"
1,1,"Дина Евменова","Аллея Новооскольская 1175",2,15.39,3,2480735,"Чайковский"
4,1,"Люсиль Дьячкова","ул. Малахитовая 41",9,46.11,14,6116866,"Кохма"
1,0,"Лия Щепкина","Аллея Дубравная 557",3,14.45,23,1462374,"Чайковский"
3,0,"Аиша Прокопьева","ул. Заозерная 328",3,52.91,5,11481990,"Чайковский"
1,0,"Мартын Пастернак","ул. Чистопольская 497",1,12.29,7,1516137,"Чайковский"
6,1,"Нонна Скворцова","Аллея Декабрьская Б. 538",19,98.05,24,17213872,"Холмск"
1,0,"Евгения Филиппьева","ул. Самеда Вургуна 885",3,15.66,14,467033,"Кохма"
3,1,"Сафия Акатова","ул. Генерала Рычагова 52",3,44.85,5,7427668,"Кохма"
3,1,"Никита Соловьев","Аллея Неверовского 466",1,40.42,12,6854514,"Кохма"
1,0,"Руфина Андронова","ул. Миргородская 1051",6,10.0,13,488205,"Оха"
1,0,"Божена Липатова","ул. Можайское 221",1,15.72,5,1045988,"Чайковский"
6,0,"Вита Ситникова","ул. Панферова 604",4,92.11,10,13521313,"Холмск"
9,0,"Никанор Шестков","ул. Муравская 1-я 708",8,173.09,15,24327108,"Холмск"
4,0,"Дженнифер Грина","ул. Ореховая 873",1,74.51,21,12441801,"Чайковский"
4,0,"Алина Лебедева","ул. Радио 924",3,66.93,9,12262427,"Кохма"
4,0,"Леонтий Борищенко","ул. Нововоротниковская 270",3,45.0,4,6469044,"Чайковский"
7,0,"Зульфия Знаменская","Аллея Старопотаповская 769",6,133.36,12,27325057,"Холмск"
1,1,"Августина Победоносцева","Аллея Дегтярная 880",9,10.0,12,265063,"Холмск"
3,1,"Конон Крылов","ул. Трикотажная 1100",4,30.09,18,2249871,"Чайковский"
1,1,"Мартын Ремнёв","Аллея Палисадная 294",1,17.88,20,1451655,"Чайковский"
2,1,"Элиза Таралова","Аллея Пулковская 1059",10,19.32,12,2064762,"Кохма"
1,0,"Яна Гладышева","Аллея Калинина 724",6,11.86,15,1146265,"Чайковский"
6,1,"Ангелина Яковлева","Аллея Пироговская Б. 788",7,66.64,25,5008929,"Холмск"
2,0,"Викентий Сопронов","Аллея Тимуровская 338",5,20.68,8,553820,"Холмск"
5,1,"Максим Медведев","ул. Привольная 1000",8,60.49,25,5445507,"Чайковский"
1,1,"Венедикт Северьянов","ул. Раевского 19",19,16.44,22,2272994,"Кохма"
4,1,"Ерофей Анцыферов","Аллея Цимлянская 498",2,64.84,6,13045155,"Чайковский"
9,0,"Нелли Фёдорова","Аллея Спартаковская 741",5,143.28,23,18550093,"Чайковский"
8,0,"Игорь Литвинов","Аллея Белозерская 1007",5,80.39,7,3920203,"Оха"
7,0,"Якун Максимов","ул. Конная 700",1,87.83,5,12204841,"Холмск"
3,1,"Емельян Димитриев","ул. Савелкинская 1299",1,44.44,1,8833293,"Кохма"
2,0,"Аполлинария Игнатьева","Аллея Бориса Жигуленкова 1335",17,24.28,18,4193047,"Перевоз"
1,0,"Богдан Пьянов","ул. Штурманская 568",12,14.65,25,1199366,"Чайковский"
1,0,"Андрей Карив","Аллея Спиридоньевская 833",2,10.84,4,339918,"Чайковский"
1,1,"Афина Байбородина","Аллея Кожевническая 124",1,15.01,4,1145296,"Оха"
4,1,"Михаил Пришвин","ул. Хлобыстова 160",5,51.62,6,4698536,"Чайковский"
6,0,"Добрыня Дудин","Аллея Татьяны Макаровой 838",6,72.14,10,12572968,"Чайковский"
3,1,"Магистриан Славин","ул. Вологодская 757",2,53.51,12,5612723,"Кохма"
