"new","price","owner","square","floors","floor","address","city","rooms"
0,591713,"Евсей Олимпиев",16.55,15,10,"ул. Уржумская 793","Чегем",1
0,4470806,"Семён Пупкин",26.05,21,16,"ул. Долгова 784","Бирюч",2
1,1148763,"Ясмина Быкова",10.52,4,2,"Аллея Болотная 37","Нягань",1
0,2454562,"Эльнара Щекина",26.39,4,2,"ул. Парковая 8-я 1131","Черноголовка",2
0,1887523,"Ермолай Брасс",19.53,25,6,"ул. Самарская 962","Тихвин",1
1,2395097,"Руфь Иванова",47.48,12,9,"Аллея Анненская 621","Озёры",4
1,12453320,"Жасмин Никтитина",78.48,25,13,"ул. Ширяевская Б. 981","Озёры",4
1,423735,"Селена Булганина",11.74,23,11,"Аллея Самаркандский Квартал 134а 201","Чегем",1
0,530421,"Челси Лобкова",14.02,20,3,"ул. Красных Зорь 778","Черноголовка",1
0,682408,"Василиса Карпенкова",10.0,24,13,"ул. Петровские Линии 1075","Бирюч",1
0,9152163,"Луна Шпанова",74.63,7,2,"Аллея Шепелюгинская 1354","Озёры",5
0,15430123,"Флоренс Хрисогонова",72.63,12,9,"Аллея Каргопольская 357","Озёры",4
0,2699039,"Амина Хлопонина",17.45,10,5,"Аллея Екатерины Будановой 638","Бирюч",1
0,3974526,"Филимон Данилкин",43.5,19,14,"ул. Останкинская 2-я 414","Бирюч",3
0,7311078,"Пелагея Новикова",59.85,11,8,"Аллея Бабаевская 969","Черноголовка",6
1,5312581,"Айнур Козлачкова",53.12,23,20,"Аллея Чаплыгина 1195","Нягань",4
1,11726859,"Серафим Янин",83.53,3,1,"Аллея Академика Пилюгина 871","Озёры",6
1,10975157,"Лира Протасова",62.66,1,1,"Аллея Северянин 364","Нягань",4
1,1454496,"Валерий Комиссаров",13.74,13,9,"Аллея Сивцев Вражек 629","Бирюч",1
1,4266473,"Всеволод Карасёв",29.22,9,7,"ул. Долгоруковская 275","Нягань",2
0,4169354,"Евдоким Уткин",39.24,15,14,"Аллея Летниковская 333","Черноголовка",4
1,707715,"Лиана Китова",16.26,4,1,"ул. Графская 397","Озёры",1
1,858419,"Пелагея Чехова",11.59,10,1,"Аллея Садовая-Черногрязская 411","Нягань",1
0,7871263,"Эвелина Нефедьева",47.21,22,19,"ул. Сосновка 1106","Черноголовка",4
0,10377815,"Жаклин Саватьева",64.4,20,11,"ул. Саввинский М. 1014","Нягань",4
0,264296,"Заира Габышева",11.99,9,3,"Аллея Щербаковская 261","Тихвин",1
1,4470286,"Ермолай Дроздов",27.5,14,4,"ул. Пролетарского Входа 1290","Тихвин",2
1,10109199,"Нея Пересторина",64.86,1,1,"ул. Пушечная 444","Бирюч",4
0,1275633,"Ким Рылеев",12.55,15,12,"Аллея Гамсоновская 1282","Бирюч",1
0,1502235,"Савелий Парщиков",19.15,5,2,"ул. Николоворобинский М. 340","Нягань",1
1,1082289,"Паисий Коржавин",16.14,17,12,"ул. Кисловский Ср. 1372","Нягань",1
0,5128409,"Демид Идиатуллин",33.01,6,2,"Аллея Татарская Б. 613","Чегем",2
1,261498,"Айсель Добродеева",11.9,1,1,"Аллея Подсосенская 184","Тихвин",1
1,930302,"Равшана Малахеева",17.09,18,4,"Аллея Гостиничная 1204","Черноголовка",1
0,2387170,"Дания Логинова",17.13,8,7,"ул. Варсонофьевская 968","Нягань",1
0,3677464,"Игорь Тасбулатов",19.7,16,14,"ул. Братиславская 115","Тихвин",1
1,9678307,"Искра Мишкина",93.05,24,13,"ул. Музейная 3-я 987","Нягань",8
0,4160459,"Фома Доронин",46.64,3,2,"ул. Старобитцевская 321","Озёры",4
0,276496,"Офелия Кирикова",10.63,11,7,"ул. Бебеля 1-я 939","Нягань",1
0,4332690,"Ариана Берёзина",53.75,15,9,"ул. Талалихина 556","Черноголовка",3
0,4609434,"Емельян Пригов",37.23,2,1,"ул. Ломоносовская 1193","Нягань",3
0,4235580,"Тарас Алфёров",47.91,18,8,"Аллея Первомайская Нижн. 963","Нягань",5
0,883753,"Корнилий Пашков",15.71,2,1,"ул. Сыромятническая Нов. 472","Черноголовка",1
0,720395,"Никодим Одинцов",10.0,20,14,"ул. Песочная 759","Озёры",1
0,11878191,"Мия Радищева",58.74,10,9,"ул. Северодонецкая 2-я 226","Тихвин",4
0,282700,"Севастьян Авдеенко",10.14,25,21,"Аллея Зюзинская 1174","Озёры",1
0,14763571,"Влас Евплов",95.01,12,1,"ул. Михалковская 980","Озёры",5
1,842564,"Веста Авсеева",11.19,2,1,"ул. Марьинский Парк 992","Черноголовка",1
0,1596946,"Шерил Воротникова",17.16,4,2,"Аллея Старый Гай 206","Бирюч",1
0,12577794,"Нинель Мамантова",72.57,24,19,"Аллея Шарля Де Голля 1289","Чегем",4
0,3383718,"Донат Луппов",53.77,12,6,"ул. Старомонетная 177","Озёры",5
0,11697785,"Аполлинария Грязева",79.82,7,3,"ул. Переяславская Ср. 574","Черноголовка",6
0,16472462,"Аникита Кононов",73.61,15,3,"Аллея Большого Круга 1256","Озёры",4
1,6921942,"Кузьма Сидоров",53.14,22,12,"Аллея Черемушкинская 706","Черноголовка",3
1,4603968,"Лука Михаленко",46.99,1,1,"ул. Академическая 724","Нягань",3
1,2197996,"Фарида Ипатьева",39.08,8,4,"ул. Каретный Ср. 33","Озёры",3
1,6840788,"Дарья Удалова",52.77,16,9,"ул. Дубнинская 1012","Черноголовка",3
0,1053926,"Яна Басырова",11.18,8,1,"Аллея Щорса 21","Бирюч",1
0,633331,"Гордей Бабаченко",14.29,16,8,"Аллея Внуковская 5-я 122","Озёры",1
1,4554621,"Артём Бодров",33.14,10,8,"Аллея Ганецкого 1326","Черноголовка",2
0,2142177,"Демьян Фефилов",18.47,5,1,"ул. Напольная 5","Бирюч",1
1,13748427,"Оксана Нарицина",64.23,14,13,"ул. Гурьевская 1055","Бирюч",4
1,1188590,"Камила Чекмаева",16.1,15,12,"ул. Артековская 370","Нягань",1
0,4526915,"Белинда Маркелова",36.24,22,15,"Аллея Подгорская 9","Черноголовка",3
1,9706515,"Глеб Березин",103.14,18,9,"Аллея Дорогомиловская Б. 212","Озёры",6
1,3150761,"Игорь Слепнёв",20.59,15,10,"Аллея Калужская М. 179","Озёры",2
1,881538,"Вячеслав Негин",18.7,9,8,"ул. Садовая-Сухаревская 208","Озёры",1
1,10175426,"Фирс Африканов",55.4,21,2,"ул. Федеративная 42","Тихвин",3
1,5825220,"Мирра Нарицина",71.67,8,7,"ул. Московско-Казанская 826","Тихвин",4
0,26544093,"Лев Мордовцев",120.07,18,10,"Аллея Новодмитровская Б. 962","Бирюч",8
0,1583097,"Ай Арсенова",17.95,15,11,"Аллея Соколиной Горы 3-я 731","Бирюч",1
1,16057070,"Эльмира Успенская",134.46,24,19,"ул. Чехова 36","Нягань",7
0,6393482,"Трофим Хаецкий",47.8,18,9,"Аллея Кутузовская 163","Черноголовка",3
1,5302741,"Семён Софонов",62.26,20,10,"ул. Южнопортовая 848","Черноголовка",4
0,297416,"Максим Арбузов",17.22,9,5,"Аллея Новинки 68","Озёры",2
0,9619930,"Юрий Лапицкий",52.54,13,2,"ул. Академика Опарина 482","Озёры",3
0,950950,"Дана Фалалеева",14.27,8,7,"Аллея Марьиной Рощи 2-я 1233","Бирюч",1
0,6107394,"Регина Каверина",72.2,13,6,"Аллея Цезаря Куникова 1344","Нягань",4
0,5052534,"Нонна Лазарева",39.19,25,14,"ул. Земляной Вал 679","Черноголовка",2
1,1991534,"Гульзира Носкова",17.88,6,2,"Аллея Никитские Ворота 1263","Тихвин",1
1,7873806,"Марика Игнашева",54.99,1,1,"Аллея Полуярославский Б. 354","Черноголовка",4
0,8188412,"Гавриил Чертанов",39.2,20,12,"Аллея Усачева 1097","Тихвин",2
0,1946908,"Жаклин Багринцева",13.76,25,6,"ул. Эльдорадовская 81","Черноголовка",1
0,349768,"Нестор Анюков",12.92,19,15,"Аллея Тимура Фрунзе 289","Озёры",1
0,2715378,"Якун Визбор",18.67,20,9,"Аллея Щербаковская 67","Черноголовка",1
1,316934,"Герман Королюк",12.3,17,16,"Аллея Ширшова 269","Бирюч",1
0,265926,"Пётр Богоявленский",11.23,20,8,"ул. Нарвская 904","Нягань",1
0,16554928,"Руслана Аникеева",128.97,17,3,"Аллея Академика Хохлова 673","Озёры",7
1,6735950,"Конон Шаров",60.21,5,4,"ул. Печорская 1306","Черноголовка",6
1,810630,"Лукий Меркурьев",15.7,14,13,"Аллея Татарская Б. 962","Чегем",1
1,1090625,"Климент Коваль",18.14,17,9,"ул. Якиманка М. 643","Тихвин",1
0,2013865,"Логгин Бестужев",15.5,4,1,"Аллея Савельева 550","Тихвин",1
1,3818696,"Жозефина Денежкина",26.32,4,3,"ул. Газетная 1372","Озёры",2
0,3425730,"Зарема Бортникова",48.6,3,2,"ул. Иваньковское 32","Черноголовка",4
0,8457245,"Аиша Еланцева",44.21,1,1,"Аллея Фабрициуса 897","Бирюч",3
0,15360566,"Корнелия Лактионова",112.32,24,11,"ул. Измайловского Зверинца 1086","Чегем",7
1,5259400,"Гульнара Бирюкова",28.63,14,6,"ул. Новогорская 479","Нягань",2
0,705511,"Мариям Дьяконова",16.28,11,4,"ул. Парковая 15-я 503","Нягань",1
1,7064600,"Дмитрий Вайнеры",70.1,16,3,"ул. Бойцовая 813","Озёры",7
1,2659279,"Нонна Язова",17.28,21,17,"ул. Бурденко 211","Бирюч",1
0,1899942,"Ивета Лидская",14.87,23,17,"Аллея Верхняя 642","Нягань",1
0,2600188,"Никита Хармс",19.85,4,1,"ул. Строгинская 1204","Черноголовка",1
1,2742844,"Парфений Чертанов",20.82,21,13,"Аллея Новоухтомское 387","Бирюч",2
1,623753,"Таисия Олтухова",11.67,23,14,"ул. Болотная 1400","Черноголовка",1
0,1901495,"Илона Полуектова",20.58,2,1,"Аллея Трехпрудная 86","Чегем",2
0,3044949,"Луиза Коняева",34.3,3,1,"Аллея Луков 1345","Бирюч",2
0,3446568,"Азалия Ефремова",39.22,10,2,"ул. Базовская 416","Озёры",2
0,2863921,"Всеволод Юзефович",30.68,6,5,"ул. Садовая-Триумфальная 882","Чегем",2
1,1041819,"Айгерим Хадеева",12.61,19,11,"Аллея Недорубова 271","Озёры",1
0,9692503,"Игнатий Манылов",69.46,2,1,"Аллея Липчанского 291","Бирюч",5
1,3720480,"Семён Бакланов",27.67,14,12,"ул. Рыбинская 459","Озёры",2
0,1016207,"Лариса Амвросьева",16.68,4,2,"ул. Славянская 51","Озёры",1
1,1464348,"Иллирика Алешковская",15.61,4,3,"ул. Курьяновская 4-я 44","Озёры",1
0,683973,"Астрид Упатова",13.31,15,2,"ул. Козлова 717","Озёры",1
0,1653569,"Сабина Мурманина",18.62,22,19,"Аллея Пожарская 9","Черноголовка",1
0,5743667,"Надежда Обухова",47.36,16,15,"Аллея Померанцев 275","Тихвин",4
1,3372249,"Лана Данькова",50.42,11,2,"Аллея Каргопольская 1390","Чегем",4
0,2135161,"Макар Шестаков",19.9,1,1,"ул. Стекольная 1-я 397","Нягань",2
1,1232961,"Ия Антипьева",20.37,2,1,"ул. Спартаковская 331","Озёры",1
1,3275514,"Тимофей Слюсаренко",31.16,23,22,"ул. Казенный М. 952","Нягань",3
1,6709434,"Ясмина Хлумова",42.98,23,19,"ул. Дунаевского 814","Бирюч",3
0,1952127,"Дмитрий Шапошников",14.6,16,15,"Аллея Смольная 884","Бирюч",1
0,5930280,"Элина Акбулатова",38.06,7,4,"Аллея Буракова 375","Тихвин",3
0,3089997,"Фарида Авсеева",17.59,16,4,"Аллея Госпитальная 356","Озёры",1
1,1569244,"Шакира Шарапова",30.38,4,3,"ул. Садовая-Самотечная 1180","Черноголовка",3
1,1424448,"Амаль Феофилова",17.1,1,1,"ул. Заводское 617","Озёры",1
0,7287220,"Тит Самылов",72.77,8,7,"ул. Оружейная 12","Бирюч",4
0,3947921,"Ильзира Сапронова",40.87,12,5,"ул. Цандера 1071","Черноголовка",3
1,1162330,"Сильвестр Давыдов",11.09,6,4,"ул. Паперника 1368","Озёры",1
0,1284028,"Сильвестр Федулов",13.44,25,10,"Аллея Почтовая М. 300","Бирюч",1
0,8567203,"Илья Даньков",79.83,15,3,"ул. Вишневая 450","Черноголовка",5
0,5918268,"Мелентий Фетисов",47.89,18,4,"ул. Дружбы 168","Озёры",3
0,11797947,"Клара Морщакова",88.75,9,7,"Аллея Боевская 2-я 329","Бирюч",5
1,1796630,"Спиридон Калинин",13.51,19,18,"Аллея Гжельская 586","Бирюч",1
1,4225081,"Ираклий Тихомиров",32.2,18,11,"ул. Тихорецкая 875","Нягань",3
0,1949339,"Сергей Шепилов",17.99,13,8,"ул. Таймырская 233","Тихвин",1
1,16594340,"Ефрем Плакидин",92.25,3,1,"ул. Пекуновская 1274","Чегем",6
0,6846925,"Ульяна Геласимова",66.79,16,10,"Аллея Подрезковская 3-я 832","Чегем",5
1,5258704,"Даяна Сумарокова",31.42,5,2,"ул. Армянская 528","Нягань",3
0,1519956,"Ксения Жерихова",13.6,5,3,"Аллея Правобережная 1234","Черноголовка",1
0,2115987,"Алеста Дзержинская",15.83,21,11,"ул. Бочкова 1066","Озёры",1
0,3022081,"Богдан Чебышёв",34.87,18,8,"Аллея Грайвороново 90а 1263","Бирюч",3
1,5324374,"Энже Одоевская",29.13,10,8,"ул. Львова 1079","Бирюч",2
1,1263800,"Мишель Садофьева",18.7,23,20,"Аллея Достоевского 754","Озёры",1
0,4935641,"Евсей Ольбик",36.44,8,6,"Аллея Киевская 1398","Озёры",3
0,290964,"Макар Флегонтьев",12.74,22,12,"Аллея Привокзальная 283","Бирюч",1
1,1798307,"Прасковья Булганина",17.66,1,1,"ул. Нелидовская 1288","Черноголовка",1
0,12601447,"Логгин Веселый",56.7,22,3,"Аллея Ровная 1199","Нягань",3
0,3498170,"Виссарион Табаков",35.55,4,1,"Аллея Староватутинская 1231","Озёры",2
0,2055895,"Сания Епифанова",17.35,21,13,"ул. Космонавта Волкова 1202","Бирюч",1
0,775001,"Заира Князева",10.38,25,3,"Аллея Сретенка 1351","Бирюч",1
0,3543686,"Фирс Баранов",25.46,17,2,"ул. Иваньковское 348","Чегем",2
1,1981449,"Милица Журавская",38.21,4,3,"ул. Боярская 74","Озёры",3
0,2927449,"Ника Римская",16.76,21,10,"Аллея Лосинская 222","Черноголовка",1
0,12788395,"Фока Никтитин",84.38,24,12,"Аллея Братцевская 150","Нягань",6
0,1800189,"Роберта Коновалова",16.4,13,8,"Аллея Советская 1273","Бирюч",1
1,353674,"Нина Порфирьева",14.04,10,3,"Аллея Тарутинская 361","Нягань",1
1,7092604,"Фома Глуховский",49.34,23,22,"Аллея Кондрашевская 1368","Нягань",3
1,3976638,"Офелия Банникова",65.17,20,17,"Аллея Грузинская 1262","Нягань",6
1,253918,"Илья Кудряшов",11.29,18,15,"ул. Гражданская 4-я 1392","Озёры",1
0,2742426,"Белла Балкова",18.42,9,8,"Аллея Новоконная 932","Черноголовка",1
0,4626594,"Логгин Полоцкий",39.86,4,3,"Аллея Академика Тамма 203","Черноголовка",4
1,8787419,"Родослав Герман",53.5,19,4,"ул. Мясницкие Ворота 1394","Бирюч",3
0,1154414,"Демьян Коваленко",10.57,25,17,"ул. Новодевичья 861","Бирюч",1
0,604434,"Яков Раков",17.11,3,2,"Аллея Черемушкинская 1287","Нягань",1
1,2559329,"Варлам Белоруков",16.48,22,6,"ул. Ямская 2-я 672","Бирюч",1
0,1724409,"Чулпан Куприна",13.25,19,8,"Аллея Цветочная 1028","Озёры",1
0,6593404,"Серафим Ганиев",45.92,20,12,"Аллея Плющева 1216","Нягань",3
0,2249221,"Онисим Анцыферов",31.38,1,1,"Аллея Кожуховская 5-я 992","Черноголовка",2
0,457261,"Флоренция Селина",10.48,5,3,"Аллея Киевского Вокзала 1190","Бирюч",1
1,6482367,"Онуфрий Огарев",55.07,4,3,"ул. Северодонецкая 1-я 344","Бирюч",5
1,2027614,"Кира Артамонова",14.03,3,2,"ул. Новые Сады 1-я 679","Бирюч",1
1,1267414,"Лукьян Богданович",16.03,2,1,"ул. Челюскинская 152","Черноголовка",1
1,21265447,"Вадим Терехов",107.46,17,11,"ул. Рочдельская 341","Нягань",6
0,36547876,"Роксана Конюкова",152.74,7,5,"Аллея Малая Очаковская 612","Озёры",8
0,6021525,"Рита Зимина",43.24,13,9,"ул. Зеленоградская 1356","Черноголовка",3
1,6171692,"Роберта Макарова",36.19,14,8,"Аллея Азовская 9","Озёры",3
1,1665778,"Гавриил Дриянский",13.12,6,3,"ул. Терехово 339","Черноголовка",1
0,357595,"Всеволод Ярин",10.0,23,12,"Аллея Парковая 11-я 499","Озёры",1
1,316161,"Вероника Останина",12.17,21,13,"Аллея Дубининская 289","Черноголовка",1
0,11514941,"Магдалена Филкова",96.47,16,7,"ул. Космонавта Комарова 113","Черноголовка",6
0,11401331,"Лина Касимова",59.72,25,6,"Аллея Торговая 1121","Черноголовка",4
0,7655272,"Спиридон Кац",63.03,16,11,"Аллея Шувалова 578","Нягань",6
0,19694382,"Альберт Анхимов",91.46,2,1,"ул. Шкулева 1005","Бирюч",5
1,860819,"Люсьена Садулаева",13.36,20,14,"Аллея Газопровод 350","Бирюч",1
1,4622530,"Рузалия Фокина",83.14,21,9,"Аллея Токарная 673","Нягань",7
0,19008010,"Цветана Архипова",84.57,16,9,"Аллея Софьи Ковалевской 851","Черноголовка",5
1,16595549,"Иуда Карагодин",121.14,22,2,"Аллея Академика Александрова 12","Черноголовка",8
0,4814513,"Христофор Ефимов",87.63,14,1,"Аллея Подрезковская 3-я 598","Бирюч",9
0,10796203,"Шейла Филатьева",89.59,11,4,"ул. Успенская 1004","Озёры",5
1,1693555,"Софья Калинина",13.42,18,10,"Аллея Донелайтиса 907","Озёры",1
0,2346806,"Венера Фролова",30.05,10,2,"ул. Радиальная 2-я 99","Черноголовка",2
1,262947,"Раиса Доримедонтова",10.99,7,5,"ул. Барышиха 299","Бирюч",1
0,340210,"Александр Мурманчук",14.3,5,3,"Аллея Трикотажная 760","Нягань",1
0,791312,"Конон Слепнев",11.08,24,4,"Аллея Макеевская 734","Бирюч",1
1,14959609,"Ерофей Евсюков",114.06,17,3,"ул. Радиальная 9-я 465","Бирюч",6
0,2786064,"Глеб Феофилактов",32.54,11,5,"Аллея Наташи Ковшовой 679","Нягань",2
1,1778748,"Афина Гарасимова",27.22,11,2,"Аллея Ямского Поля 5-я 525","Озёры",2
1,9728710,"Физалия Кожевникова",78.03,2,1,"Аллея Шаболовка 547","Бирюч",6
1,14857933,"Митрофан Ефросинов",74.71,4,2,"ул. Федеративная 594","Озёры",5
0,1155509,"Сания Поляновская",17.82,24,18,"Аллея Батайская 1145","Чегем",1
0,10604795,"Капитон Кузиков",65.01,6,2,"ул. Магистральная 387","Озёры",6
0,968498,"Гаяна Валетова",10.0,4,3,"ул. Василисы Кожиной 564","Бирюч",1
0,281420,"Варвара Ермилова",10.22,12,3,"Аллея Страстной 1005","Бирюч",1
0,733132,"Ариана Тесакова",19.86,3,2,"Аллея Измайловское 144","Черноголовка",2
0,4501430,"Рузалия Немцова",52.45,13,8,"Аллея Глинистая 1393","Бирюч",3
0,2609078,"Святослав Корявин",32.75,4,1,"ул. Бакинская 446","Бирюч",2
0,931051,"Фотий Борисов",13.55,14,4,"Аллея Черского 1066","Чегем",1
0,10185903,"Лара Плакидина",120.84,13,12,"ул. Рославка 2-я 276","Озёры",7
1,1007394,"Ангелина Пияшева",15.08,15,5,"ул. Смирновская 842","Озёры",1
0,8543302,"Тарас Григорович",60.95,18,11,"ул. Николаева 1277","Черноголовка",4
0,9753760,"Ростислав Архангельский",57.35,6,3,"Аллея Очаковское 1079","Черноголовка",4
0,4578956,"Эльвина Абдуллаева",38.66,16,7,"Аллея Басманная 1251","Тихвин",2
1,4902607,"Платонида Панфильева",49.99,19,10,"ул. Адмирала Ушакова 497","Озёры",3
1,10111701,"Вениамин Веденский",80.68,6,5,"ул. Рязанская 1063","Черноголовка",5
1,1408352,"Евграф Грин",18.03,19,13,"Аллея Чешихинская 1163","Озёры",1
0,22119510,"Милослава Табакова",143.92,24,11,"ул. Тверская-Ямская 3-Я 1204","Бирюч",9
1,8237778,"Эрика Коржавина",72.05,1,1,"Аллея Муромская 1298","Нягань",6
0,3894473,"Габриэлла Козлачкова",31.16,13,9,"ул. Локомотивная 264","Озёры",3
1,1706527,"Иннокентий Викентьев",18.73,16,14,"ул. Гиляровского 403","Бирюч",1
1,2419836,"Анабель Хемлина",15.45,17,5,"Аллея Яблоневая 790","Бирюч",1
0,1677370,"Стефания Светлова",14.43,20,8,"Аллея Молчановка Б. 1325","Черноголовка",1
0,2366298,"Мстислав Королёв",16.41,18,6,"Аллея Марьинская Б. 768","Чегем",1
1,8975241,"Арсений Сокуров",54.61,16,6,"ул. Заморенова 1241","Бирюч",4
0,3395340,"Иуда Лаврентьев",26.44,19,16,"ул. Сеславинская 1059","Черноголовка",2
0,12264372,"Римма Девяткина",60.28,17,7,"Аллея Ильменская 514","Черноголовка",4
1,1580298,"Корнилий Спиридоньев",12.98,6,1,"Аллея Брюсов 78","Нягань",1
1,5258341,"Эльвира Каренина",60.35,16,14,"ул. Алымов 466","Озёры",4
1,4541270,"Лира Кирилина",30.65,19,5,"ул. Карачаровская 3-я 860","Озёры",2
0,689002,"Инна Козырева",11.63,6,5,"Аллея Останкинская 1269","Тихвин",1
0,1957647,"Паисий Семенов",22.86,25,19,"ул. Академика Курчатова 15","Черноголовка",2
0,1266752,"Герман Липкин",14.87,13,9,"ул. Родионовская 983","Озёры",1
1,6497010,"Руфина Личутина",35.27,24,16,"Аллея Козихинский Б. 412","Бирюч",2
0,2531788,"Полина Макарьева",27.75,4,2,"Аллея Яснополянская 617","Тихвин",2
0,3486642,"Нелли Харлампиева",18.85,19,5,"Аллея Лодочная 165","Бирюч",1
1,835705,"Ирма Рогова",10.0,16,14,"ул. Железнодорожная 704","Черноголовка",1
0,2413713,"Спиридон Нарицин",19.03,8,4,"ул. Викторио Кодовильи 75","Тихвин",1
0,5887035,"Антонин Гагарин",53.05,6,1,"ул. Домостроительная 117","Черноголовка",5
0,884665,"Митрофан Капнист",15.92,5,1,"ул. Осипенко (пос.Липки) 1351","Тихвин",1
0,2913772,"Инесса Басманова",17.36,7,1,"Аллея Новопоселковая 1327","Черноголовка",1
1,11701691,"Виктор Ковалёв",72.39,9,2,"Аллея Осипенко (пос.Липки) 481","Озёры",5
0,1381776,"Джиневра Калинина",15.08,7,4,"ул. Пушкина 1039","Чегем",1
1,697375,"Иннокентий Брагин",10.0,19,18,"ул. Златоустинский М. 1321","Тихвин",1
1,3444376,"Ульяна Дубаева",18.61,6,5,"Аллея Скаковая 768","Озёры",1
0,11765373,"Трифон Абросимов",59.61,21,5,"ул. Лыткаринская 710","Озёры",5
1,4374211,"Феликс Нагибин",63.07,23,2,"Аллея Николая Злобина 798","Бирюч",6
0,3408467,"Искра Рожкова",43.56,21,13,"ул. Внуковская 5-я 1395","Тихвин",3
0,1669654,"Емельян Моисеев",15.82,16,6,"Аллея Лыковская 1-я 712","Чегем",1
1,7263862,"Артур Пушкин",52.36,11,6,"Аллея Тенистая 1269","Черноголовка",4
0,8664429,"Тит Вонифатов",93.68,7,1,"Аллея Новые Сады 3-я 81","Нягань",5
0,2420276,"Наргиза Аврамова",16.95,16,10,"ул. Проточная 1394","Черноголовка",1
0,1843525,"Снежана Чудакова",15.87,7,4,"ул. Светлая 595","Нягань",1
1,7095767,"Евграф Куприн",34.85,8,3,"Аллея Андреевская 901","Озёры",2
1,11468701,"Михаил Антоньев",56.41,1,1,"ул. Флотская 201","Черноголовка",3
1,364566,"Алтын Осокина",11.54,17,9,"Аллея Громова 815","Нягань",1
1,6497979,"Гоар Жаринова",52.99,2,1,"Аллея Утренняя 1090","Бирюч",3
1,836379,"Залина Дежнева",14.3,16,4,"ул. Волоколамская 598","Чегем",1
1,1686528,"Любава Утёсова",16.12,17,4,"ул. Вучетича 556","Бирюч",1
0,7226554,"Сабина Никитина",65.17,19,15,"ул. Кривоникольская 378","Озёры",6
1,15141941,"Магда Елизарьева",75.95,25,15,"Аллея Беговой 1099","Озёры",4
1,1469861,"Асия Карасева",12.57,10,8,"ул. Гавриков М. 520","Черноголовка",1
0,2440132,"Макар Флегонтов",20.14,7,5,"Аллея Электрозаводская 1131","Нягань",2
0,1823769,"Ермолай Каневский",36.49,16,4,"Аллея Хорошевского Серебряного Бора 3-я 233","Озёры",3
0,265787,"Елизавета Шишкова",10.0,20,13,"Аллея Калибровская 45","Нягань",1
0,329106,"Люция Евсюкова",10.0,17,2,"Аллея Андреево-Забелинская 781","Черноголовка",1
0,5562513,"Корнелия Акимова",31.89,24,21,"ул. Курьяновская 302","Озёры",2
0,2415445,"Рената Савкина",19.97,12,2,"ул. Олений М. 413","Озёры",1
0,348674,"Элеонора Далматова",12.31,10,1,"Аллея Юннатов 856","Тихвин",1
1,8099449,"Артур Уваров",41.41,10,2,"Аллея Маршала Катукова 37","Озёры",3
0,4463106,"Феоктист Христофоров",44.45,23,3,"ул. Люсиновская 369","Нягань",3
1,321890,"Фома Каштанов",10.0,10,9,"Аллея Подрезковская 1-я 726","Черноголовка",1
0,887807,"Прокопий Родивонов",17.66,17,3,"ул. Шломина 886","Черноголовка",1
1,2751296,"Кир Екимов",61.98,14,13,"Аллея Лазаревская 1259","Черноголовка",6
1,3666841,"Ростислав Белинский",22.98,12,1,"ул. Речной 519","Озёры",1
1,2954149,"Панкратий Цветков",18.91,16,4,"Аллея Зельев 265","Озёры",1
0,1365958,"Леонид Троцкий",12.94,11,3,"Аллея Текстильщиков 11-я 1322","Тихвин",1
1,976480,"Генриетта Савинова",14.69,5,2,"ул. Новоселенская 426","Черноголовка",1
1,5328805,"Мадина Яхина",37.26,23,4,"Аллея Пехорская 791","Черноголовка",3
0,11828332,"Александра Вахтина",112.63,10,8,"ул. Останкинская 86","Озёры",8
0,837835,"Гульшат Софронова",11.17,6,3,"ул. Брусилова 658","Черноголовка",1
0,1399994,"Лев Акиндинов",19.07,19,7,"Аллея Пестеля 939","Бирюч",1
0,850159,"Нора Алексеева",10.73,8,3,"ул. Чоботовская 6-я 587","Тихвин",1
0,5732647,"Юлианна Кирсанова",43.7,8,3,"Аллея Медведковская 245","Тихвин",3
0,4926769,"Климент Анискин",56.86,13,5,"Аллея Большого Круга 597","Бирюч",4
0,6530302,"Филат Хохлов",34.66,5,3,"ул. Чоботовская 4-я 727","Нягань",2
0,733821,"Хилари Римская",21.3,10,6,"ул. Муромская 169","Черноголовка",2
0,13609931,"Эсмеральда Щекочихина",128.15,1,1,"ул. Бойня 577","Чегем",8
1,1206012,"Артемий Никулин",14.6,20,7,"Аллея Саввинский М. 457","Бирюч",1
0,11796612,"Полина Жеребцова",91.49,23,11,"ул. Бибиревская 722","Тихвин",5
1,3501440,"Панкратий Дорошенко",45.94,24,19,"Аллея Юных Ленинцев 1142","Озёры",4
0,3823392,"Мина Житков",25.83,6,1,"Аллея Дубровская 844","Озёры",2
1,2037947,"Фома Туров",13.51,7,3,"ул. Солнцевская 227","Озёры",1
0,7096319,"Магистриан Аверков",77.27,19,15,"Аллея Защитников Москвы 332","Нягань",7
1,4457831,"Корнилий Витковский",60.3,13,11,"ул. Ореховая 996","Нягань",5
0,11053852,"Пафнутий Заплетин",83.02,9,4,"Аллея Хлебозаводская 1052","Тихвин",5
0,341653,"Магистриан Олимпиев",13.76,22,10,"ул. Нахимовская 1176","Озёры",1
0,9487163,"Демьян Рубин",49.12,9,5,"Аллея Иловайская 1012","Нягань",4
1,2779825,"Всеволод Офросимов",19.77,4,2,"Аллея Мерзляковская 286","Озёры",2
0,6740969,"Домна Водолазкина",55.51,7,2,"ул. Овражная 1132","Озёры",5
