"owner","square","city","rooms","address","new","floor","floors","price"
"Анна Евсеева",14.11,"Серов",1,"Аллея Симферопольская 598",1,4,21,259066
"Кузьма Огарев",63.74,"Серов",5,"Аллея Старобитцевская 260",0,3,5,9215566
"Аля Берёзина",15.84,"Уфа",1,"ул. Моховая 440",1,10,14,1344405
"Алексей Князев",35.21,"Серов",2,"Аллея Константина Федина 601",0,1,2,6098396
"Ария Золотцева",17.12,"Серов",1,"ул. Карамзина 746",1,3,6,1534610
"Зарина Уварова",94.68,"Зверево",5,"ул. Никитские Ворота 648",1,7,19,14329697
"Мирон Зимин",50.37,"Братск",5,"Аллея Демидовский М. 723",0,1,1,5366410
"Таисия Орловская",15.31,"Братск",1,"ул. Парковая 659",0,9,24,1527911
"Матвей Туркул",40.2,"Братск",3,"Аллея Полимерная 1269",0,1,3,4724417
"Филимон Короленко",80.95,"Серов",5,"ул. Задонская 1046",0,8,12,17420632
"Азиза Насонова",14.71,"Серов",1,"Аллея Елагинская 1059",0,3,8,1770737
"Матвей Сегал",92.51,"Серов",6,"Аллея Русаковская 1205",1,6,12,7186812
"Евангелина Пескова",18.67,"Данков",1,"Аллея Витебская 541",0,20,24,1067251
"Айсель Перцева",21.9,"Серов",2,"Аллея Насосная 134",0,13,22,3032911
"Янина Лыжина",12.28,"Братск",1,"ул. Гурьевская 1117",0,8,11,855445
"Пелагея Антипова",34.32,"Серов",2,"Аллея Декабристов 512",0,7,14,5035347
"Агния Антонова",10.85,"Серов",1,"Аллея Николаевская 586",0,8,19,1023074
"Роберта Нагибина",30.1,"Данков",2,"ул. Кабельная 1-я 658",0,13,18,5665562
"Лаврентий Арефин",24.08,"Данков",2,"ул. Берингов Н. 795",1,9,24,799178
"Серафим Ломов",35.07,"Зверево",3,"Аллея Усачева 188",0,5,25,2503706
"Лукий Дежнев",37.64,"Данков",3,"Аллея Полевая 1130",1,1,4,1813925
"Дмитрий Сумароков",65.65,"Братск",4,"Аллея Лихоборские Бугры 70",1,7,13,8132729
"Чулпан Арефина",16.74,"Серов",1,"Аллея Толмачевский Ст. 1033",0,2,5,603170
"Гоар Акбулатова",60.97,"Данков",5,"Аллея Хлебозаводская 1260",0,14,19,12275261
"Вениамин Боголюбский",103.24,"Братск",8,"Аллея Толмачевский Ст. 1272",0,12,24,8544482
"Тихон Гаммер",91.49,"Братск",9,"ул. Ратная 549",0,3,12,12821993
"Тамила Кандаурова",95.06,"Серов",6,"Аллея Адмирала Руднева 1362",1,8,25,8323706
"Артемий Пьянов",18.17,"Уфа",1,"Аллея Старые Кузьминки 651",0,4,22,1460305
"Зоя Померанцева",16.19,"Серов",1,"Аллея Педагогическая 1134",0,11,15,1680165
"Аркадий Катишонок",14.8,"Братск",1,"ул. Хамовнический Вал 682",0,5,17,1082567
"Ксения Рябова",48.93,"Серов",3,"Аллея Самеда Вургуна 1052",0,14,15,8706623
"Галина Звягина",30.24,"Серов",2,"ул. Перуновская 251",0,2,18,4608745
"Снежана Сбитнева",14.92,"Серов",1,"Аллея Сивцев Вражек 707",0,1,1,1155287
"Тина Пудеева",14.85,"Зверево",1,"ул. Ровная 973",0,2,16,2308126
"Ивета Афремова",94.5,"Серов",5,"Аллея Академика Челомея 1367",1,10,17,21173176
"Паисий Гагарин",12.49,"Серов",1,"Аллея Золотая 511",0,1,1,332501
"Леонид Никифоров",19.37,"Зверево",1,"Аллея Новодмитровская 1180",0,1,7,1580541
"Ирада Колпакова",13.5,"Данков",1,"ул. Русаковская 87",0,7,16,341360
"Фатима Андроникова",10.27,"Серов",1,"ул. Мясищева 643",0,1,6,261918
"Фазиля Тархова",17.93,"Серов",1,"ул. Матвеевская 604",0,19,23,2895342
"Паисий Плющев",17.74,"Серов",2,"ул. Муравская 2-я 231",1,1,2,1706740
"Феоктист Искандер",11.57,"Данков",1,"ул. Бескудниковская 380",0,18,22,348857
"Нестор Шахмагонов",19.37,"Братск",1,"Аллея Речной 1365",1,3,8,969161
"Раиля Чехова",51.48,"Братск",5,"Аллея Карамышевская 513",1,3,8,8251749
"Пров Антонов",126.09,"Данков",7,"ул. Электродная 243",1,12,20,16792571
"Хлоя Писемская",14.23,"Данков",1,"Аллея Бережковская 744",0,15,16,1160583
"Сальма Арбатова",14.68,"Зверево",1,"ул. Лыковская 2-я 286",1,4,14,647924
"Илона Розанова",97.26,"Серов",6,"Аллея Электрозаводская 1228",0,5,22,12620203
"Спиридон Лунц",76.71,"Братск",4,"Аллея Луганская 879",0,6,8,15587105
"Лукия Патрикеева",19.31,"Камешково",2,"ул. Татарская 214",0,14,16,888636
"Владана Акинфова",10.0,"Серов",1,"Аллея Белозерская 1359",0,1,4,662129
"Фёкла Тарасьева",24.66,"Камешково",2,"Аллея Радиаторская 2-я 173",1,1,8,1215263
"Мавиле Мурманская",12.71,"Уфа",1,"ул. Молокова 1162",1,7,16,321492
"Ильзира Первушина",10.12,"Данков",1,"Аллея Чонгарская 470",0,1,24,969402
"Лара Пименова",22.85,"Уфа",1,"ул. Каштановая 867",0,8,12,1985341
"Лиза Орехова",33.5,"Братск",2,"ул. Известковая 739",0,3,25,4489088
"Никанор Микушевич",18.46,"Данков",1,"ул. Девичьего Поля 632",0,14,17,802585
"Викентий Гладышев",17.41,"Братск",1,"ул. Беговая 855",1,1,12,1141432
"Герасим Данихнов",75.54,"Братск",5,"ул. Наметкина 931",1,5,20,11983492
"Августина Щукина",96.2,"Уфа",5,"ул. Староконюшенная 551",0,2,6,11154555
"Елизавета Мурманская",84.39,"Серов",7,"Аллея Дурова 861",0,3,5,13400268
"Фёдор Назаров",34.8,"Камешково",2,"Аллея Александра Солженицына 211",1,1,2,3317333
"Феоктист Митрофаньев",53.79,"Уфа",3,"ул. Рублево 1112",0,1,2,10538227
"Ирма Бутова",32.0,"Серов",2,"Аллея Полимерная 88",0,14,23,2434887
"Нестор Трефилов",52.42,"Зверево",3,"ул. Дубравная 910",0,8,21,10879841
"Якун Тованичев",14.29,"Братск",1,"Аллея Леонтьевская 143",1,9,20,809773
"Айнур Босова",33.38,"Данков",3,"Аллея Строгинская 528",0,12,22,1674531
"Таяна Черепенникова",18.0,"Зверево",1,"ул. Шитова 425",1,3,23,1613988
"Созон Курилов",14.42,"Уфа",1,"ул. Барышиха 1270",0,10,24,344598
"Пров Торлопов",40.22,"Камешково",4,"ул. Толбухина 672",1,1,18,4802533
"Евграф Сологуб",10.49,"Данков",1,"Аллея Новозаводская 1070",0,17,21,281882
"Григорий Буняченко",10.2,"Зверево",1,"ул. Лаврушинская 341",0,19,25,258488
"Георгий Зотьев",10.0,"Серов",1,"Аллея Овчинниковский Б. 793",0,2,6,461366
"Станислав Федотов",11.83,"Уфа",1,"Аллея Николая Старостина 648",1,5,17,909724
"Аркадий Кудинов",56.01,"Зверево",4,"ул. Мартина Лютера Кинга 251",0,4,5,3979688
"Милен Чикова",18.1,"Зверево",1,"Аллея Молодцова 1209",1,2,20,3231339
"Авксентий Михаленко",37.02,"Серов",2,"Аллея Калитниковская Ср. 774",1,3,7,3875579
"Лина Морозова",67.58,"Серов",5,"Аллея Хромова 1307",0,6,20,5489880
"Семён Воробьев",10.0,"Зверево",1,"ул. Маленковская 771",0,7,15,472014
"Цецилия Жерихова",72.51,"Зверево",5,"Аллея Ивовая 798",1,2,3,11485665
"Самуил Люсин",57.69,"Камешково",6,"Аллея Хлебобулочная 661",0,11,22,2144610
"Матвей Модестов",18.29,"Данков",1,"Аллея Жужа 660",0,5,13,2436714
"Саяна Аникеева",11.85,"Данков",1,"ул. Саянская 1279",1,10,16,888783
"Владимир Санаев",17.01,"Уфа",1,"Аллея Веерная 22",0,3,15,2200000
"Амира Котова",10.0,"Данков",1,"Аллея Триумфальная 1156",0,13,22,253524
"Серафим Задоров",125.99,"Зверево",7,"Аллея Полковая 294",0,1,1,22458109
"Патриция Самсонова",12.7,"Зверево",1,"Аллея Староспасская 230",1,11,19,936886
"Ульяна Вакулина",14.29,"Данков",1,"ул. Новорублевская 1120",0,2,3,1881459
"Мелентий Хаецкий",29.56,"Зверево",2,"ул. Запорожская 535",0,1,3,2097734
"Фариза Никулина",10.0,"Данков",1,"Аллея Мытная 1174",1,6,19,330720
"Корнилий Панфилов",14.9,"Серов",1,"Аллея Генерала Рычагова 1013",0,4,10,536754
"Родион Крутихин",51.5,"Зверево",4,"Аллея Остаповская 843",0,10,15,7361676
"Алия Маркелова",13.98,"Данков",1,"ул. Витебская 819",0,10,15,1977181
"Джамиля Жириновская",178.88,"Серов",10,"Аллея Симоновский Б. 1066",0,1,9,26954591
"Юлиан Люкин",53.62,"Серов",3,"ул. Осипенко 381",0,11,16,9556987
"Ерофей Савинов",11.61,"Серов",1,"ул. Шатурская 322",0,2,20,1382958
"Иакинф Арсенов",98.87,"Братск",7,"Аллея Ярцевская 1019",0,4,5,20746511
"Хрисанф Садур",18.34,"Данков",1,"ул. Ямского Поля 3-я 876",1,15,17,2761593
"Милена Серебренникова",11.71,"Серов",1,"ул. Терлецкая 1143",0,1,4,620191
"Шарлотта Ахмедова",70.19,"Зверево",5,"Аллея Трехгорный Б. 139",0,17,19,10402268
"Ефим Гнедич",39.17,"Уфа",3,"ул. Черкасский М. 1373",0,3,4,4863433
"Иосиф Галкин",60.92,"Данков",6,"ул. Школьная 972",0,3,19,5973063
"Мехри Феофилактова",14.78,"Серов",1,"Аллея Хорошевского Серебряного Бора 1-я 121",1,4,18,1381944
"Лукьян Малинин",50.47,"Данков",3,"ул. Козихинский Б. 1053",0,13,19,10828821
"Алана Битова",63.62,"Уфа",5,"Аллея Энтузиастов 1-я 1006",0,1,12,4081452
"Лаврентий Галктионов",22.28,"Железногорск",2,"Аллея Раевского 272",0,2,5,3077892
"Евгений Константинов",16.02,"Зверево",1,"ул. Напрудная 1125",0,1,19,1311543
"Флоренция Согрина",16.45,"Зверево",1,"Аллея Волочаевская 122",0,1,8,2867659
"Германн Идов",44.81,"Зверево",3,"ул. Тамбовская 93",1,4,24,4672997
"Григорий Арефьев",65.74,"Серов",5,"Аллея Черкасский М. 346",1,13,16,5242803
"Эльнара Гермогенова",12.34,"Зверево",1,"Аллея Старокрымская 55",0,1,25,717848
"Роксана Субботина",10.45,"Братск",1,"Аллея Наро-Фоминская 316",0,6,8,254304
"Яков Воротников",54.71,"Данков",3,"ул. Штурвальная 712",1,10,17,10672549
"Далида Колядина",12.12,"Данков",1,"ул. Слепнева 271",1,1,1,1510030
"Арианда Слепнева",19.68,"Серов",1,"Аллея Парковая 985",0,8,12,990480
"Владлен Толстых",13.41,"Серов",1,"Аллея Казанская 639",0,2,9,1585992
"Мирон Акимов",52.51,"Серов",3,"ул. Канатчиковская 736",0,1,2,9363586
"Сельма Лобкова",11.61,"Данков",1,"ул. Синельниковская 1285",0,9,11,484100
"Иван Сорбатский",95.9,"Зверево",6,"ул. Берников 81",0,1,4,14288676
"Есения Власова",109.2,"Данков",7,"Аллея Поленова 1244",0,4,21,10112614
"Афанасий Домников",18.07,"Серов",1,"Аллея Московско-Минской Дивизии 511",0,22,24,2761109
"Евгений Фофанов",56.15,"Зверево",3,"ул. Якорная 86",1,1,3,8127009
"Изабелла Морозова",17.05,"Зверево",1,"ул. Сивяков 3",0,4,13,2163609
"Мелисса Уткина",11.21,"Братск",1,"ул. Давыдовская 350",1,13,14,344757
"Ариана Работникова",67.69,"Братск",4,"ул. Серпуховская Застава 898",0,1,15,13571603
"Ильзира Конюшевская",30.0,"Данков",2,"ул. Куусинена 334",0,21,24,4059036
"Германн Артёмов",53.99,"Зверево",4,"Аллея Пантелеевская 1151",0,5,25,9793850
"Викторина Березовская",47.91,"Серов",3,"Аллея Монтажная 502",0,7,13,7198040
"Сати Левонова",10.0,"Зверево",1,"ул. Льва Толстого 701",0,13,18,873678
"Таяна Бутина",15.78,"Данков",1,"Аллея Лазенки 2-я 326",0,2,7,1808646
"Филимон Славников",12.14,"Братск",1,"ул. Бойцовая 979",1,21,23,1305092
"Ядвига Стародубцева",21.05,"Братск",1,"Аллея Полуярославский М. 624",0,1,15,1916523
"Аркадий Субботин",77.07,"Зверево",4,"Аллея Михайловская 1191",0,4,12,10809723
"Айару Чурилова",113.6,"Уфа",8,"Аллея Медведковская 1205",0,18,25,8048464
"Гульшат Гиваргизова",19.71,"Зверево",1,"Аллея Калитниковский Б. 992",0,5,6,1520595
"Пров Трудолюбов",10.08,"Зверево",1,"Аллея Ганецкого 153",0,5,11,954986
"Мелентий Сысоев",10.25,"Железногорск",1,"Аллея Козицкая 34",0,6,12,351646
"Роберта Пчёлкина",28.22,"Зверево",3,"ул. Михельсона 922",0,6,10,1562560
"Лейла Носова",19.06,"Братск",1,"ул. Дьяково Городище 2-я 714",0,15,18,1602107
"Владимир Боголюбский",14.47,"Данков",1,"Аллея Погонная 339",0,9,25,334285
"Маргарита Москвина",37.1,"Братск",2,"ул. Новоконюшенная 642",1,4,12,4848736
"Тиффани Хлумова",48.94,"Зверево",3,"Аллея Чистопольская 778",0,1,2,8474099
"Кондрат Ефимьев",48.83,"Серов",3,"ул. Каменка 1310",0,1,11,6866329
"Инга Ильенкова",46.77,"Зверево",3,"ул. Мироновская 896",0,13,17,8710569
"Нора Балкова",18.13,"Данков",1,"Аллея Карачаровская 1-я 1132",0,1,14,758652
"Тереза Силина",30.55,"Братск",2,"ул. Староваганьковская 272",1,11,13,3499442
"Тея Фурсова",13.06,"Уфа",1,"ул. Елагинская 1283",0,2,7,1270977
"Вероника Апарина",13.35,"Зверево",1,"Аллея Нагатинская Пойма 411",0,6,7,824207
"Милана Колина",23.75,"Серов",2,"ул. Балакиревская 820",1,1,1,3075793
"Ирада Дубинянская",10.64,"Зверево",1,"Аллея Ямского Поля 1-я 619",1,12,14,573022
"Евсей Шукшин",48.39,"Камешково",3,"Аллея Парусная 645",0,5,13,4199428
"Пётр Чернев",32.32,"Братск",2,"ул. Чечерская 593",0,5,7,6309246
"Сара Кандаурова",21.26,"Данков",1,"ул. Белореченская 206",0,3,5,2139396
"Альберт Шубин",17.56,"Зверево",1,"ул. Боженко 891",0,14,20,2080274
"Мира Савостьянова",19.28,"Серов",1,"Аллея Столовая 887",0,7,17,1708143
"Венедикт Ходасевич",25.29,"Серов",2,"Аллея Лыткаринская 834",0,4,8,4119086
"Егор Минаев",17.13,"Данков",1,"ул. Курская 1018",0,1,4,1115214
"Родион Апарин",77.02,"Братск",7,"ул. Печорская 529",0,7,8,12913783
"Влас Шемякин",64.26,"Данков",4,"ул. Садовническая 127",0,15,20,13982705
"Фёдор Лесин",15.76,"Серов",1,"ул. Подколокольная 448",0,10,17,721475
"Ким Березин",93.74,"Зверево",7,"Аллея Щипок 1282",1,9,11,19295117
"Ралина Носкова",14.7,"Данков",1,"Аллея Боровая 990",1,7,11,601735
"Рогнеда Муромская",53.03,"Братск",4,"ул. Проточная 857",1,17,22,9905330
"Герман Филатов",83.06,"Камешково",6,"Аллея Мясниковская 2-я 1207",1,2,7,10375157
"Фока Уткин",15.91,"Данков",1,"Аллея Самаринская 917",0,14,16,1281990
"Майя Банщикова",10.0,"Зверево",1,"Аллея Аптекарская 835",0,2,3,429586
"Анфим Мартынов",79.86,"Данков",5,"Аллея Гражданская 2-я 668",0,10,13,6936655
"Юрий Звягин",52.16,"Серов",3,"ул. Плетешковская 1357",1,6,18,11358291
"Глеб Елизарьев",34.0,"Серов",2,"ул. Пяловская 842",1,13,16,3208676
"Матвей Исаков",126.53,"Уфа",7,"ул. Лобанова 398",1,1,1,21521924
"Андрей Солопов",12.25,"Зверево",1,"Аллея Газетная 1192",0,6,8,323928
"Глеб Филимонихин",11.29,"Братск",1,"Аллея Мастеркова 530",1,4,7,1087099
"Александр Романов",16.25,"Серов",1,"ул. Белореченская 412",0,12,13,2612080
"Жасмин Чаплина",58.11,"Уфа",5,"Аллея Маршала Жукова 591",1,4,7,4134046
"Михримах Мордовцева",23.18,"Зверево",2,"ул. Алексинская 288",1,6,10,3509604
"Ириней Кононыхин",111.55,"Серов",8,"ул. Инициативная 967",1,17,21,11725755
"Исидор Сбитнев",12.6,"Данков",1,"Аллея Шелапутинская 1093",1,3,13,1456834
"Виталий Бондарев",75.58,"Камешково",5,"ул. Детская 1101",0,4,22,7979995
"Мина Федоров",90.73,"Камешково",5,"Аллея Наташинская 653",0,1,16,16349722
"Зарина Левина",59.63,"Данков",3,"ул. Страстной 573",0,3,10,13701164
"Ася Живетьева",24.49,"Зверево",2,"Аллея Стекольная 1-я 877",0,5,20,1135239
"Кристина Алексина",19.13,"Данков",1,"Аллея Дыбенко 1247",0,3,7,1278449
"Святослав Белов",68.75,"Уфа",5,"Аллея Куусинена 1332",0,6,11,9153413
"Альберт Ермилов",63.98,"Серов",4,"ул. Веерная 1326",1,15,19,11348832
"Виктория Агапова",10.63,"Уфа",1,"ул. Факультетская 1032",0,9,11,316729
"Тимур Щекочихин",14.05,"Уфа",1,"Аллея Брюсов 486",1,8,12,802963
"Игорь Дубов",10.0,"Серов",1,"Аллея Кирпичная 406",1,12,23,270475
"Никанор Плавильщиков",66.73,"Данков",4,"ул. Энергетическая 703",1,10,18,14384434
"Прасковья Внифатьева",19.77,"Зверево",1,"ул. Юных Ленинцев 628",0,18,24,2080032
"Гаяна Мягкова",33.32,"Зверево",2,"ул. Покровские Ворота 882",0,10,24,5180407
"Виталий Крячко",11.82,"Братск",1,"Аллея Новобутовская 687",0,4,13,899066
"Агапия Викторова",77.95,"Данков",4,"ул. Новые Черемушки 24а 1342",0,9,16,8457678
"Зарема Некрасова",68.82,"Братск",5,"Аллея Рыбинская 1-я 1007",1,5,6,6253145
"Фаина Ермилова",68.48,"Данков",6,"ул. Обводное 61",0,4,8,9723285
"Нестор Можаев",41.74,"Братск",3,"ул. Стартовая 1292",0,4,17,2888031
"Ростислав Харлампиев",72.52,"Зверево",4,"Аллея Красная 1194",0,1,6,7605385
"Алексия Богомолова",14.85,"Уфа",1,"Аллея Полярная 502",0,13,19,1548428
"Тихон Гусев",85.04,"Данков",5,"Аллея Звезд Эстрады 59",1,1,3,14631291
"Татьяна Азарьина",104.19,"Братск",7,"ул. Осташковская 186",0,16,19,14543803
"Пелагея Далматова",14.64,"Серов",1,"ул. Преображенская 848",0,3,24,334124
"Алексия Есина",16.34,"Уфа",1,"ул. Черемушкинская Б. 1145",1,3,4,1780070
"Залина Аникеева",58.59,"Данков",3,"Аллея Одинцовская 840",1,1,1,8157720
"Вячеслав Свечин",23.83,"Зверево",2,"ул. Академика Капицы 252",0,5,13,791919
"Георгий Юппи",12.6,"Зверево",1,"ул. Ясеневая 452",0,2,4,629518
"Паисий Грибанов",95.95,"Данков",5,"Аллея Белякова 604",0,20,24,12853862
"Федосей Воробьев",37.73,"Серов",2,"Аллея Маршала Федоренко 1024",0,1,4,8011579
"Святослав Патрикеев",117.85,"Братск",7,"Аллея Гжельская 120",1,2,3,25723345
"Антон Асташин",143.39,"Данков",8,"Аллея Берзарина 529",0,2,6,24636569
"Арабелла Вакулова",33.04,"Зверево",2,"Аллея Мелитопольская 785",0,3,6,3917501
"Ядвига Суханова",52.37,"Серов",4,"ул. Чистопрудная 378",0,1,3,6130142
"Никита Тасбулатов",23.86,"Серов",2,"Аллея Юлиуса Фучика 1033",0,8,10,2006563
"Поликарп Платов",14.4,"Серов",1,"ул. Ивановская 630",0,14,21,754814
"Лиора Немцова",21.31,"Уфа",2,"ул. Ремесленная 160",0,11,14,2696990
"Айгерим Старкова",11.67,"Уфа",1,"Аллея Белгородская 220",0,4,6,303675
"Куприян Никонов",11.6,"Данков",1,"ул. Владимирская 2-я 950",0,3,4,451947
"Виталий Белоруков",15.21,"Серов",1,"ул. Ленина 340",0,4,8,2200128
"Амаль Арановская",10.0,"Данков",1,"ул. Воздушная 1051",0,3,9,668190
"Никон Нахапетов",51.57,"Серов",4,"Аллея Большая 1195",0,19,20,5280191
"Сания Марковчина",14.73,"Серов",1,"Аллея Саввинский Б. 333",0,10,17,772257
"Лаврентий Котляревский",32.5,"Данков",2,"Аллея Северная 2-я 1142",0,19,20,6290002
"Одетта Хрисогонова",32.47,"Серов",3,"Аллея Ленинская Слобода 183",0,9,13,3941541
"Хюррем Осипова",123.27,"Данков",7,"ул. Детская 1366",0,1,11,18324218
"Иннокентий Люсин",16.83,"Серов",1,"ул. Парковая 983",0,12,15,907733
"Марфа Голофтеева",10.83,"Данков",1,"Аллея Уржумская 268",0,12,17,876915
"Рузанна Прудникова",30.97,"Серов",3,"Аллея Тюльпанная 769",0,7,11,4118024
"Алла Митрофанова",12.53,"Данков",1,"ул. Большая 913",0,5,8,1336765
"Фёкла Никодимова",18.4,"Братск",1,"Аллея Новгородская 927",0,14,18,1981027
"Виталий Окунев",19.34,"Зверево",1,"Аллея Рахмановская 368",0,5,11,3288726
"Ермолай Казимиров",55.15,"Зверево",3,"ул. Головинская 1031",1,3,6,9177839
"Долорес Агапеева",15.88,"Серов",1,"Аллея Талалихина 949",0,3,6,1470653
"Хадия Веневитинова",105.34,"Зверево",7,"Аллея Звенигородская 2-я 830",0,1,3,22146039
"Фаддей Жбанов",16.72,"Данков",1,"Аллея Курганская 891",1,10,14,1758924
"Федосей Рыжонок",94.76,"Зверево",5,"Аллея Маршала Чуйкова 1398",0,5,20,19584939
"Памела Феонина",40.85,"Братск",3,"Аллея Георгиевская 377",0,12,18,6393854
"Мирослав Стругацкие",11.08,"Уфа",1,"ул. Брестская 1-я 632",0,1,2,1226432
"Номина Собакина",13.63,"Данков",1,"ул. Народная 478",0,11,14,329289
"Вилена Корабальникова",37.83,"Данков",3,"Аллея Варваринская 782",0,11,23,6898085
"Всеволод Саввович",15.98,"Камешково",1,"ул. Таманская 155",0,4,11,423775
"Федосей Идов",15.42,"Братск",1,"ул. Напольная 1353",0,7,16,928961
"Кирилл Ажаев",57.3,"Данков",4,"Аллея Прасковьина 540",1,2,4,12068799
"Тихон Марковчин",71.77,"Серов",4,"Аллея Сокольническая Слободка 1239",0,9,11,16095151
"Кирилл Стефашин",32.28,"Данков",3,"ул. ЦНИИМОД 730",1,6,13,2554135
"Нинель Мелихова",56.95,"Серов",4,"ул. Рабфаковская 431",0,2,5,10466447
"Макар Пучков",15.56,"Данков",1,"ул. Радиальная 5-я 184",0,19,22,1726397
"Пелагея Пескова",16.5,"Данков",1,"ул. Береговой 272",0,5,10,591087
"Ярослав Шевцов",14.77,"Братск",1,"ул. Дегунинская 749",1,8,11,2020291
"Жозефина Степная",18.45,"Братск",1,"Аллея Летчика Полагушина 707",0,14,19,1266940
"Соня Серебренникова",44.59,"Данков",3,"ул. Братьев Фонченко 93",0,1,6,3989614
"Данакт Максимишин",18.18,"Братск",1,"ул. Девятая Рота 699",0,5,16,2664637
"Ярослава Осипова",34.29,"Серов",2,"Аллея Богучарская 256",0,5,8,5184653
"Ия Липкина",82.78,"Зверево",6,"ул. Флотская 35",1,1,3,11517758
"Дмитрий Трифонов",11.33,"Серов",1,"Аллея Муравская 364",1,3,4,320988
"Иоанна Басманова",25.41,"Уфа",2,"Аллея Шипиловская 277",1,3,19,3230951
"Евсей Варавва",18.61,"Данков",1,"ул. Адмирала Руднева 521",0,11,14,1736676
"Мария Протасьева",77.21,"Данков",8,"ул. Кронштадтская 731",0,7,16,13426939
"Арсений Грязев",10.42,"Уфа",1,"ул. Маяковского 278",1,1,3,574983
"Луиза Можаева",14.98,"Серов",1,"ул. Напрудная 1-я 1150",1,19,22,2233219
"Руслана Задорнова",16.07,"Данков",1,"ул. Измайловского Зверинца 342",1,14,15,524943
"Айсун Агеева",14.13,"Зверево",1,"ул. Вилиса Лациса 59",0,8,11,1722199
"Юстин Веллер",48.63,"Уфа",3,"Аллея Переяславская Ср. 860",0,4,7,6585834
"Евгений Палицин",10.6,"Данков",1,"Аллея Сержантская 263",0,8,23,804858
"Аяна Монастырская",24.12,"Данков",2,"Аллея Павла Андреева 847",1,12,13,1902184
"Эмма Бузина",42.57,"Серов",3,"ул. Бутиковская 1377",0,4,18,5256069
"Акакий Несмеянов",76.08,"Серов",5,"Аллея Минаевская 1161",1,2,3,14167871
"Руслан Офросимов",18.4,"Данков",1,"Аллея Арбат 798",0,5,25,2681587
"Роберта Дубова",11.13,"Серов",1,"ул. Сретенские Ворота 180",1,1,2,593379
"Демьян Свечин",59.82,"Зверево",5,"Аллея Ленинградское 1373",0,7,14,6993531
"Эраст Приставкин",40.93,"Данков",4,"Аллея Железногорская 2-я 561",1,11,16,1970940
"Лина Гомзикова",46.73,"Данков",4,"Аллея Некрасовская 378",1,1,11,2034284
"Германн Богданов",55.31,"Серов",3,"Аллея Внуковская 3-я 991",0,12,14,12291895
"Христофор Лагин",15.34,"Зверево",1,"Аллея Изумрудная 1018",1,2,25,1474105
"Никанор Голофтеев",15.29,"Серов",1,"Аллея Щибровская 649",1,2,7,1739836
"Николай Прокопивич",10.2,"Зверево",1,"ул. Сестрорецкая 2-я 487",0,1,19,819373
"Пахомий Феофилов",14.02,"Серов",1,"ул. Михайловский Верхн. Поперечная 56",0,12,18,674763
"Прохор Панфилов",59.61,"Серов",4,"ул. Институтская 3-я 519",0,3,14,8444889
"Якун Казаков",92.54,"Серов",5,"ул. Довженко 297",0,12,16,9687357
"Камилла Бояндина",12.84,"Данков",1,"Аллея Пионерская Б. 752",0,1,2,295787
"Флора Касимова",28.4,"Серов",3,"ул. Трехгорный М. 948",0,15,22,2419351
"Спиридон Несмеянов",66.87,"Данков",5,"ул. Бажова 1084",0,1,2,8128233
"Савва Даниэль",16.72,"Данков",1,"Аллея Ильинка 368",0,7,19,2173397
"Илюза Еремеева",13.13,"Серов",1,"Аллея Прокатная 95",0,1,1,478986
"Лаура Ливанова",49.74,"Данков",3,"Аллея Рабочая 840",1,1,6,10885369
"Потап Арабов",15.84,"Серов",1,"ул. Степана Супруна 345",0,11,25,434715
"Прохор Монастырский",71.12,"Данков",5,"ул. Шухова 361",0,10,11,14159791
"Викторина Сафонова",18.03,"Данков",1,"Аллея Бажова 1388",1,12,18,2225178
"Арина Дубина",57.97,"Серов",3,"Аллея Железногорская 1-я 1121",0,7,19,7661154
"Ариана Иринеева",31.31,"Уфа",3,"Аллея Красносолнечная 462",0,19,20,4052404
"Бела Михайлова",18.91,"Уфа",1,"Аллея Мелиховская 258",1,8,15,1203555
"Эльнара Арсенова",18.64,"Уфа",1,"Аллея Немчинова 1002",0,10,23,1958156
"Феоктист Лукошин",29.87,"Зверево",2,"ул. Фалеевская 837",1,2,25,1680063
"Всеволод Веселов",77.77,"Данков",6,"Аллея Страховская 56",0,1,15,15893429
"Мила Сальникова",48.42,"Данков",3,"Аллея Варшавское 1317",0,3,5,5289209
"Есения Осоргина",129.77,"Братск",10,"Аллея Розанова 776",0,12,23,12911551
"Ефим Богуславский",131.61,"Уфа",10,"ул. Сурская 1193",1,1,3,23547618
"Эльвина Морозова",16.28,"Зверево",1,"ул. Серебряническая 815",0,17,20,494868
"Севастьян Дубинин",88.8,"Данков",5,"Аллея Бориса Жигуленкова 1099",0,11,12,19113407
"Митрофан Замыслов",41.83,"Камешково",4,"ул. Житомирская 252",0,3,10,4250004
"Валерьян Горбунов",171.74,"Серов",9,"Аллея Академическая Б. 695",1,2,4,29920252
"Саида Власьева",17.82,"Зверево",1,"Аллея Грина 70",0,1,1,2924261
"Мавлюда Потапова",56.21,"Уфа",3,"Аллея Хорошевского Серебряного Бора 3-я 97",1,3,5,12630148
"Леонид Ломакин",23.2,"Уфа",2,"ул. Устьинская 968",0,6,25,3541215
"Борис Лесков",71.11,"Братск",4,"Аллея Мытищинская 2-я 96",1,15,16,13356557
"Анаит Распутина",88.8,"Зверево",7,"Аллея Прудовой 35",1,1,2,13227774
"Фёдор Самылин",12.89,"Братск",1,"ул. Никольская 1334",0,2,11,910557
