"rooms","square","address","new","owner","floors","city","price","floor"
4,52.7,"ул. Захарьинские Дворики 792",0,"Иуда Геращенко",14,"Черемхово",7309415,3
2,31.76,"Аллея Саранская 998",1,"Климент Алфимов",18,"Барабинск",2834780,6
3,44.89,"Аллея Троилинская 850",1,"Григорий Громов",10,"Барабинск",5493822,8
1,16.79,"Аллея Гамсоновская 1205",1,"Зоя Боярская",25,"Черемхово",2334351,19
3,57.6,"Аллея Волжская 637",0,"Евгений Володарский",11,"Баксан",11067049,3
1,18.16,"Аллея Хо Ши Мина 155",1,"Ясмина Старикова",13,"Балашиха",3021641,12
4,70.53,"ул. Богатырская 3-я 506",0,"Тая Белокурова",3,"Псков",14118809,2
3,29.05,"Аллея Серпуховская Застава 979",0,"Магдалена Галкина",16,"Барабинск",3280493,12
3,28.56,"Аллея Александра Солженицына 212",0,"Магистриан Баскаков",11,"Баксан",1359325,1
1,14.76,"Аллея Тверская 1045",0,"Милана Лялина",5,"Барабинск",2325657,2
1,13.77,"Аллея Кисловский Ср. 73",0,"Раиса Анастасова",3,"Балашиха",1823479,1
2,29.14,"ул. Родниковая 1028",0,"Филимон Лошкомоев",14,"Псков",5185578,9
2,28.73,"Аллея Кисловский М. 610",1,"Майя Немирова",16,"Бугуруслан",4691035,8
6,106.36,"ул. Черкизовская 3-я 1374",0,"Вадим Боярский",6,"Черемхово",22185071,3
3,33.32,"ул. Тихоновская М. 96",0,"Земфира Каминская",5,"Черногорск",1861872,4
3,56.15,"ул. Водников 429",0,"Севара Огарева",10,"Псков",12242078,1
7,113.54,"ул. Красковская 828",0,"Алсу Маврова",14,"Бугуруслан",15005276,3
1,17.39,"ул. Гольяновская 1156",0,"Прасковья Стратоникова",5,"Барабинск",1713394,4
1,16.9,"Аллея Петровские Линии 381",1,"Сауле Достоевская",9,"Баксан",1955604,8
2,29.45,"Аллея Коптевский М. 738",0,"Агунда Соболева",18,"Калязин",1899650,6
4,69.74,"Аллея Авиаконструктора Миля 739",0,"Мавлюда Коржавина",24,"Черногорск",5518983,8
6,91.82,"ул. Крупской 705",0,"Амина Филатова",18,"Калязин",19269558,1
1,16.48,"ул. Саввинский М. 891",0,"Цагана Лобанова",6,"Черемхово",942221,1
3,31.32,"ул. Ясеневая 1126",1,"Алтын Быкова",11,"Балашиха",1333259,10
2,21.61,"ул. Новогиреевская 1346",0,"Сильвестр Новосельцев",14,"Черногорск",1956613,13
9,88.12,"ул. Парковая 14-я 137",0,"Изабелла Павлова",3,"Барабинск",3225264,1
1,18.17,"Аллея Московско-Минской Дивизии 102",0,"Софрон Ярок",25,"Бугуруслан",1751321,4
7,121.03,"Аллея Иваньковское 186",0,"Артемий Квартальнов",2,"Баксан",27956498,1
6,101.34,"Аллея Пресненская 510",0,"Тимофей Фенев",13,"Псков",21174006,11
1,13.55,"Аллея Переяславская Ср. 503",0,"Шахина Нефедьева",21,"Псков",1814836,4
1,10.0,"ул. Садовая-Самотечная 1319",0,"Ермолай Багиров",2,"Псков",782992,1
4,68.41,"Аллея Шипиловская 463",1,"Юрий Чехов",18,"Черемхово",14684498,13
1,11.15,"ул. Туристская 341",0,"Альберт Безбатько",2,"Баксан",751743,1
1,10.45,"ул. Филаретовская 961",0,"Кондрат Брешковский",22,"Калязин",323580,9
1,12.74,"ул. Маршала Федоренко 764",0,"Ава Ядова",3,"Черемхово",984883,1
1,17.36,"ул. Магазинная 711",0,"Лаврентий Пигасьев",1,"Черногорск",1360623,1
1,15.11,"ул. Кооперативная 325",1,"Этери Розанова",11,"Черемхово",2030104,8
3,57.32,"ул. Скатертная 121",1,"Сильвестр Горелов",12,"Черногорск",12150611,2
3,59.4,"ул. Озерная 143",1,"Фома Астапов",25,"Черемхово",9424590,9
1,11.47,"ул. Чугунные Ворота 149",0,"Клара Денисова",4,"Анива",339411,3
1,14.37,"Аллея Матвеевская 1035",1,"Архипп Всеволожский",20,"Бугуруслан",609359,10
2,35.4,"Аллея Ботаническая М. 1337",1,"Фёдор Мышкин",25,"Баксан",7490411,7
5,72.51,"Аллея Новобратцевская 977",0,"Валентин Казакевич",24,"Черемхово",5427626,15
3,47.84,"ул. Маевок 652",0,"Инесса Заволокина",2,"Псков",5064142,1
4,75.67,"Аллея Новоселки 2-я 476",0,"Юрий Пригожин",16,"Балашиха",13881656,10
1,11.01,"Аллея Электрозаводская 118",0,"Динара Торлопова",21,"Псков",317332,14
1,15.5,"Аллея Краснобогатырская 344",0,"Амина Домбровская",6,"Псков",2529981,4
1,15.86,"ул. Раздельная 174",0,"Мирослав Беленький",7,"Барабинск",1689928,3
1,13.49,"ул. Зденека Неедлы 1265",0,"Мара Симбирская",14,"Псков",1476817,8
5,79.85,"Аллея Учинская 985",0,"Констанция Шабалова",7,"Псков",15593768,4
1,19.05,"ул. Годовикова 413",1,"Алтын Щепкина",6,"Псков",1057761,5
5,96.43,"Аллея Главмосстроя 1163",0,"Донат Полуектов",7,"Псков",18831977,1
4,44.93,"ул. Тихоновская Б. 648",1,"Онуфрий Вайсбеккер",18,"Барабинск",2017483,5
3,28.21,"ул. Николоворобинский М. 130",1,"Эвелина Михаилова",12,"Барабинск",2587395,6
5,54.89,"Аллея Вадковская 1304",0,"Авксентий Дубинин",11,"Барабинск",9538306,7
5,51.08,"Аллея Устьинская 476",0,"Роман Бенигсен",9,"Черногорск",4760638,2
1,19.62,"ул. Енисейская 910",0,"Анна Кузикова",8,"Барабинск",2687510,6
3,31.79,"Аллея Девятинский Б. 958",1,"Ася Флегонтьева",7,"Черногорск",3070677,1
1,14.37,"ул. Кисловский Нижн. 1001",1,"Анастасия Соротокина",6,"Бугуруслан",2184681,5
5,66.24,"Аллея Льва Толстого 838",0,"Владлен Микитов",9,"Анива",9428499,5
2,29.21,"Аллея Водопьянова 714",0,"Тиффани Жеребцова",8,"Бугуруслан",3154856,4
1,17.65,"Аллея Кабельная 1-я 1380",0,"Ирина Зыкова",24,"Черногорск",1556151,7
1,15.51,"ул. Барклая 460",1,"Алёна Авсеева",17,"Балашиха",2143680,3
3,29.55,"ул. Озерная 753",0,"Харитон Анемподистов",13,"Черемхово",4061643,9
5,71.19,"Аллея Арбатская 675",0,"Назар Самойлов",18,"Калязин",8533520,4
3,39.04,"Аллея Беловежская 1107",1,"Лира Дубинянская",10,"Черемхово",5062872,2
2,23.86,"ул. Мамоновская 615",1,"Ярослав Житинский",13,"Черемхово",1495483,12
6,101.96,"ул. Полянка Б. 209",0,"Михримах Демидова",11,"Калязин",16962443,3
2,24.02,"ул. Рудневка 872",1,"Анабель Гершанова",4,"Барабинск",1990486,2
1,10.96,"Аллея Жуков 979",0,"Антонин Боборыкин",18,"Калязин",259648,8
2,34.29,"Аллея Лениногорская 1155",0,"Одетта Шесткова",15,"Черемхово",4781636,1
2,26.53,"Аллея Никитников 508",0,"Федот Заболоцкий",6,"Черемхово",4537217,4
4,54.31,"Аллея Мельникова 99",0,"Германн Анкидинов",12,"Баксан",9979750,3
3,51.05,"Аллея Берингов 1327",1,"Альвиан Мурманенко",7,"Балашиха",7379350,6
2,27.49,"ул. Лизы Чайкиной 1236",1,"Ермолай Привалов",10,"Черемхово",1918650,6
5,49.35,"Аллея Главная 859",0,"Сабина Обросимова",11,"Калязин",7116604,4
1,14.66,"ул. Генерала Карбышева 481",1,"Сергей Кучерский",5,"Баксан",788594,4
5,90.48,"Аллея Китайгородская 1107",0,"Амира Клеопова",6,"Черемхово",11248603,4
5,80.62,"ул. Сайкина 469",0,"Ярослав Кондратов",14,"Баксан",12607768,11
1,17.13,"Аллея Акулово 42",1,"Прохор Кулаков",18,"Калязин",1580281,2
5,51.77,"Аллея Песчаный М. 935",0,"Геласий Панов",7,"Баксан",8079888,6
3,48.88,"Аллея Горловская 2-я 101",0,"Никита Крупнов",1,"Калязин",3887052,1
2,31.89,"ул. Тульская М. 278",0,"Тихон Гатапов",17,"Черемхово",2996840,15
1,19.0,"ул. Академика Пилюгина 433",0,"Лилиана Ганичева",17,"Черногорск",3110943,4
1,15.86,"ул. Электродная 1298",0,"Якун Лиханов",2,"Баксан",2736176,1
1,16.75,"ул. Линии Октябрьской Железной Дороги 956",0,"Сания Лепёхина",10,"Анива",2014597,8
1,11.2,"Аллея Кузнецовская 1359",1,"Таяна Лапина",13,"Бугуруслан",265066,5
3,44.24,"Аллея Зарайская 1258",1,"Лаврентий Степной",21,"Анива",8795238,10
1,11.41,"Аллея Цветной 724",0,"Никифор Ложкомоев",4,"Калязин",1369298,3
1,10.34,"ул. Новые Сады 5-я 1175",1,"Пров Пучков",1,"Черногорск",318639,1
1,10.0,"ул. Фабричная 1061",1,"Станислав Русаков",7,"Псков",933214,3
1,13.85,"Аллея Академика Волгина 1225",1,"Эраст Подколзин",10,"Черемхово",277208,4
1,12.83,"Аллея Ливенская 555",0,"Хадия Куратова",21,"Псков",1698151,13
1,11.7,"Аллея Староданиловский Б. 1204",1,"Аделаида Николина",6,"Бугуруслан",325859,2
2,19.23,"ул. Кленовая 1174",0,"Ребекка Савкина",5,"Баксан",313779,2
7,125.38,"ул. Люблинская 677",0,"Анисья Мурманская",5,"Псков",18917424,2
1,17.95,"ул. Нововладыкинская 31",0,"Руфь Фурманова",6,"Псков",1123872,3
6,70.7,"Аллея Остроумовская Б. 362",1,"Станислав Пушкин",15,"Барабинск",11526506,1
3,36.37,"Аллея Лучников 606",1,"Индира Свечина",6,"Барабинск",6894144,3
2,20.38,"ул. Тарханская 360",0,"Ярослав Хаустов",12,"Черемхово",2760888,5
5,49.64,"Аллея Константина Федина 282",0,"Варсонофий Лаврентьев",10,"Балашиха",4116489,5
6,90.2,"ул. Ирины Левченко 675",1,"Ким Москвин",11,"Баксан",15092768,7
1,14.1,"Аллея Тюфелева Роща 614",0,"Игнатий Одинцов",6,"Барабинск",842473,3
4,72.5,"ул. Институтская 3-я 579",1,"Сильвестр Ефимьев",3,"Баксан",14644479,1
1,10.0,"ул. Новгородская 1381",1,"Лиора Римская",7,"Барабинск",349226,2
1,11.66,"ул. Митинская 495",1,"Протасий Флегонтов",11,"Баксан",837261,8
2,29.69,"ул. Мироновская 1022",0,"Илья Акинфов",20,"Псков",4911492,11
1,17.69,"Аллея Хохловка Нижн. 381",1,"Добрыня Гуцко",4,"Псков",1003423,2
1,13.8,"ул. Ромена Роллана 1031",1,"Варсонофий Акиндинов",3,"Псков",1757311,2
1,12.22,"ул. Лубянка Б. 956",0,"Созон Шатыренок",22,"Черемхово",1158448,19
1,12.49,"ул. Ливенская 240",1,"Ева Васькина",8,"Калязин",1744369,4
1,16.41,"Аллея Кустанайская 709",1,"Айгерим Бенедиктова",23,"Барабинск",534195,17
1,17.16,"ул. Железногорская 5-я 277",0,"Ярослав Репников",10,"Черемхово",880211,2
1,14.9,"ул. Солнечногорская 1114",0,"Полина Шарова",20,"Черемхово",2328021,19
2,23.4,"ул. Пречистенская 231",0,"Ванесса Катаева",3,"Псков",2584288,2
5,91.31,"ул. Новопотаповская 1154",1,"Олеся Созонова",7,"Балашиха",10061452,1
6,114.67,"ул. Ведерников 139",1,"Всеволод Бабаевский",13,"Барабинск",23274003,6
6,100.83,"Аллея Индиры Ганди 1232",0,"Александр Невзоров",6,"Баксан",11825543,4
3,48.06,"Аллея Европы 151",0,"Ираида Тарасьева",2,"Черемхово",4481212,1
1,10.0,"Аллея Сурикова 154",0,"Харитон Чижов",22,"Барабинск",572114,16
3,34.77,"ул. Краснопрудный М. 1290",1,"Онуфрий Тарн",2,"Барабинск",2045908,1
1,14.57,"Аллея Дунаевского 573",0,"Руслан Поливанов",17,"Черемхово",699621,8
2,28.21,"ул. Острякова 433",0,"Михаил Андрусов",21,"Черемхово",3174488,9
1,17.3,"ул. Васильевский Спуск 1092",1,"Паисий Толстой",9,"Барабинск",1795555,3
5,56.29,"Аллея Соколиной Горы 10-я 1040",0,"Всеволод Гранин",4,"Бугуруслан",3468084,3
1,19.29,"ул. Подольское 505",0,"Денис Антипьев",14,"Черногорск",2064414,7
1,10.23,"ул. Чистая 385",0,"Чулпан Паустовская",9,"Барабинск",537411,1
1,10.67,"Аллея Факельный Б. 858",0,"Куприян Семенов",12,"Псков",313922,11
4,55.54,"ул. Братиславская 558",0,"Русалина Орлова",7,"Калязин",4869074,3
5,84.54,"Аллея Прибрежная 311",0,"Данакт Астапов",18,"Черемхово",10434472,12
7,112.61,"Аллея Ровная 648",0,"Арабелла Овсеева",24,"Псков",14921733,19
3,36.6,"ул. Лихоборская 625",1,"Логгин Зализняк",9,"Черемхово",5856550,1
2,34.5,"ул. Костикова 480",0,"Александр Борисенко",3,"Калязин",5000271,2
1,13.58,"Аллея Фрезерная 1-я 1108",1,"Белла Данькова",9,"Бугуруслан",1970962,2
1,13.91,"Аллея Логвиненко 163",0,"Феликс Могила",2,"Анива",1653266,1
6,78.98,"Аллея Коккинаки 948",0,"Донат Ядов",25,"Черемхово",12195190,9
1,17.57,"ул. Цезаря Куникова 657",0,"Гавриил Гладков",24,"Черногорск",2765999,7
1,13.51,"ул. Строителей 807",0,"Конон Инин",20,"Черногорск",1470319,2
1,10.0,"Аллея Сельскохозяйственная 419",0,"Мирра Смородинская",10,"Анива",342900,3
1,18.94,"Аллея Кожуховская 7-я 589",0,"Пантелеймон Габышев",23,"Барабинск",3091214,20
2,31.51,"ул. Тамбовская 919",0,"Лаура Кулагина",5,"Черемхово",3126119,2
3,40.46,"Аллея Зыковский Нов. 216",0,"Октябрина Солженицина",17,"Псков",7777720,16
2,32.99,"Аллея Толмачевский Ст. 1088",0,"Наталья Вишнякова",23,"Калязин",5990718,20
2,34.23,"ул. Котельническая 443",0,"Поликарп Левитин",4,"Псков",3066533,3
4,40.94,"Аллея Яблоневая 595",0,"Грета Козлова",15,"Калязин",3496778,10
1,15.19,"Аллея Сокольническая 3-я 1366",0,"Тамила Витковская",10,"Бугуруслан",2246695,8
5,68.41,"ул. Чертаново Северное 865",1,"Антонин Ефремов",14,"Псков",5514503,5
1,12.3,"ул. Просвирин 491",0,"Мирон Анфимов",8,"Псков",552703,5
3,38.17,"Аллея Тупиковая 551",0,"Фарида Максимишина",2,"Баксан",2098343,1
3,46.02,"ул. Истринская 1044",0,"Филипп Брасс",18,"Анива",5922123,15
1,22.88,"Аллея Северодвинская 914",1,"Станислав Кувалдин",5,"Балашиха",3137990,3
2,20.29,"ул. Веерная 556",0,"Рогнеда Пестова",1,"Черемхово",1581040,1
1,19.74,"Аллея Алабушевская 810",1,"Кирилл Советов",20,"Балашиха",1687123,10
4,74.65,"Аллея Звенигородская 2-я 436",1,"Жанна Юдина",19,"Калязин",12444095,14
1,17.68,"Аллея Калитниковская Б. 998",1,"Евграф Фотеев",22,"Черемхово",1363494,18
7,132.41,"ул. Полуярославский Б. 1328",0,"Пётр Богоявленский",5,"Барабинск",13237862,3
7,70.88,"Аллея Герасима Курина 419",0,"Эмма Филахтова",19,"Черемхово",3153583,5
5,81.32,"ул. Юннатов 1237",0,"Ким Светлов",18,"Баксан",8178046,9
1,13.89,"ул. Фролов 985",0,"Донат Лобанов",22,"Псков",591202,21
2,20.41,"ул. Новоселки 2-я 110",1,"Агафон Лукошин",10,"Балашиха",3023186,9
1,14.43,"Аллея Глухарев 789",0,"Аристарх Мережковский",6,"Анива",318953,1
6,114.97,"Аллея Воронцовские Пруды 1219",1,"Рита Мартьянова",7,"Балашиха",17981269,4
3,47.25,"Аллея Маршала Тимошенко 1146",0,"Мадина Моисеева",23,"Псков",8788349,18
6,73.5,"Аллея Дружинниковская 98",0,"Донат Горбунов",22,"Барабинск",12141352,19
3,42.4,"ул. Мневники Нижн. 867",0,"Демьян Карасёв",9,"Черемхово",6880260,1
2,32.61,"ул. Академика Люльки 255",1,"Святослав Дементьев",1,"Псков",3721988,1
1,19.59,"ул. Медиков 421",1,"Евгений Камша",10,"Балашиха",1097461,9
4,75.48,"Аллея Ключевая 584",0,"Лана Никонова",25,"Калязин",13636805,24
1,12.47,"Аллея Судакова 984",0,"Корнилий Бавильский",15,"Калязин",1393132,13
6,114.57,"Аллея Тихомирова 377",1,"Феоктист Ипполитов",13,"Псков",14663773,7
1,15.44,"Аллея Булатниковская 509",0,"Астрид Гусева",12,"Барабинск",2372456,7
1,16.75,"ул. Кустанайская 1095",0,"Иван Крупнов",9,"Псков",2652044,8
3,52.68,"Аллея Переяславская Ср. 1312",0,"Эльвина Любимова",16,"Барабинск",7303983,1
4,52.69,"ул. Электродная 908",1,"Зульфия Назарова",10,"Черемхово",5644656,7
1,14.5,"ул. Игарская 458",1,"Анабель Собакина",19,"Псков",1249378,15
1,18.9,"ул. Старокрымская 1181",1,"Парфений Шапошников",11,"Бугуруслан",1939972,4
4,77.32,"ул. Федорова 696",0,"Маргарита Родченкова",22,"Калязин",10341601,17
1,10.0,"Аллея Брюсов 8",0,"Фарида Шалыганова",10,"Анива",257622,1
6,91.55,"ул. Боевская 2-я 1323",1,"Богдан Карпов",4,"Барабинск",10649944,2
4,51.5,"ул. Болотная 27",0,"Зиновий Крячко",7,"Черногорск",8455067,5
3,54.71,"ул. Планерная 1075",0,"Эдуард Безбатько",6,"Анива",4895891,4
1,14.2,"ул. Абельмановская 1290",1,"Христофор Самылин",13,"Черногорск",1276822,3
4,47.27,"ул. Горловская 126",1,"Эмма Савина",9,"Барабинск",7418982,6
4,64.87,"Аллея Декабрьская Б. 1283",0,"Эльвина Бакунина",5,"Черемхово",11091751,1
6,96.19,"ул. Ввц 355",1,"Якун Сазонов",13,"Черемхово",16935950,8
1,14.6,"ул. Мамоновская 599",0,"Тимур Померанцев",21,"Псков",1080342,11
5,77.13,"ул. Тюменская 78",1,"Никон Охотин",6,"Барабинск",15360453,4
1,10.86,"Аллея Железногорская 2-я 1242",0,"Сила Сажин",7,"Барабинск",350118,3
1,11.52,"ул. Юрьевская 172",1,"Шерил Витязева",3,"Барабинск",621532,1
1,16.36,"ул. Генерала Жадова 1165",0,"Ираклий Советов",11,"Псков",1497826,1
4,50.84,"Аллея Железногорская 2-я 633",1,"Севастьян Старченко",9,"Черногорск",6991030,2
6,110.07,"ул. Мароновская 962",0,"Тора Маркова",22,"Баксан",11096019,14
1,15.97,"ул. Лефортовская 589",1,"Линда Смородинская",23,"Бугуруслан",419010,21
3,57.22,"Аллея Берингов Н. 989",1,"Порфирий Бенедиктов",9,"Калязин",5263771,2
8,114.82,"Аллея Черепановых 1070",0,"Ярослава Рыльникова",10,"Барабинск",23489681,6
2,21.46,"Аллея Котляковская 356",0,"Айсель Асеева",14,"Баксан",2807234,10
4,61.94,"Аллея Панферова 857",0,"Антон Ефимьев",25,"Баксан",9839913,4
1,16.63,"ул. Генерала Ермолова 1326",0,"Антонин Стефашин",17,"Барабинск",1601585,14
7,77.64,"ул. Наро-Фоминская 10",1,"Панкратий Хадеев",1,"Барабинск",14501484,1
3,50.67,"Аллея Черницынская 1372",0,"Пахомий Чудинов",18,"Псков",8083209,16
2,16.67,"ул. Плетешковская 1319",0,"Нестор Петелин",3,"Баксан",324699,1
4,37.64,"Аллея Югорская 145",0,"Ждан Филимонихин",5,"Бугуруслан",4348506,1
1,14.63,"Аллея Розанова 686",1,"Фока Гребенщиков",5,"Черемхово",1870485,2
5,80.25,"Аллея Александра Солженицына 1216",1,"Куприян Кормильцев",17,"Баксан",13380095,15
1,13.43,"Аллея Лихоборские Бугры 329",0,"Глеб Месяц",17,"Баксан",1545137,3
3,42.09,"ул. Трехгорный Вал 648",0,"Виссарион Мартынов",7,"Барабинск",3267477,2
2,22.91,"Аллея Сокольническая 2-я 387",0,"Фёкла Милова",11,"Псков",1389348,1
5,70.58,"Аллея Полины Осипенко 1263",1,"Риана Носкова",9,"Анива",9561085,8
3,35.65,"ул. Покровские Ворота 558",0,"Флорентина Вострякова",21,"Псков",1889027,8
1,13.36,"Аллея Мельникова 1379",0,"Агапия Остратова",16,"Калязин",1940288,5
1,10.0,"Аллея Миклухо-Маклая 190",1,"Джиневра Васильева",17,"Калязин",757318,4
5,49.07,"Аллея Болотниковская 737",0,"Ангелина Онисимова",22,"Бугуруслан",2952816,10
3,38.46,"ул. Академика Опарина 781",0,"Лера Колесникова",25,"Калязин",4780937,10
1,10.0,"Аллея Пехотная 330",0,"Наима Бондарева",11,"Анива",829855,1
6,77.46,"ул. Юннатов 352",1,"Агафон Авакумов",8,"Баксан",10768087,7
1,15.83,"Аллея Пятницкая 1272",0,"Виссарион Поляков",16,"Барабинск",2084854,3
1,11.87,"Аллея Нагатинская Пойма 1223",1,"Амина Проклова",10,"Черемхово",1116517,8
1,12.75,"ул. Шлюзы 1327",0,"Валентин Белоусов",21,"Барабинск",706717,9
3,44.05,"ул. Чернышевского 589",0,"Иван Тюльпанов",25,"Черемхово",6346490,6
1,17.87,"Аллея Карачаровская 2-я 902",0,"Бэлла Филатьева",8,"Барабинск",1523173,4
6,68.77,"Аллея Самарская 221",1,"Сильвестр Прокофьев",11,"Балашиха",10421583,1
3,53.57,"ул. Парковая 16-я 205",1,"Севастьян Тендряков",9,"Барабинск",8469088,7
2,27.66,"Аллея Соколиной Горы 3-я 937",0,"Демьян Иевлев",8,"Черемхово",4428571,1
1,18.15,"ул. Старопотаповская 88",0,"Никита Садур",16,"Анива",2763397,8
4,43.43,"Аллея Ножовая 1316",0,"Эвита Олейникова",12,"Балашиха",3443973,10
4,61.59,"ул. Заречье 734",0,"Ростислав Бушин",3,"Черемхово",10648801,1
3,44.88,"Аллея Казенный Б. 921",1,"Ираида Витязева",2,"Анива",4883776,1
6,110.18,"Аллея Мякининская 2-я 157",0,"Вениамин Пафнутьев",13,"Бугуруслан",19407948,8
1,14.8,"ул. Павла Корчагина 473",1,"Святослав Абросимов",24,"Псков",2072632,14
6,108.33,"ул. Минусинская 296",0,"Дженнифер Боборыкина",17,"Псков",19689380,10
3,33.35,"Аллея Щибровская 1358",0,"Алексей Северянин",11,"Барабинск",4981507,1
1,18.49,"ул. Маресьева 1312",0,"Севастьян Ковшов",5,"Анива",824381,1
1,11.96,"Аллея Знаменский Б. 836",1,"Евгений Осеев",9,"Калязин",540060,4
1,10.0,"Аллея Нижние Поля 283",1,"Серафим Горенштейн",1,"Черемхово",331406,1
1,10.0,"Аллея Адмирала Макарова 671",0,"Гоар Софронова",16,"Псков",435069,11
6,93.24,"Аллея Соколово-Мещерская 1323",0,"Добрыня Чекмаев",5,"Псков",14273695,2
4,71.88,"Аллея Ганнушкина 365",0,"Тамила Акинфиева",7,"Псков",15624467,1
3,58.87,"Аллея Старослободская 637",1,"Августа Писемская",4,"Барабинск",11118801,3
1,18.03,"Аллея Страховская 1268",0,"Юстин Болтышев",4,"Барабинск",2265500,2
5,66.01,"Аллея Знаменка 556",0,"Авксентий Сазонов",24,"Черемхово",5373608,22
4,56.91,"ул. Крестьянская 734",0,"Саяна Комиссарова",22,"Псков",9319772,19
1,10.0,"Аллея Старокирочная 1356",1,"Варфоломей Карлов",23,"Черногорск",277977,1
1,17.78,"ул. Илимская 159",0,"Александр Савельев",1,"Черемхово",782789,1
1,14.95,"Аллея Железнодорожная 1335",1,"Анисья Эмина",16,"Калязин",795150,6
1,11.04,"ул. Поперечная 1310",1,"Пантелеймон Малецкий",24,"Барабинск",638994,3
5,86.38,"ул. Таганрогская 951",0,"Ванда Козырева",6,"Баксан",9633499,3
4,44.08,"Аллея Арбатецкая 1366",0,"Шахина Амвросова",11,"Балашиха",8145122,10
1,11.7,"Аллея Новоданиловская 320",0,"Лукерья Обухова",11,"Псков",810751,7
4,67.18,"ул. Путейская 150",1,"Муза Удачина",14,"Барабинск",11459668,2
1,14.24,"Аллея Дашков 978",1,"Ванда Остафьева",20,"Черемхово",1653826,2
1,15.85,"ул. Летняя 560",1,"Олег Дмитрук",19,"Калязин",587932,9
1,12.7,"Аллея Трехсвятительский М. 172",0,"Гюзель Гришина",4,"Псков",1803129,2
1,16.78,"Аллея Садовая-Сухаревская 1098",0,"Пётр Топчиев",24,"Калязин",1016723,13
1,16.74,"Аллея Митьковская 18",0,"Лев Гогуа",12,"Псков",1132282,11
1,11.06,"ул. Ленинские Горы 549",0,"Иосиф Дёмушкин",11,"Черемхово",335129,4
6,59.29,"Аллея Ремесленная 717",0,"Лукьян Пахомов",15,"Черемхово",4534593,5
3,55.64,"Аллея Добролюбова 432",0,"Августа Варнавина",10,"Псков",9419366,9
3,35.8,"Аллея Калитниковская М. 348",1,"Фирс Булатов",23,"Черногорск",2372979,4
2,34.4,"ул. Вучетича 1292",0,"Шерил Купряшина",2,"Баксан",6875206,1
2,31.27,"Аллея Манежная 881",0,"Капитон Евстифеев",25,"Балашиха",1904024,10
4,65.77,"Аллея Медведева 388",1,"Лилиана Цепова",19,"Барабинск",7538062,2
3,44.28,"ул. Стремянная 1008",1,"Вениамин Малахов",12,"Анива",5366021,3
1,12.18,"ул. Северная 7-я 108",1,"Ждан Новиков",2,"Бугуруслан",425088,1
1,14.54,"ул. Нерис Саломеи 1386",1,"Астрид Сотникова",8,"Балашиха",1882197,6
3,42.41,"Аллея Золоторожский Ср. 1156",0,"Исидор Пономарёв",4,"Калязин",5725117,2
6,85.72,"ул. Житная 527",1,"Спиридон Найман",22,"Черногорск",10917323,5
5,69.97,"ул. Удальцова 923",1,"Виссарион Аксентьев",6,"Черемхово",9988560,5
1,14.16,"Аллея Лазенки 3-я 167",1,"Вадим Гарасимов",12,"Псков",311617,7
1,10.0,"ул. Крымская 62",0,"Алана Анкудинова",24,"Черемхово",286921,21
1,13.66,"Аллея Олимпийской Деревни 771",1,"Тара Памфилова",23,"Барабинск",878188,20
5,84.4,"Аллея Мякининская 5-я 1275",0,"Мартын Аренский",16,"Черемхово",7530774,7
2,31.63,"Аллея Липчанского 326",1,"Айгерим Шилова",8,"Псков",3321075,7
1,10.1,"Аллея Хользунова 946",0,"Федот Безручко",21,"Черемхово",281050,15
1,11.79,"Аллея Мичурина 270",1,"Роман Коростелёв",18,"Балашиха",680943,15
1,11.44,"Аллея Даев 1074",0,"Олеся Конюшевская",14,"Черногорск",698544,6
9,162.71,"Аллея Липецкая 577",0,"Антон Орехов",20,"Черемхово",29547038,8
3,44.85,"ул. Новоселенская 314",1,"Всеволод Китов",5,"Барабинск",3385725,3
1,11.05,"ул. Копьевская 1305",1,"Аркадий Табаков",15,"Барабинск",1125659,13
1,18.07,"Аллея Юных Ленинцев 863",0,"Милана Фатьянова",16,"Черемхово",1899244,13
1,15.15,"Аллея Изваринская 645",1,"Стелла Акинфиева",14,"Псков",1353400,1
1,12.82,"ул. Мартыновская 409",0,"Соня Сбитнева",9,"Баксан",258829,7
1,12.44,"ул. Ставропольская 1376",1,"Акакий Верзилов",10,"Псков",341525,2
1,14.82,"Аллея Нижние Мневники 654",1,"Серафим Павловский",21,"Барабинск",801154,18
1,12.43,"ул. Сергиевский Б. 178",0,"Алиса Самылова",11,"Барабинск",1287775,1
1,17.12,"ул. Новохохловская 1328",0,"Владимир Акимов",15,"Анива",2795856,4
1,15.14,"ул. Михалковская 1095",0,"Митрофан Ветров",6,"Черемхово",1793902,2
5,68.56,"Аллея Турчанинов 488",1,"Парфений Амвросьев",24,"Барабинск",10289992,6
5,65.67,"ул. Новопеределкинская 5",0,"Корнелия Фофанова",14,"Балашиха",6276540,11
2,22.67,"ул. Открытое 1021",0,"Ким Войнович",4,"Бугуруслан",2255541,2
1,19.09,"ул. Балчуг 1139",1,"Григорий Зондберг",7,"Баксан",2585029,4
1,12.88,"Аллея Крылатские Холмы 38",0,"Сати Жукова",17,"Анива",1684272,1
3,34.48,"Аллея Ганецкого 1370",0,"Хилари Овросимова",14,"Черемхово",5803503,8
3,29.37,"ул. Старослободская 221",0,"Ванесса Кабакова",15,"Псков",1750833,10
