"new","floor","owner","city","square","floors","price","rooms","address"
0,14,"Фаддей Гай","Юхнов",89.05,25,12173407,5,"ул. Мартыновская 1004"
1,14,"Эраст Анемподистов","Бакал",70.46,19,6335065,5,"Аллея Добровольческая 1182"
1,3,"Стелла Первушина","Новый Оскол",83.11,6,17518534,6,"ул. Заветная 1247"
0,1,"Дильназ Полякова","Чусовой",121.94,1,24039037,7,"ул. Березовой Рощи 75"
0,2,"Любовь Авсеева","Юхнов",12.71,4,663290,1,"ул. Мелькисаровская 424"
0,9,"Эстер Константинова","Лысково",38.42,13,3073985,4,"ул. Маршала Новикова 362"
1,3,"Раиля Осинская","Лысково",41.82,16,5695330,3,"Аллея Калошин 895"
0,7,"Альвиан Прутков","Новодвинск",38.58,11,3024750,3,"ул. Гольяновская 1096"
0,6,"Раифа Клепова","Юхнов",83.74,13,10403349,6,"Аллея Аэропортовская 1-я 601"
0,14,"Ольга Багринцева","Озёрск",17.74,23,1078943,1,"ул. Комдива Орлова 1353"
0,1,"Феоктист Осинский","Чусовой",54.19,1,2263347,5,"ул. Верхние Поля 447"
0,3,"Аркадий Розанов","Бакал",19.28,5,2294698,1,"ул. Новосибирская 794"
0,1,"Самуил Пудов","Лысково",46.13,1,3131918,3,"Аллея Академика Туполева 356"
1,1,"Кузьма Костин","Чусовой",112.64,5,21654913,6,"ул. Нансена 261"
0,9,"Родион Вихров","Лысково",17.5,25,2896637,1,"ул. Международное 1132"
1,1,"Пелагея Грина","Новодвинск",57.29,2,10883490,3,"ул. Тишинская 959"
0,1,"Вета Алферьева","Бакал",11.62,4,1095307,1,"Аллея Вологодская 104"
0,16,"Дарья Шашкова","Бакал",18.88,17,3183062,1,"ул. Одоевского 522"
0,4,"Логгин Андреев","Юхнов",18.61,5,2626386,1,"Аллея Ямская 1-я 1324"
0,9,"Федот Нехлюдов","Морозовск",13.31,11,1571450,1,"ул. Столешников 785"
0,6,"Алеста Денисьева","Бакал",14.33,10,1385001,1,"Аллея Измайловское 653"
0,10,"Луиза Остафьева","Бакал",76.87,12,17776978,4,"ул. Скотопрогонная 60"
0,3,"Саида Зайончковская","Морозовск",45.98,16,6067849,3,"Аллея Одинцовская 956"
0,1,"Раяна Заплетина","Озёрск",84.64,2,18849991,5,"Аллея Кубинка 852"
0,21,"Феликс Поликарпов","Лысково",10.0,22,357270,1,"Аллея Егерская 203"
0,8,"Пров Немиров","Новодвинск",32.89,23,3239252,3,"ул. Маломосковская 93"
0,14,"Александра Буторина","Новый Оскол",70.07,19,5520971,6,"Аллея Луговой 405"
0,8,"Евстафий Филиппьев","Чусовой",13.84,22,1801577,1,"Аллея Казанская 1319"
0,5,"Энже Маргелова","Чусовой",13.5,8,1905843,1,"ул. Строченовский М. 594"
0,1,"Патриция Фурцева","Морозовск",36.26,7,4984305,2,"Аллея Красноворотская 850"
0,11,"Прохор Филков","Чусовой",10.0,23,450682,1,"ул. Ямская 2-я 221"
0,5,"Анна Дормидонтова","Новодвинск",57.85,7,5342173,4,"Аллея Жуковского 1174"
0,6,"Мелентий Веркин","Кулебаки",133.22,20,14361349,7,"ул. Летниковская 1319"
0,1,"Фредерика Рысева","Чусовой",98.83,6,16802137,10,"Аллея Кулакова 120"
0,1,"Домна Онисимова","Бакал",110.06,2,16888868,10,"Аллея Напольная 741"
1,9,"Фома Горелов","Морозовск",14.59,14,1699362,1,"ул. Белокаменное 503"
0,1,"Филипп Мазин","Юхнов",53.54,1,3642059,4,"ул. Ослябинская 919"
0,1,"Ермолай Викторов","Новый Оскол",40.92,10,4960961,3,"Аллея Максимова 807"
0,1,"Алексей Сотников","Озёрск",20.31,2,2553692,1,"Аллея Дурова 952"
0,11,"Лариса Бурова","Лысково",28.92,19,1737520,2,"ул. Крылатские Холмы 196"
1,5,"Эвелина Шалыганова","Новый Оскол",15.83,10,2536124,1,"Аллея Селиверстов 1323"
0,11,"Элеонора Акбулатова","Юхнов",18.16,16,1379899,1,"ул. Рогожский М. 65"
0,2,"Варсонофий Бездетко","Юхнов",10.0,13,450731,1,"ул. Беговая 1238"
0,5,"Емельян Севастьянов","Морозовск",29.46,16,5421479,2,"ул. Деповская 1043"
0,1,"Аза Беседина","Чусовой",18.69,9,3066140,1,"ул. Шубинская 298"
0,7,"Тара Авксентьева","Бакал",10.0,9,605836,1,"Аллея Правды 1323"
1,3,"Хюррем Олимпиева","Морозовск",12.39,9,304174,1,"ул. Третьего Интернационала 1243"
0,1,"Ярина Осинская","Чусовой",18.87,6,1522253,1,"ул. Коцюбинского 586"
1,2,"Сильвестр Мишнев","Лысково",54.34,18,10065484,3,"ул. Рождественская 141"
0,4,"Максим Кирилин","Новодвинск",15.51,5,752170,1,"Аллея Волжский Бульвар 113 А 1242"
1,2,"Еремей Грин","Новый Оскол",35.73,17,2494017,3,"ул. Столешников 72"
0,2,"Пахомий Уткин","Новый Оскол",20.21,16,3730034,1,"Аллея Феодосийская 578"
1,6,"Евдоким Синявский","Лысково",58.91,17,4469019,4,"Аллея Нарвская 30"
0,5,"Добрыня Галкин","Новодвинск",10.0,15,417471,1,"Аллея Буженинова 509"
0,11,"Флоренция Мурмановская","Морозовск",27.37,13,4824008,2,"Аллея Черемушкинская 179"
0,1,"Антонина Ерёмина","Новодвинск",60.45,4,5853564,5,"Аллея Сокольнический Вал 1013"
0,14,"Эрика Перцева","Морозовск",16.3,18,472666,1,"Аллея Селиверстов 866"
1,2,"Ирма Кисина","Озёрск",16.39,4,2114970,1,"ул. Банковская 39"
1,2,"Иосиф Карамзин","Юхнов",12.78,9,567490,1,"ул. Вспольная 806"
0,2,"Макар Пишенко","Лысково",67.19,23,13118868,4,"ул. Физкультурная 405"
1,1,"Иакинф Аверкиев","Чусовой",16.09,6,1991155,1,"ул. Северная 1-я 486"
0,19,"Потап Безрученко","Чусовой",14.4,24,1374291,1,"Аллея Симферопольская 782"
0,3,"Офелия Новодворская","Юхнов",10.79,18,947609,1,"Аллея Металлургов 956"
0,1,"Ляйсан Акулова","Лысково",25.1,2,4236336,2,"Аллея Грина 431"
0,5,"Иннокентий Шестинский","Новый Оскол",11.13,7,291421,1,"ул. Забелина 776"
0,4,"Эльвира Евстратова","Лысково",15.83,23,1243276,1,"ул. Елизаветинская 1188"
0,19,"Артём Маркианов","Юхнов",118.2,24,14483802,6,"Аллея Архитектора Власова 792"
1,6,"Домна Филатьева","Юхнов",11.75,9,774700,1,"ул. Подвойского 1139"
0,1,"Трофим Домбровский","Озёрск",10.0,1,360917,1,"Аллея Академика Тамма 92"
0,2,"Сати Маканина","Юхнов",61.81,4,4224155,5,"Аллея Чехова 676"
0,6,"Кондрат Долгих","Новодвинск",35.2,20,2481441,2,"Аллея Космонавта Комарова 1207"
1,4,"Георгий Левитин","Лысково",89.16,24,10076980,9,"ул. Серова 579"
0,15,"Евдокия Аристова","Морозовск",19.19,17,1010673,1,"Аллея Амурская 946"
1,1,"Рина Никифорова","Юхнов",11.28,7,327977,1,"ул. Соколиной Горы 9-я 1373"
0,1,"Павлина Акинфова","Юхнов",10.92,2,263573,1,"ул. Кучин 161"
1,4,"Клара Суханова","Бакал",94.97,16,9596484,5,"Аллея Генерала Тюленева 109"
1,5,"Кирилл Нарицин","Лысково",56.2,14,10545133,3,"Аллея Поречная 108"
0,1,"Мелентий Кирилов","Бакал",58.02,3,10352011,3,"ул. Тишинская 545"
0,17,"Алексия Огарева","Новый Оскол",35.05,24,3981210,3,"Аллея Хилков 351"
0,2,"Виталия Перфильева","Бакал",96.91,10,10167204,5,"Аллея Хитровская 301"
1,6,"Хрисанф Мирошников","Морозовск",17.61,8,2495090,1,"Аллея Краснопрудная 716"
0,1,"Филимон Невзоров","Кулебаки",17.39,15,2927575,1,"ул. Арбатская 1104"
0,1,"Галия Чехова","Лысково",19.21,16,3245558,1,"ул. Затонная 174"
1,7,"Агата Хлумова","Кулебаки",49.57,17,10303281,3,"ул. Задонская 1270"
0,5,"Флоренция Фотиева","Новодвинск",24.54,25,2076558,2,"Аллея Маршала Конева 766"
0,10,"Иулиан Бацкалевич","Юхнов",17.89,12,1131067,1,"ул. Турчанинов 579"
0,5,"Искра Хазина","Лысково",68.27,10,13936729,5,"Аллея Тверская Застава 506"
1,7,"Ермолай Белорусец","Морозовск",80.94,17,10918359,5,"Аллея Зыковский Стар. 247"
1,15,"Исидор Щербаков","Юхнов",39.51,22,2864334,3,"Аллея Уржумская 85"
1,2,"Златослава Юрская","Лысково",13.45,18,1123585,1,"ул. Ивана Франко 985"
0,9,"Харитон Уваров","Юхнов",47.61,11,7521819,4,"Аллея Фигурная 75"
0,19,"Артур Буряченко","Новый Оскол",60.33,23,5975246,5,"Аллея Генерала Жадова 1176"
1,13,"Офелия Обухова","Юхнов",17.46,22,2365032,1,"Аллея Ореховая 583"
1,3,"Хилари Стратоникова","Кулебаки",20.37,13,1550220,2,"ул. Осенная 226"
1,1,"Каре Победоносцева","Чусовой",39.07,2,7521206,2,"Аллея Академика Петровского 322"
1,11,"Пелагея Вонифатова","Лысково",33.13,14,3560572,2,"ул. Новопесчаная 273"
0,2,"Клавдия Ардалионова","Лысково",30.93,3,6132969,2,"ул. Сеченовская 526"
1,5,"Платон Прутков","Чусовой",38.82,10,5988927,3,"ул. Старопименовская 216"
1,8,"Майя Жерихова","Кулебаки",17.73,18,2151370,1,"ул. Аэродромная 188"
0,9,"Потап Агапов","Новодвинск",17.58,12,1460040,1,"Аллея Ермолаевская 676"
0,16,"Евсей Люсин","Новодвинск",73.62,19,14201095,5,"Аллея Княжекозловская 608"
1,2,"Назар Михаленко","Чусовой",50.63,6,3700112,3,"ул. Дмитриевского 672"
1,8,"Беатрис Пескова","Морозовск",66.6,14,13493361,4,"Аллея Крутицкая 49"
0,2,"Богдан Бабуров","Кулебаки",16.56,3,1462098,1,"Аллея Переяславская Ср. 1024"
1,5,"Хрисанф Лиханов","Морозовск",11.63,7,292935,1,"ул. Лианозовская 663"
1,1,"Аврора Горшкова","Новодвинск",16.27,1,2550905,1,"ул. Пилотская 960"
1,4,"Эраст Игнатьев","Бакал",20.42,6,3064359,1,"ул. Дуговая 1276"
0,1,"Элеонора Молчанова","Юхнов",11.2,3,958029,1,"Аллея Симферопольская 176"
0,19,"Нана Табатчикова","Чусовой",32.42,22,2199680,2,"ул. Пушечная 988"
0,7,"Дженна Уткина","Морозовск",36.91,17,2542941,2,"Аллея Котляковская 680"
0,22,"Рената Аркадова","Лысково",52.44,23,9918472,4,"ул. Бумажная 810"
0,4,"Оксана Олсуфьева","Бакал",11.47,5,675252,1,"Аллея Новогиреевская 557"
0,16,"Этери Гребенщикова","Новый Оскол",79.0,20,12816362,5,"Аллея Некрасовка 224"
1,21,"Леонтий Стогов","Юхнов",108.26,24,21008841,6,"Аллея Новодмитровская Б. 666"
1,5,"Алина Берёзина","Лысково",91.09,7,14879130,6,"ул. Станиславского 456"
1,7,"Добрыня Катерли","Юхнов",41.31,12,8256839,3,"ул. Зацепа 40"
1,6,"Иосиф Привалов","Новодвинск",14.77,8,1342300,1,"ул. Новозаводская 500"
1,1,"Григорий Берестов","Кулебаки",10.49,7,381684,1,"ул. Владимирская 2-я 1157"
0,3,"Макар Домников","Лысково",18.62,24,1464198,1,"ул. Красноворотская 1046"
0,3,"Всеволод Глуховский","Юхнов",15.76,9,967852,1,"ул. Кудринская 254"
0,1,"Исидор Палицин","Морозовск",67.14,3,12172679,4,"ул. Дениса Давыдова 1139"
0,4,"Цагана Паршова","Морозовск",17.41,13,1062299,1,"ул. Воровского 320"
1,1,"Авдотья Габышева","Лысково",26.32,6,952922,2,"ул. Трубная 761"
1,2,"Виссарион Кривцов","Озёрск",17.15,3,2425895,1,"Аллея Алабушево 850"
0,4,"Самуил Потапов","Новый Оскол",10.0,5,886826,1,"ул. Ямская 1-я 113"
1,1,"Вениамин Саблин","Бакал",40.95,9,3444765,3,"Аллея Одоевского 370"
0,1,"Парфений Просвирнин","Новый Оскол",43.29,1,7826278,4,"Аллея Подгорская 1263"
0,3,"Родион Щербин","Чусовой",13.87,7,1026221,1,"Аллея Моршанская 479"
0,3,"Чеслава Ржевская","Чусовой",53.91,20,11593246,3,"Аллея Климашкина 535"
1,1,"Анжелика Донцова","Морозовск",13.74,1,1216634,1,"Аллея Крупской 156"
0,2,"Протасий Шестинский","Морозовск",35.11,4,3680645,2,"Аллея Волоцкой 98"
1,1,"Саида Серова","Озёрск",12.56,2,711919,1,"Аллея Олонецкая 648"
1,1,"Бьянка Петухова","Чусовой",17.75,10,2860706,1,"ул. Денисовская 1159"
0,4,"Азалия Шуртакова","Озёрск",95.71,8,14298408,6,"ул. Дмитрия Донского 697"
0,4,"Марта Лескова","Кулебаки",92.37,7,17576903,5,"ул. Кривоарбатская 81"
1,1,"Пров Дьяконов","Морозовск",53.38,1,2640009,5,"ул. Барыковская 702"
0,1,"Перизат Васильева","Новый Оскол",94.45,1,10750399,6,"ул. Лебедянская 768"
1,1,"Куприян Борисенко","Лысково",56.22,3,7783820,3,"Аллея Черкизовская Б. 782"
1,10,"Ай Игнатова","Чусовой",37.75,17,4929588,3,"Аллея Самеда Вургуна 126"
0,16,"Ким Савостьянов","Морозовск",86.87,18,8228026,8,"Аллея Новоспасская 412"
1,11,"Цагана Кленикова","Лысково",15.65,15,1112182,1,"ул. Рузская 1315"
1,12,"Дильнара Тарасова","Новодвинск",36.99,18,5535184,3,"Аллея Чоботовская 771"
0,4,"Пафнутий Солнцев","Бакал",65.58,8,6554042,6,"Аллея Олений М. 252"
0,3,"Сергей Гордеев","Лысково",30.93,4,2820842,3,"ул. Хорошевская 3-я 867"
0,6,"Фирс Ковалёв","Юхнов",72.31,12,13996750,4,"ул. Большого Круга 243"
0,3,"Юрий Овсеев","Бакал",11.45,10,286111,1,"Аллея Авиаторов 883"
0,3,"Азиза Тархова","Озёрск",15.44,8,2032698,1,"Аллея Кропоткинская 1253"
0,3,"Томирис Нефедьева","Лысково",84.84,6,12999512,6,"Аллея Краснопрудный М. 829"
0,9,"Поликарп Чудинов","Кулебаки",16.4,10,2710201,1,"ул. Фигурная 300"
1,14,"Роман Изотов","Новый Оскол",13.69,24,1729465,1,"Аллея Бунинская Аллея 415"
0,1,"Елизавета Кузикова","Кулебаки",29.07,1,5567411,2,"Аллея Железногорская 2-я 721"
0,5,"Августа Галковская","Лысково",69.6,10,6262482,5,"ул. Девичьего Поля 390"
0,1,"Валентин Фурманов","Новодвинск",113.04,2,24428634,6,"Аллея Ивана Сусанина 1371"
0,10,"Сати Иринеева","Морозовск",61.58,22,4466386,4,"Аллея Пенягинская 1-я 1044"
0,1,"Христофор Сорбатский","Лысково",20.19,2,986742,2,"Аллея Академика Вишневского 1271"
0,9,"Леонид Федулин","Юхнов",65.91,10,7583149,6,"ул. Некрасовская 700"
0,10,"Мия Осипова","Чусовой",13.62,16,446140,1,"Аллея Краснобогатырская 851"
0,3,"Стефания Сафронова","Юхнов",51.16,20,6400129,3,"Аллея Сокольническая 1281"
0,2,"Дорофей Канаев","Новодвинск",17.36,9,1131430,1,"Аллея Восточная 565"
0,3,"Евсей Рекемчук","Морозовск",40.9,6,5704864,3,"ул. Гжатская 250"
1,7,"Ада Назарьева","Юхнов",39.3,8,5277326,3,"ул. Яузская 599"
0,10,"Геласий Мерецков","Новодвинск",56.22,15,11251982,4,"ул. Колпачная 457"
0,16,"Сауле Никитина","Морозовск",19.38,20,1460708,1,"ул. Ольховская 24"
1,2,"Гоар Орехова","Лысково",36.69,4,3049527,3,"ул. Михайловская 742"
0,17,"Ульяна Гуляева","Морозовск",109.67,19,19283647,7,"Аллея Московская 1396"
0,7,"Фрида Зиновьева","Лысково",34.02,24,1971151,3,"ул. Сухаревская Б. 511"
1,1,"Люция Кобрина","Лысково",14.98,1,1901414,1,"ул. Парковая 10-я 536"
0,7,"Нурия Арцыбашева","Новодвинск",16.89,10,1538648,1,"Аллея Викторенко 750"
0,1,"Агафья Цветкова","Чусовой",10.0,2,329184,1,"Аллея Берсеневская 904"
0,1,"Венедикт Солопов","Озёрск",13.02,6,860362,1,"Аллея Тульская М. 78"
0,11,"Фёкла Алданова","Бакал",18.7,13,2490055,2,"Аллея Северянин 915"
0,4,"Арина Зайончковская","Кулебаки",63.49,11,10243218,4,"Аллея Машиностроения 1-я 99"
0,2,"Всеволод Рыльников","Бакал",10.0,9,580383,1,"Аллея Машкинское 237"
0,17,"Лукьян Гай","Морозовск",13.03,25,943721,1,"ул. Текстильщиков 7-я 1337"
0,1,"Чеслава Митрофанова","Озёрск",56.8,14,10292347,4,"Аллея Синичкина 1-я 1021"
1,16,"Ефим Витковский","Новодвинск",43.73,17,4702793,4,"Аллея Власьевский М. 523"
0,7,"Макар Вонифатов","Лысково",20.39,10,2449096,2,"ул. Уральская 638"
1,6,"Василий Анфимов","Морозовск",59.63,19,11912868,4,"Аллея Боенская 771"
1,12,"Влас Ложкомоев","Юхнов",52.18,15,5543935,3,"Аллея Фрунзенская 3-я 171"
1,3,"Лаура Углева","Морозовск",88.0,10,16824982,8,"ул. Предтеченский М. 412"
0,1,"Демьян Буров","Озёрск",10.06,2,398723,1,"Аллея Грайвороново 90а 1362"
0,7,"Константин Рябов","Чусовой",42.92,17,5418822,3,"ул. Амилкара Кабрала 9"
0,6,"Дина Баскакова","Новый Оскол",26.54,12,1442746,2,"Аллея Короленко 435"
0,5,"Линда Протасьева","Морозовск",11.08,10,932880,1,"ул. Каспийская 707"
0,2,"Демид Афанасов","Озёрск",17.78,4,1834757,1,"Аллея Путинковский Б. 562"
0,2,"Авдей Елеазаров","Морозовск",39.35,5,5853805,2,"Аллея Вяземская 734"
0,8,"Нина Казимирова","Озёрск",17.5,22,894316,1,"ул. Зацепская 92"
0,14,"Кора Иличевская","Новый Оскол",66.39,15,4088125,6,"ул. Новаторов 298"
0,1,"Созон Воддеников","Морозовск",162.23,1,29359582,9,"ул. Тетеринская 415"
0,9,"Игорь Прашкевич","Морозовск",37.84,22,3613971,3,"Аллея Южнобутовская 872"
0,2,"Мишель Устьянова","Юхнов",18.65,16,3151636,1,"ул. Зеленодольская 942"
0,1,"Наоми Липатова","Лысково",74.61,1,7090067,4,"Аллея Академика Челомея 938"
0,4,"Айару Дзержинская","Новодвинск",10.0,23,472729,1,"ул. Охтинская 723"
0,6,"Эдуард Мозгов","Новодвинск",15.63,17,1941987,1,"Аллея Лисичанская 614"
0,7,"Денис Шамбаров","Чусовой",13.79,9,2096014,1,"Аллея Варварка 284"
0,9,"Долорес Крупина","Морозовск",13.55,17,1667461,1,"Аллея Заречье 1079"
0,6,"Юна Филипова","Юхнов",18.68,8,1847036,2,"ул. Парковая 15-я 818"
1,4,"Авдотья Дубинянская","Бакал",25.05,5,3700829,2,"Аллея Щербинская 1006"
0,9,"Савва Веселый","Новодвинск",20.16,20,3124647,1,"Аллея Золоторожская 1132"
0,2,"Зоряна Тарасова","Юхнов",16.26,6,498684,1,"ул. Стрелецкая 1087"
0,2,"Далида Овросимова","Морозовск",63.82,4,12869255,4,"Аллея Старолучанская 554"
0,6,"Афина Денисьева","Морозовск",70.67,8,13156213,5,"Аллея Кудринская 344"
0,11,"Александра Венедиктова","Лысково",50.13,21,5321795,3,"ул. Хользунова 935"
0,2,"Дина Клеопова","Юхнов",17.44,12,1914079,1,"Аллея Погодинская 1266"
1,3,"Павел Васькин","Кулебаки",106.92,19,11204755,6,"Аллея Кузнечная 1349"
0,2,"Александр Удодов","Морозовск",19.22,7,2365193,1,"ул. Бурцевская 857"
1,1,"Тимофей Феофилактов","Лысково",18.74,5,2467993,1,"Аллея Хуторская 2-я 640"
0,1,"Добрыня Скапидаров","Морозовск",57.7,1,4707661,5,"Аллея Серпуховская Застава 1397"
0,2,"Тихон Гнилорыбов","Бакал",10.14,14,262066,1,"Аллея Хрущевская 741"
1,6,"Альвиан Бенигсен","Лысково",33.46,9,2611934,3,"ул. Глинистая 573"
0,6,"Вениамин Сафонов","Новодвинск",115.26,22,15569866,6,"ул. Зеленоград 440"
0,16,"Рианна Мосеева","Новый Оскол",16.63,17,2414606,1,"Аллея Старокрымская 871"
0,15,"Бела Шамбарова","Лысково",16.55,20,928789,1,"ул. Центральная 314"
0,15,"Герасим Солодников","Юхнов",15.04,19,1125590,1,"Аллея Новоселки 3-я 741"
0,20,"Панкратий Старостенко","Новодвинск",14.02,22,1117780,1,"Аллея Адмирала Ушакова 926"
1,1,"Индира Сошникова","Лысково",18.48,3,2121451,1,"ул. Николая Химушина 128"
0,5,"Куприян Ефремов","Морозовск",55.84,17,3257954,5,"ул. Маршала Рокоссовского 39"
0,8,"Заира Ливанова","Чусовой",17.15,16,1849064,1,"ул. Янтарная 406"
1,14,"Ника Фатьянова","Бакал",41.87,21,5356566,3,"Аллея Малыгинская 393"
0,4,"Гюзель Чернышевская","Лысково",111.49,8,14696893,7,"Аллея Басманная 542"
0,3,"Мстислав Огарев","Кулебаки",18.71,22,3247509,1,"ул. Маши Порываевой 954"
1,5,"Фариза Вострякова","Озёрск",10.93,13,322190,1,"Аллея Старообрядческая 123"
0,9,"Агафья Мясникова","Новый Оскол",12.27,20,332396,1,"Аллея Строгинское 756"
0,14,"Иллирика Кормильцева","Юхнов",19.02,20,3007721,1,"ул. Звонарская 934"
0,9,"Жанна Ильина","Новый Оскол",10.94,14,307238,1,"ул. Кусковская 533"
1,11,"Трифон Затворник","Лысково",59.84,22,5906570,4,"ул. Железногорская 2-я 133"
0,2,"Александр Лавров","Новый Оскол",35.05,23,4711498,3,"ул. Белореченская 1144"
0,14,"Самуил Азольский","Чусовой",36.69,16,4359416,3,"Аллея Профсоюзная 117"
0,11,"Аиша Петрова","Морозовск",78.38,22,13266707,5,"Аллея Радиальная 8-я 257"
1,5,"Евангелина Северьянова","Бакал",25.98,8,2969185,2,"Аллея Стекольная 1-я 1092"
0,12,"Камила Сычина","Юхнов",41.58,25,4703151,3,"Аллея Расторгуевская 329"
0,15,"Антон Жаринов","Бакал",55.54,20,10852527,4,"Аллея Селигерская 704"
0,1,"Вилена Жукова","Юхнов",17.51,2,1795077,1,"ул. Шелепихинская 405"
0,1,"Сельма Трифонова","Чусовой",45.13,1,9510477,3,"Аллея Плющева 710"
0,4,"Борис Чурилов","Новый Оскол",13.69,25,1719198,1,"ул. Театральная 123"
0,1,"Арина Басырова","Новодвинск",95.98,2,13844329,6,"ул. Сокольническая 1-я 588"
0,2,"Венера Ядова","Юхнов",10.96,24,758333,1,"ул. Кожуховская 5-я 425"
0,7,"Денис Лукошин","Озёрск",53.26,18,8507783,3,"ул. Авангардная 765"
0,1,"Игнатий Горбачёв","Морозовск",71.04,3,6034273,7,"ул. Северная 7-я 561"
0,10,"Сильвестр Костин","Новый Оскол",66.61,11,11145362,5,"Аллея Хлыновская 28"
0,3,"Лира Мельникова","Новодвинск",135.01,12,22680726,8,"ул. Маевок 1367"
0,5,"Перизат Бузина","Чусовой",45.99,23,7444407,3,"ул. Наличная 600"
1,4,"Сусанна Колина","Лысково",79.31,8,14673646,6,"ул. Славянская 837"
1,4,"Констанция Гнилорыбова","Кулебаки",97.26,5,17022292,6,"Аллея Колесовой Елены 211"
0,1,"Эсмира Стефашина","Новодвинск",73.62,1,15737894,5,"ул. Чудов Б. 1048"
0,4,"Сусанна Гаврилова","Новый Оскол",19.9,8,3250381,1,"ул. Сыромятническая 187"
0,5,"Родослав Сакин","Юхнов",83.73,7,9181376,5,"ул. Академика Келдыша 353"
1,2,"Леонтий Согрин","Новый Оскол",32.7,6,2229051,2,"ул. Поселковая 14"
1,5,"Елизавета Федулеева","Морозовск",87.77,11,13701020,7,"Аллея Маломосковская 577"
0,9,"Иакинф Липовецкий","Новодвинск",39.23,15,7510993,2,"ул. Миллионная 153"
0,3,"Теона Киприанова","Новодвинск",18.8,7,2357784,1,"ул. Дворцовая Правая 1165"
1,8,"Руслан Аввакум","Лысково",10.96,14,392168,1,"Аллея Братьев Фонченко 991"
0,5,"Софрон Скороходов","Юхнов",28.99,21,4265521,3,"Аллея Партизанская 1187"
0,12,"Бьянка Микитова","Бакал",17.01,22,2994921,1,"Аллея Гурьянова 76"
0,1,"Ерофей Березин","Морозовск",62.59,19,11944871,5,"Аллея Леснорядская 1388"
0,5,"Флоренция Евменьева","Новодвинск",18.51,19,1866946,1,"ул. Барвихинская 81"
0,1,"Агафон Айтматов","Юхнов",10.0,11,892433,1,"Аллея Кашенкин Луг 1123"
0,4,"Лилит Эмина","Новодвинск",17.31,11,2388481,1,"Аллея Защитников Неба 734"
0,2,"Корнилий Голубев","Бакал",67.95,4,11330876,4,"Аллея Басманная Нов. 1222"
0,1,"Гаянэ Заплетина","Кулебаки",116.42,5,21401564,6,"Аллея Миусская 2-я 629"
0,1,"Лара Живетьева","Чусовой",17.74,12,1894453,1,"Аллея Карпатская 1-я 223"
0,4,"Севастьян Агутин","Юхнов",91.82,11,12258428,5,"Аллея Самаркандская 460"
0,1,"Алтын Гришина","Лысково",32.47,4,2758658,3,"ул. Новые Сады 2-я 59"
1,16,"Жозефина Меркушева","Новый Оскол",65.36,23,11042336,5,"ул. Грохольская 1342"
0,2,"Олег Личутин","Новодвинск",79.0,3,8699132,6,"Аллея Басманная Стар. 65"
1,12,"Аглая Ивакина","Новодвинск",22.05,15,520404,2,"Аллея Демидовский М. 1210"
0,1,"Фрида Плотникова","Чусовой",10.82,1,315837,1,"Аллея Трубецкая 1339"
1,2,"Протасий Уткин","Новодвинск",16.07,24,1541908,1,"ул. Константина Царева 1303"
0,2,"Роза Саватьева","Чусовой",59.09,15,3840252,6,"ул. Яснополянская 733"
1,2,"Михримах Хазанова","Юхнов",75.73,19,6392649,4,"Аллея Нежинская 915"
1,1,"Рената Идова","Юхнов",43.69,7,4146150,3,"ул. Северянинская 244"
1,1,"Мара Архипова","Озёрск",33.19,9,4785772,3,"ул. Сельскохозяйственная 725"
0,3,"Ивета Ремизова","Чусовой",34.89,9,6290970,2,"Аллея Лодочная 63"
0,9,"Малика Епенетова","Лысково",79.94,12,13557954,5,"Аллея Витебская 543"
0,4,"Марика Лутьянова","Бакал",36.27,22,6404322,2,"ул. Маршала Савицкого 978"
1,3,"Мартын Денисенко","Озёрск",15.71,13,1445082,1,"Аллея Центральный Хорошевского Серебряного Бор 677"
0,4,"Виталий Силин","Новый Оскол",10.25,17,433278,1,"ул. Политехническая 36"
0,1,"Августина Черноусова","Морозовск",39.24,5,7402773,3,"Аллея Авиаконструктора Микояна 1001"
0,7,"Бэлла Кузьмина","Юхнов",136.9,14,29246244,8,"ул. Житная 1148"
0,12,"Амина Писарева","Бакал",24.18,19,2479069,2,"Аллея Федосьино 837"
0,2,"Алексей Осинский","Юхнов",74.94,5,6053617,5,"ул. Шарля Де Голля 1126"
0,3,"Логгин Яськов","Лысково",29.85,8,2532464,2,"ул. Шепелюгинская 646"
0,1,"Гавриил Кононыхин","Новодвинск",36.51,2,3379062,2,"ул. Новомарьинская 844"
0,7,"Варфоломей Амарантов","Новодвинск",10.73,13,377717,1,"ул. Стасовой 136"
0,15,"Зиновий Успенский","Юхнов",82.88,16,15946685,7,"ул. Мичуринская 422"
0,6,"Тимур Севела","Озёрск",17.46,9,655834,1,"ул. Зверинецкая 420"
0,5,"Владимир Подколзин","Лысково",12.46,19,581634,1,"ул. Золоторожский Верхн. 1375"
0,1,"Макария Кисина","Юхнов",43.85,1,4564286,3,"ул. Федора Полетаева 912"
1,11,"Сафия Залыгина","Лысково",14.0,17,1746844,1,"Аллея Двинцев 880"
1,5,"Камилла Турова","Юхнов",11.43,21,1343208,1,"Аллея Мурановская 121"
1,11,"Владислава Горшкова","Чусовой",45.01,24,4977895,3,"ул. Войкова 1252"
1,4,"Анабель Асафьева","Морозовск",36.82,8,3513795,4,"Аллея Сурикова 903"
